皮肤ID	序列排序	序列图标	动作序列ID	动作GDPL	FOV	//注释
SkinID	Index	Icon	SeqID	GDPL	FOV	Comment
711803	1	4900061	7118031	{24,18,2,1}	50	薇蒂雅-天鹅座-泳装-序列1
711803	2	4900071	7118032	{24,18,2,2}	50	薇蒂雅-天鹅座-泳装-序列2
711803	3	4900081	7118033	{24,18,2,3}	50	薇蒂雅-天鹅座-泳装-序列3
711803	4	4900091	7118034	{24,18,2,4}	50	薇蒂雅-天鹅座-泳装-序列4
711803	5	4900101	7118035	{24,18,2,5}	50	薇蒂雅-天鹅座-泳装-序列5
						
711803	101	4900061	7118040	{24,18,2,5}	50	薇蒂雅-天鹅座-泳装-和谐序列
						
702103	1	4900011	7021031	{24,21,1,1}	50	奈莉德-冥河代理人-泳装-序列1
702103	2	4900021	7021032	{24,21,1,2}	50	奈莉德-冥河代理人-泳装-序列2
702103	3	4900031	7021033	{24,21,1,3}	50	奈莉德-冥河代理人-泳装-序列3
702103	4	4900041	7021034	{24,21,1,4}	50	奈莉德-冥河代理人-泳装-序列4
702103	5	4900051	7021035	{24,21,1,5}	50	奈莉德-冥河代理人-泳装-序列5
						
702103	101	4900061	7021040	{24,18,2,5}	50	奈莉德-冥河代理人-和谐序列
