任务类型	程序内使用类型	注释（程序内不使用 注意使用场景）	检查值含义	参数含义	参数信息备注	追踪规则	弹窗类型(0默认非战斗1只战斗)		作用域（公测+DLC1)		作用域（DLC3新增)	作用域（DLC4新增)
Id	Type	Desc	CheckValue	Param			PopFlag					
1	2	分析员升级	需求等级			追踪等级						
2	3	完成关卡(不含联机)	需求次数	{1,2,3}	关卡id，对应chapter/level.txt,不填不限制	追踪次数	1		主线，扭蛋试玩,DCL1复刷本		DLC3主线/复刷/元素塔	DLC4主线/复刷关/DLC4联机/巴别塔
3	5	收集道具	需求数量	{G,D,P,L}	不限制的填-1	追踪数量						
4	4	消耗某个代币的数量	需求数量	{代币id}具体请查看cash表中的ID		追踪数量						
5	5	消耗某个道具的数量	需求数量	{G,D,P,L}		追踪数量						
6	6	道具升级（角色卡、武器等）	需求等级	{G,D,P,L}	不限制的填-1	追踪等级						
7	7	任意角色卡等级达到X级	需求等级			追踪最大	1					
8	5	普通商店购买道具	需求数量	{G,D,P,L}	不限制的填-1	追踪数量						
9	8	完成指定主线关卡(不含联机)	需求次数	{章id,节id,难度}		追踪次数	1		主线，扭蛋试玩,DCL1复刷本		DLC3主线/复刷/元素塔	DLC4主线/复刷关/DLC4联机/巴别塔
10	3	完成常规行动关卡次数(不含联机、教学关卡)	需求次数	{1,2,3}	关卡id，对应daily/level.txt,不填不限制	追踪次数	1		常规行动(教学关卡)			
11	4	累积登录	需求次数	{活动ID}		追踪次数						
12	4	获得某个代币的数量	需求数量	{代币id}1:钻石,2:金币,3:体力		追踪数量						
13	1	累计击杀普通怪X只	需求数量			追踪数量			主线，boss关，肉鸽，常规，dlc1复刷，区域压制，碎片本，爬塔，战术考核，联机，防御活动		DLC3主线/复刷/元素塔	DLC4主线/复刷关/DLC4联机/巴别塔
14	1	完成任意关卡次数(不含联机)	需求次数			追踪次数			主线，扭蛋试玩,DCL1复刷本，常规，爬塔，boss挑战，碎片本，联机		DLC3主线/复刷/元素塔	DLC4主线/复刷关/DLC4联机/巴别塔
15		使用技能击杀敌人X次(联机和boss挑战)	需求次数			追踪次数			boss,联机		DLC3联机	
16	8	使用指定少女通关指定关卡达到次数(不含联机)	需求次数	{章id,节id,难度,{角色gdpl}}		追踪次数			主线，扭蛋试玩,DCL1复刷本			
17	1	累计击杀精英怪X只	需求数量			追踪数量	1		主线，boss关，肉鸽，常规，dlc1复刷，区域压制，碎片本，爬塔，战术考核，联机，防御活动		DLC3主线/复刷/元素塔	DLC4主线/复刷关/DLC4联机/巴别塔
18	1	累计击杀boss怪X只	需求数量			追踪数量	1		主线，boss关，肉鸽，常规，dlc1复刷，区域压制，碎片本，爬塔，战术考核，联机，防御活动		DLC3主线/复刷/元素塔	DLC4主线/复刷关/DLC4联机/巴别塔
19	1	进化武器X次	需求次数			追踪次数						
20	1	闯关失败X次	需求次数			追踪次数	1					
21	1	强化角色卡X次	需求次数			追踪次数						
22	1	【废弃，勿用】累计角色突破X次	需求次数			追踪次数						
23	1	累计武器突破X次	需求次数			追踪次数						
24	1	累计后勤突破X次	需求次数			追踪次数						
25		【暂未实现】累计升级角色技能X次	需求次数			追踪次数						
26	1	累计获得角色卡x种	需求数量			追踪数量						
27	1	累计完成(x)个每日任务	需求数量			追踪数量						
28	1	完成角色抽奖次数	需求次数			追踪次数						
29	1	完成武器抽奖次数	需求次数			追踪次数						
30	10	拥有达到指定等级的角色卡数量	需求数量	{等级}		追踪数量						
31	10	拥有达到指定等级的武器卡数量	需求数量	{等级}		追踪数量						
32		【暂未实现】将指定少女的任意角色卡升级到X级	需求等级	{角色gdpl}		追踪等级						
33		【暂未实现】连续X次武器十连补给均未获得4星武器	需求次数			追踪次数						
34	11	累计获得X把Y星武器（只记3星和4星武器）	需求数量	{星级}		追踪数量						
35		【暂未实现】编队练度达到x	需求数值			追踪数值						
36	7	任意武器等级达到X级	需求等级			追踪最大						
37	5	设置x少女为看板娘	需求次数	{角色gdpl}		追踪次数						
38	1	强化武器X次	需求次数			追踪次数						
39	3	完成爬塔关卡次数	需求次数	{1,2,3}	关卡id，对应challenge/climbtower/level.txt,不填不限制	追踪次数	1		爬塔			
40	3	完成Boss挑战关卡次数	需求次数	{1,2,3}	关卡id，对应boss.txt,不填不限制	追踪次数	1		boss关			
41	3	完成角色碎片本关卡次数	需求次数	{1,2,3}	关卡id，对应role/level.txt,不填不限制	追踪次数	1		碎片本(包括扫荡)			
42	3	完成任务个数	需求数量	{任务类型}	任务类型，对应achievement.txt中的Group,不填不限制	需求数量						
43	1	完成任意抽奖次数	需求次数			追踪次数						
44	1	强化后勤卡X次	需求次数			追踪次数						
45	1	更换武器配件次数	需求次数			追踪次数						
46	10	拥有达到指定等级的后勤卡数量	需求数量	{等级}		追踪数量						
47	1	完成天启次数	需求次数			追踪次数						
48	3	完成X难度的Boss挑战关卡次数	需求次数	{难度}	不填不限制	追踪次数						
49	13	收集指定颜色的道具数量	需求数量	{大类,颜色}		追踪数量						
50	7	激活神经子节点个数	需求次数			追踪次数						
51	1	Boss挑战关卡造成部位破坏次数	需求次数			追踪次数	1		boss关			
52	3	联机完成次数	需求次数	{1,2,3}	玩法id，对应online/online.txt里的id,不填不限制	追踪次数			联机		DLC3联机	
53	1	联机通过复活币自行复活次数	需求次数			追踪次数						
