字符串索引	技能ID	备注	备注
ID	Skillid	Null	Null
1001100	1110101	冬至	常规技
1001200	1110401		支援技
1001300	1110301		爆发技
1002100	1102101	狂猎	常规技
1002200	1102401		支援技
1002300	1102301		爆发技
1003100	1114101	姬辰星·云篆	常规技
1003200	1114401		支援技
1003300	1114301		爆发技
1004100	1013101	瑟瑞斯	常规技
1004200	1013401		支援技
1004300	1013301		爆发技
1005100	1101101	安卡希雅·辉夜	常规技
1005200	1101401		支援技
1005300	1101301		爆发技
1006100	1106101	晴·藏锋	常规技
1006200	1106401		支援技
1006300	1106301		爆发技
1007100	1104101	芙提雅·缄默	常规技
1007200	1104401		支援技
1007300	1104301		爆发技
1008100	1112101	猫汐尔·溯影	常规技
1008200	1112401		支援技
1008300	1112301		爆发技
1009100	1115101	茉莉安·雨燕	常规技
1009200	1115401		支援技
1009300	1115301		爆发技
1010100	1017101	苔丝	常规技
1010200	1017401		支援技
1010300	1017301		爆发技
1011100	1015101	凯茜娅	常规技
1011200	1015401		支援技
1011300	1015301		爆发技
1012100	1016101	伊切尔	常规技
1012200	1016401		支援技
1012300	1016301		爆发技
1013100	1107101	琴诺·悖谬	常规技
1013200	1107401		支援技
1013300	1107301		爆发技
1014100	1111101	恩雅·羽蜕	常规技
1014200	1111401		支援技
1014300	1111301		爆发技
1015100	1113101	瑟瑞斯·瞬刻	常规技
1015200	1113401		支援技
1015300	1113301		爆发技
1016100	1202101	里芙新换装	常规技
1016200	1202401		支援技
1016300	1202301		爆发技
1017100	1208101	芬妮新换装	常规技
1017200	1208400		支援技
1017300	1208301		爆发技
1018100	1018101	薇蒂雅	常规技
1018200	1018401		支援技
1018300	1018301		爆发技
1019100	1115101	凯茜娅·朝翼	常规技
1019200	1115401		支援技
1019300	1115301		爆发技
1020100	1205101	茉莉安·幽潮	常规技
1020200	1205401		支援技
1020300	1205301		爆发技
1021100	1204101	芙提雅·驰掣	常规技
1021200	1204401		支援技
1021300	1204301		爆发技
1022100	1020108	卜卜	常规技
1022200	1020401		支援技
1022300	1020301		爆发技
1023100	1214101	辰星·琼弦	常规技
1023200	1214401		支援技
1023300	1214301		爆发技
1024100	1210101	肴·夜天光	常规技
1024200	1210401		支援技
1024300	1210301		爆发技
1025100	1211101	恩雅·澜风	常规技
1025200	1211401		支援技
1025300	1211301		爆发技
1026100	1021101	奈莉德·冥河代理人	常规技
1026200	1021401		支援技
1026300	1021301		爆发技
1027100	1118101	薇蒂雅·天鹅座	常规技
1027200	1118401		支援技
1027300	1118301		爆发技
1028100	1215101	凯茜娅-狂诗	常规技
1028200	1215401		支援技
1028300	1215301		爆发技
1029100	1117102	苔丝-绮幻	常规技
1029200	1117401		支援技
1029300	1117301		爆发技
1030100	1022101	克罗瑞娜-绯月	常规技
1030200	1022401		支援技
1030300	1022301		爆发技
1031100	1308101	芬妮-澄意	常规技
1031200	1308401		支援技
1031300	1308301		爆发技
1032100	1213101	瑟瑞斯-悠游	常规技
1032200	1213401		支援技
1032300	1213301		爆发技
1033100	1023101	米娅-星彩	常规技
1033200	1023401		支援技
1033300	1023301		爆发技
1034100	1120101	卜卜-灵鉴	常规技
1034200	1120401		支援技
1034300	1120301		爆发技
1036100	1305101	茉莉安·霄鹰	常规技
1036200	1305401		支援技
1036300	1305301		爆发技
1037100	1305101	胧嫣-瑞狐	常规技
1037200	1305401		支援技
1037300	1305301		爆发技
