ID	//备注	角色GDPL	奖励	试用角色Id	关卡Id	Spine资源路径	Spine切换动画{时间,{开始位置x,y},{结束位置x,y},{缩放开始,结束}}	立绘Id	立绘偏移缩放{x,y,缩放}	背景颜色	背景图	标题颜色	标题底图	标题底图颜色	pv	跳转界面	条件跳转	跳转参数	跳转按键名	跳转图标
ID	Comment	Girl	Reward	TrialId	LevelId	Spine	SpineAnimInfo	Pose	PoseOffset	BgColor	Bg	TitleColor	TitleBg	TitleBgColor	Pv	GotoUI	ConditionGoto	tbParam	JumpBtnName	JumpBtnImg
1	肴-冬至	{1,10,2,1}	{{4,3,2,1,20},{5,9,1,2,4}}	100017	5000	/Game/Spine/Hero/Girl010a/tryGirl_010a.tryGirl_010a	{0.3,{0,0},{0,0},{1,1}}					160D03FF	1602058	FFF28EFF			FunctionRouter.GoTo	{3,6}	activity.try_girl_Icon1	1701222
2	里芙-狂猎	{1,2,2,1}	{{4,3,2,1,20},{5,9,1,2,4}}	100011	5001	/Game/Spine/Hero/Girl002a/tryGirl_002a.tryGirl_002a	{0.3,{0,0},{0,0},{1,1}}				1602056	071617FF	1602058	7AE3F9FF			FunctionRouter.GoTo	{3,9}	activity.try_girl_Icon1	1701222
3	辰星-云篆	{1,14,2,1}	{{4,3,2,1,20},{5,9,1,2,4}}	100021	5002	/Game/Spine/Hero/Girl014a/tryGirl_014a.tryGirl_014a	{0.3,{0,0},{0,0},{1,1}}					F0F6FFFF	1602063	8D86B7FF			FunctionRouter.GoTo	{3,197}	activity.try_girl_Icon1	1701222
4	瑟瑞斯	{1,13,1,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	100020	5003			1602057	{0,0,1}	F1C04B66	1602059	12141FFF	1602058	FFFFFFFF			FunctionRouter.GoTo	{3,107}	activity.try_girl_Icon1	1701222
5	安卡希雅-辉夜	{1,1,2,1}	{{4,3,2,1,20},{5,9,1,2,4}}	100015	5004	/Game/Spine/Hero/Girl001a/tryGirl_001a.tryGirl_001a	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,133}	activity.try_girl_Icon1	1701222
																				
6	晴-藏锋	{1,6,2,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103011	5009	/Game/Spine/Hero/Girl006a/tryGirl_006a.tryGirl_006a	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,133}	activity.try_girl_Icon1	1701222
7	芙提雅-缄默	{1,4,2,1}	{{4,3,2,1,20},{5,9,1,2,4}}	103008	5008	/Game/Spine/Hero/Girl004a/tryGirl_004a.tryGirl_004a	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{3,12}	activity.try_girl_Icon1	1701222
8	凛冽冬花	{1,6,2,1}	{{4,3,1,1,2000},{5,1,1,3,2}}	103014	5006	/Game/Spine/Hero/Girl006a_02/tryGirl_006a_02.tryGirl_006a_02	{0.3,{0,0},{0,0},{1,1}}					26266FFF	1602058	8D86B7FF			FunctionRouter.GoTo	{8,4,603}	activity.try_girl_Icon3	1701220
