期数	ID	坐标	碎片图片	对应道具ID	拼好语音
ScheduleID	ID	Coordinates	PiecePic	ItemID	Lines
1	1	3	5100103	{4,1,31,1}	
1	2	2	5100102	{4,1,31,1}	
1	3	1	5100101	{4,1,31,1}	
1	4	11	5100111	{4,1,31,1}	
1	5	5	5100105	{4,1,32,1}	{"Play_Vo_dlc33_girl006_pintu_05","jigsawpuzzle.jigsawpuzzle_vo5"}
1	6	6	5100106	{4,1,31,1}	
1	7	7	5100107	{4,1,31,1}	
1	8	8	5100108	{4,1,31,1}	
1	9	9	5100109	{4,1,31,1}	
1	10	10	5100110	{4,1,31,1}	
1	11	4	5100104	{4,1,32,1}	{"Play_Vo_dlc33_girl006_pintu_08","jigsawpuzzle.jigsawpuzzle_vo8"}
1	12	12	5100112	{4,1,32,1}	{"Play_Vo_dlc33_girl006_pintu_09","jigsawpuzzle.jigsawpuzzle_vo9"}
1	13	13	5100113	{4,1,32,1}	{"Play_Vo_dlc33_girl006_pintu_07","jigsawpuzzle.jigsawpuzzle_vo7"}
1	14	16	5100116	{4,1,31,1}	
1	15	15	5100115	{4,1,31,1}	
1	16	14	5100114	{4,1,31,1}	
1	17	17	5100117	{4,1,31,1}	
1	18	18	5100118	{4,1,31,1}	
1	19	21	5100121	{4,1,31,1}	
1	20	20	5100120	{4,1,31,1}	
1	21	19	5100119	{4,1,31,1}	
1	22	24	5100124	{4,1,31,1}	
1	23	23	5100123	{4,1,31,1}	
1	24	22	5100122	{4,1,31,1}	
1	25	25	5100125	{4,1,31,1}	
1	26	32	5100132	{4,1,32,1}	{"Play_Vo_dlc33_girl006_pintu_06","jigsawpuzzle.jigsawpuzzle_vo6"}
1	27	27	5100127	{4,1,31,1}	
1	28	28	5100128	{4,1,31,1}	
1	29	29	5100129	{4,1,31,1}	
1	30	30	5100130	{4,1,31,1}	
1	31	31	5100131	{4,1,31,1}	
1	32	26	5100126	{4,1,31,1}	
					
2	1	3	5100203	{4,1,37,1}	
2	2	2	5100202	{4,1,37,1}	
2	3	1	5100201	{4,1,37,1}	
2	4	11	5100211	{4,1,37,1}	
2	5	5	5100205	{4,1,38,1}	{"Play_Vo_dlc34_girl012b_pintu_05","jigsawpuzzle.jigsawpuzzle_vo15"}
2	6	6	5100206	{4,1,37,1}	
2	7	7	5100207	{4,1,37,1}	
2	8	8	5100208	{4,1,37,1}	
2	9	9	5100209	{4,1,37,1}	
2	10	10	5100210	{4,1,37,1}	
2	11	4	5100204	{4,1,38,1}	{"Play_Vo_dlc34_girl012b_pintu_08","jigsawpuzzle.jigsawpuzzle_vo18"}
2	12	12	5100212	{4,1,38,1}	{"Play_Vo_dlc34_girl012b_pintu_09","jigsawpuzzle.jigsawpuzzle_vo19"}
2	13	13	5100213	{4,1,38,1}	{"Play_Vo_dlc34_girl012b_pintu_07","jigsawpuzzle.jigsawpuzzle_vo17"}
2	14	16	5100216	{4,1,37,1}	
2	15	15	5100215	{4,1,37,1}	
2	16	14	5100214	{4,1,37,1}	
2	17	17	5100217	{4,1,37,1}	
2	18	18	5100218	{4,1,37,1}	
2	19	21	5100221	{4,1,37,1}	
2	20	20	5100220	{4,1,37,1}	
2	21	19	5100219	{4,1,37,1}	
2	22	24	5100224	{4,1,37,1}	
2	23	23	5100223	{4,1,37,1}	
2	24	22	5100222	{4,1,37,1}	
2	25	25	5100225	{4,1,37,1}	
2	26	32	5100232	{4,1,38,1}	{"Play_Vo_dlc34_girl012b_pintu_06","jigsawpuzzle.jigsawpuzzle_vo16"}
2	27	27	5100227	{4,1,37,1}	
2	28	28	5100228	{4,1,37,1}	
2	29	29	5100229	{4,1,37,1}	
2	30	30	5100230	{4,1,37,1}	
2	31	31	5100231	{4,1,37,1}	
2	32	26	5100226	{4,1,37,1}	
					
3	19	1	5100301	{4,1,44,1}	
3	14	2	5100302	{4,1,44,1}	
3	22	3	5100303	{4,1,44,1}	
3	3	4	5100304	{4,1,45,1}	{"Play_Vo_dlc36_girl004c_pintu_08","jigsawpuzzle.jigsawpuzzle_girl004c_08","7"}
3	4	5	5100305	{4,1,45,1}	{"Play_Vo_dlc36_girl004c_pintu_05","jigsawpuzzle.jigsawpuzzle_girl004c_05"}
3	1	6	5100306	{4,1,44,1}	
3	24	7	5100307	{4,1,44,1}	
3	27	8	5100308	{4,1,44,1}	
3	16	9	5100309	{4,1,44,1}	
3	15	10	5100310	{4,1,44,1}	
3	17	11	5100311	{4,1,44,1}	
3	6	12	5100312	{4,1,45,1}	{"Play_Vo_dlc36_girl004c_pintu_09","jigsawpuzzle.jigsawpuzzle_girl004c_09","6"}
3	5	13	5100313	{4,1,45,1}	{"Play_Vo_dlc36_girl004c_pintu_07","jigsawpuzzle.jigsawpuzzle_girl004c_07","7"}
3	2	14	5100314	{4,1,45,1}	{"Play_Vo_dlc36_girl004c_pintu_06","jigsawpuzzle.jigsawpuzzle_girl004c_06"}
3	29	15	5100315	{4,1,44,1}	
3	32	16	5100316	{4,1,44,1}	
3	13	17	5100317	{4,1,44,1}	
3	18	18	5100318	{4,1,44,1}	
3	7	19	5100319	{4,1,44,1}	
3	11	20	5100320	{4,1,44,1}	
3	9	21	5100321	{4,1,44,1}	
3	10	22	5100322	{4,1,44,1}	
3	30	23	5100323	{4,1,44,1}	
3	25	24	5100324	{4,1,44,1}	
3	20	25	5100325	{4,1,44,1}	
3	21	26	5100326	{4,1,44,1}	
3	23	27	5100327	{4,1,44,1}	
3	8	28	5100328	{4,1,44,1}	
3	12	29	5100329	{4,1,44,1}	
3	26	30	5100330	{4,1,44,1}	
3	31	31	5100331	{4,1,44,1}	
3	28	32	5100332	{4,1,44,1}	
					
4	19	1	5100401	{4,1,44,1}	
4	14	2	5100402	{4,1,44,1}	
4	22	3	5100403	{4,1,44,1}	
4	3	4	5100404	{4,1,45,1}	{"Play_Vo_dlc37_girl010c_pintu_08","jigsawpuzzle.jigsawpuzzle_girl004c_08"}
4	4	5	5100405	{4,1,45,1}	{"Play_Vo_dlc37_girl010c_pintu_05","jigsawpuzzle.jigsawpuzzle_girl004c_05"}
4	1	6	5100406	{4,1,44,1}	
4	24	7	5100407	{4,1,44,1}	
4	27	8	5100408	{4,1,44,1}	
4	16	9	5100409	{4,1,44,1}	
4	15	10	5100410	{4,1,44,1}	
4	17	11	5100411	{4,1,44,1}	
4	6	12	5100412	{4,1,45,1}	{"Play_Vo_dlc37_girl010c_pintu_09","jigsawpuzzle.jigsawpuzzle_girl004c_09"}
4	5	13	5100413	{4,1,45,1}	{"Play_Vo_dlc37_girl010c_pintu_07","jigsawpuzzle.jigsawpuzzle_girl004c_07"}
4	2	14	5100414	{4,1,45,1}	{"Play_Vo_dlc37_girl010c_pintu_06","jigsawpuzzle.jigsawpuzzle_girl004c_06"}
4	29	15	5100415	{4,1,44,1}	
4	32	16	5100416	{4,1,44,1}	
4	13	17	5100417	{4,1,44,1}	
4	18	18	5100418	{4,1,44,1}	
4	7	19	5100419	{4,1,44,1}	
4	11	20	5100420	{4,1,44,1}	
4	9	21	5100421	{4,1,44,1}	
4	10	22	5100422	{4,1,44,1}	
4	30	23	5100423	{4,1,44,1}	
4	25	24	5100424	{4,1,44,1}	
4	20	25	5100425	{4,1,44,1}	
4	21	26	5100426	{4,1,44,1}	
4	23	27	5100427	{4,1,44,1}	
4	8	28	5100428	{4,1,44,1}	
4	12	29	5100429	{4,1,44,1}	
4	26	30	5100430	{4,1,44,1}	
4	31	31	5100431	{4,1,44,1}	
4	28	32	5100432	{4,1,44,1}	
