剧情ID	顺序索引,相同的索引就是选择项	发言人，‘nita’就是妮塔，‘player’就是分析员	语句,正式的得填多语言key	表情	备注	奖励	结局节点的结束语，一样要填多语言key
ID	Index	Speaker	Words	Emoji		Award	EndingWords
1	1	nita	nitamonopoly.NitaMonopoly_story_1		哈唔（哈欠）——这天气也太舒服了吧！阳光暖暖的，像盖了一层被子！	500	
1	2	nita		1543012			
1	3	player	nitamonopoly.NitaMonopoly_story_2		一起晒太阳		
1	4	player	nitamonopoly.NitaMonopoly_story_3		嗯，阳光确实不错。但别直接躺下，昨天下了小雨，草地上还有点湿。你要不要垫点东西？		
1	5	nita	nitamonopoly.NitaMonopoly_story_4		哎呀不用不用，湿就湿嘛，大不了待会儿换一套！分析员也快来躺下试试。超——级——舒服喔！		
1	6	player	nitamonopoly.NitaMonopoly_story_5		好吧，那你也过来些，这边更平整，头会更舒服。		
1	7	nita	nitamonopoly.NitaMonopoly_story_6		唔，你说，云会不会在偷看我们？		
1	8	player	nitamonopoly.NitaMonopoly_story_7		云忙着跟风旅行，没空看我们。		
1	9	nita	nitamonopoly.NitaMonopoly_story_8		那……趁云不注意，我们做点不让它看的事？		
1	10	player	nitamonopoly.NitaMonopoly_story_9		比如？		
1	11	nita	nitamonopoly.NitaMonopoly_story_10		比如……这样！（阳光从她的发隙在身上洒落斑驳，落于唇上的，是温温热热的柔软）	500	nitamonopoly.NitaMonopoly_story_128
1	3	player	nitamonopoly.NitaMonopoly_story_11		一起锻炼		
1	4	player	nitamonopoly.NitaMonopoly_story_12		是啊，好久没见这么晴的天气了。机会难得，一起锻炼吧。		
1	5	player		1543015			
1	6	nita	nitamonopoly.NitaMonopoly_story_13		好啊好啊，要不咱们来比试下，谁先跑到那棵大树下？输了的人今晚做饭！		
1	7	nita		1543006			
1	8	player	nitamonopoly.NitaMonopoly_story_14		今天虽然出太阳了，但昨天还下着雨，路本来就不平，容易滑倒的。		
1	9	nita	nitamonopoly.NitaMonopoly_story_15		地面滑的话，那我们比爬树吧。		
1	10	player	nitamonopoly.NitaMonopoly_story_16		树干也滑，不安全。		
1	11	nita	nitamonopoly.NitaMonopoly_story_17		那……要不，分析员抱着我做上下蹲？		
1	12	player	nitamonopoly.NitaMonopoly_story_18		你确定？		
1	13	nita	nitamonopoly.NitaMonopoly_story_19		试试嘛！我保证不乱动！	500	nitamonopoly.NitaMonopoly_story_129
2	1	nita	nitamonopoly.NitaMonopoly_story_20		分析员看，那颗特别亮……旁边还有几颗小小的，像在围着它转。	500	
2	2	player	nitamonopoly.NitaMonopoly_story_21		嗯，是挺亮。		
2	3	nita	nitamonopoly.NitaMonopoly_story_22		一、二、三……（哈欠）四、五……		
2	4	player	nitamonopoly.NitaMonopoly_story_23		困了就睡，别硬撑。		
2	5	nita	nitamonopoly.NitaMonopoly_story_24		不行，还没数完呢……六、七……		
2	6	player	nitamonopoly.NitaMonopoly_story_25		一起数星星		
2	7	player	nitamonopoly.NitaMonopoly_story_26		真是倔。		
2	8	player	nitamonopoly.NitaMonopoly_story_27		数到哪儿了？八、九、十……		
2	9	nita	nitamonopoly.NitaMonopoly_story_28		十……十……分……析员……		
2	10	player	nitamonopoly.NitaMonopoly_story_29		算了，数不清就别数了。		
2	11	player	nitamonopoly.NitaMonopoly_story_30		睡吧，我在这儿。	500	nitamonopoly.NitaMonopoly_story_130
2	6	player	nitamonopoly.NitaMonopoly_story_31		许愿		
2	7	player	nitamonopoly.NitaMonopoly_story_32		要不要许个愿？		
2	8	nita	nitamonopoly.NitaMonopoly_story_33		那……你先许。		
2	9	player	nitamonopoly.NitaMonopoly_story_34		我希望……（顿了顿）以后还能这样。		
2	10	nita	nitamonopoly.NitaMonopoly_story_35		这愿望也太简单了吧？		
2	11	nita	nitamonopoly.NitaMonopoly_story_36		那我也许一个……希望分析员的愿望能实现。	500	nitamonopoly.NitaMonopoly_story_131
3	1	nita	nitamonopoly.NitaMonopoly_story_37		分——析——员！快来看看，地下渗出了清泉了！	500	
3	2	nita		1543008			
3	3	player	nitamonopoly.NitaMonopoly_story_38		嗯？好难得，地下竟然渗出这么清澈的水。		
3	4	nita	nitamonopoly.NitaMonopoly_story_39		记得这片森林以优质水源闻名，分析员，我们快尝尝！		
3	5	player	nitamonopoly.NitaMonopoly_story_40		用来烹饪		
3	6	player	nitamonopoly.NitaMonopoly_story_41		嗯，确实很清澈。这泉水看起来很适合用来做些特别的事。		
3	7	nita	nitamonopoly.NitaMonopoly_story_42		特别的事？比如啥？直接跳进去，一起洗个澡？		
3	8	nita		1543010			
3	9	player	nitamonopoly.NitaMonopoly_story_43		那倒不是。不过，我刚才注意到附近有些干粮和野菜，或许可以用来煮一锅野菜汤。		
3	10	nita	nitamonopoly.NitaMonopoly_story_44		哇！分析员连野菜都注意到了？不愧是行走的百科全书！那咱们赶紧动手吧！		
3	11	player	nitamonopoly.NitaMonopoly_story_45		嗯，野菜的采摘交给我吧，工具和材料的准备就拜托你了。		
3	12	nita	nitamonopoly.NitaMonopoly_story_46		知道啦！走吧走吧！我已经等不及喝清泉野菜汤啦！		
3	13	nita	nitamonopoly.NitaMonopoly_story_140		（妮塔利落地架好行军锅，屈指弹了弹锅沿发出铮鸣。）	500	nitamonopoly.NitaMonopoly_story_132
3	5	player	nitamonopoly.NitaMonopoly_story_47		用来饮用		
3	6	player	nitamonopoly.NitaMonopoly_story_48		嗯，附近没有勺子，我先用手尝尝吧。		
3	7	nita	nitamonopoly.NitaMonopoly_story_49		那分析员盛水，我来尝吧。		
3	8	player	nitamonopoly.NitaMonopoly_story_50		你这家伙、怎么这么贪嘴。		
3	9	nita	nitamonopoly.NitaMonopoly_story_51		嗯唔……		
3	10	player	nitamonopoly.NitaMonopoly_story_52		水、漏了不少喔。我的手指，这么好吃吗？		
3	11	nita	nitamonopoly.NitaMonopoly_story_53		嗯唔……唔嗯……好……好吃……分析员喜欢妮塔这样吗？		
3	12	nita	nitamonopoly.NitaMonopoly_story_54		若是喜欢的话，就不罚漏水的事了好不好？	500	nitamonopoly.NitaMonopoly_story_133
4	1	nita	nitamonopoly.NitaMonopoly_story_55		分析员，我们的干净床上用品——又又又又告急了！	500	
4	2	player	nitamonopoly.NitaMonopoly_story_56		嗯？问题不大。今天天气不错，坪里晒的很快就能干了。		
4	3	nita	nitamonopoly.NitaMonopoly_story_57		唔，可是这边没有清洗设备。手洗床单被套什么，太费劲了。这几天感觉都被困在手洗工作中，抽不出时间干别的了。		
4	4	player	nitamonopoly.NitaMonopoly_story_58		帮忙洗		
4	5	player	nitamonopoly.NitaMonopoly_story_59		确实，见你大部分时间都蹲河边洗东西了，辛苦了。之后的就我来吧。		
4	6	nita	nitamonopoly.NitaMonopoly_story_60		不要，分析员洗的话，也很辛苦。		
4	7	player	nitamonopoly.NitaMonopoly_story_61		哦，我懂了，那我们今晚不如不要折腾，早点休息？		
4	8	nita	nitamonopoly.NitaMonopoly_story_62		不用不用，难得假期，睡太早……反而可惜了。		
4	9	player	nitamonopoly.NitaMonopoly_story_63		嗯？可是一晚上换几次被单什么，清洗工作量确实庞大。		
4	10	nita	nitamonopoly.NitaMonopoly_story_64		哎呀没事，我洗我洗。难得假期，分析员好好放纵，不对、是好、好、休、息。		
4	11	player	nitamonopoly.NitaMonopoly_story_65		噗，跑慢些啊，别去河边了，回屋里去。剩下的交给我就好。		
4	12	player	nitamonopoly.NitaMonopoly_story_141		别白天就累坏了，毕竟晚上的训练量可不会减。	500	nitamonopoly.NitaMonopoly_story_134
4	4	player	nitamonopoly.NitaMonopoly_story_66		先歇会儿		
4	5	player	nitamonopoly.NitaMonopoly_story_67		辛苦了。其他事别担心，交给我吧。这会儿太阳不错，先一起坐着歇会儿吧。		
