活动ID	触发间隔天数	首次离线天数	非离线天数	玩家限制	再次离线保护天数{触发保护，结束保护，增加时间}	活动存在天数
ActId	IntervalDay	FirstOfflineDay	OfflineDay	Condition	OfflineProtectionDay	ActiveDay
19	42	14	28			14
41	42	14	28			14
62	42	14	28			14
79	42	14	28			14
94	42	14	28			14
103	42	14	28			14
114	42	14	28			14
149	42	14	28			14
165	42	14	28			14
169	42	14	28			14
190	42	14	28			14
202	42	14	28			14
231	42	14	28			14
251	42	14	28			14
268	42	14	28			14
288	42	14	28			14
330	42	14	28			14
351	42	14	28			14
386	42	14	28			14
393	42	14	28			14
405	42	14	28			14
560	42	14	28			14
604	42	14	28			14
619	42	14	28			14
