字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
page1.1	拿着铜钱，我和妮塔很快在基地里找到肴，没想到卜卜竟然也在这里。	拿著銅錢，我和妮塔很快在基地裡找到肴，沒想到卜卜竟然也在這裡。	銅貨を手に、私とニタは寮の中で肴を探しに行くと、ブブもそこにいた。	동전을 들고 니타와 함께 숙소에서 야오를 찾던 중, 뜻밖에 야오와 함께 있는 보보를 발견했다.	With the copper coin in hand, Nita and I tracked down Yao at the base — only to find Bubu hanging around too.						0	2.7版本妮塔入队剧情
page1.2	早呀，分析员，妮塔。	早呀，分析員，妮塔。	やっほー、分析員、ニタ。おはよーだね。	분석가랑 니타가 함께 있네~ 모두 안녕!	Morning, Adjutant~ Morning, Nita!						0	2.7版本妮塔入队剧情
page1.3	肴这是怎么了？	肴這是怎麼了？	肴はどうしたんだ？うなされているみたいだけど。	야오는 여기에 무슨 일로 온 거야?	What's up with Yao?						0	2.7版本妮塔入队剧情
page1.4	她来找我占卜退休的时间，但我卜到一半，她就睡着了。	她來找我占卜退休的時間，但我卜到一半，她就睡著了。	さっきね、「いつ退職できるか」って占いを頼まれたんだけど、わたしが卜してたら途中で寝ちゃったんだよね。	퇴직할 시기를 점치러 왔는데, 점을 보다가 갑자기 잠들어 버렸어.	She came to me for a fortune reading — wanted to know when she could finally retire. But then she nodded off. Right in the middle of it.						0	2.7版本妮塔入队剧情
page1.5	那占卜的结果是什么？	那占卜的結果是什麼？	結果はどうだったの？	그래서 점괘는 뭐라고 나왔어?	So? What did the reading say?						0	2.7版本妮塔入队剧情
page1.6	别提了，每次快有结果时就天雷大作，肴怕是要打一辈子工了！	別提了，每次快有結果時就天雷大作，肴恐怕是要一輩子打工了！	いやあ、毎回もうちょっとで見えそーってときに天雷が落ちちゃうからね。肴ったら、一生働くハメになりそーじゃん？	말도 마. 결과가 나오려 하면 번개가 쳐서, 야오는 평생 일해야 할 팔자인 것 같아!	Oof, don't get me started. Every time I was close to pulling a clear sign — boom! Thunder from the heavens! Looks like poor Yao's doomed to a life of eternal overtime!						0	2.7版本妮塔入队剧情
page1.7	还好肴睡着了……不用听到这么可怕的事。	還好肴睡著了……不用聽到這麼可怕的事。	ひぇ…眠ってる肴は不幸中の幸いかも…	그나마 야오가 잠들어서 다행이야. 이런 얘기를 들으면 충격받았을걸.	...Good thing she's asleep. Spared her the horror.						0	2.7版本妮塔入队剧情
page1.8	咦！我看你们两位红光满面，精神焕发，似乎是要遇到好事情了呢！	咦！我看你們兩位紅光滿面，精神煥發，似乎是要遇到好事情了呢！	あれ？ あんたたち、なんか顔色いいじゃん。いいことあったの？	그나저나 너희 둘 얼굴이 환해 보이네? 뭔가 좋은 일이 생길 것 같은데!	Anyway~ Look at you two! Rosy cheeks, bright eyes... you're practically glowing! Looks like something good's headed your way!						0	2.7版本妮塔入队剧情
page1.9	嗯？会有什么好事情？	嗯？會有什麼好事情？	えっ、いいこと？なんだろう？	뭐? 좋은 일?	Really? Like what?						0	2.7版本妮塔入队剧情
