字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
player	主角	主角	分析員	플레이어	Adjutant						0	
girl1	安卡希雅	安卡希雅	アカシア	아카시아	Acacia						0	
girl2	里芙	里芙	リフ	리브	Lyfe						0	
girl3	妮塔	妮塔	ニタ	니타	Nita						0	
girl4	芙提雅	芙提雅	フリティア	프티야	Fritia						0	
girl5	茉莉安	茉莉安	マリアン	마리안	Marian						0	
girl6	晴	晴	晴	하루	Haru						0	
girl7	琴诺	琴諾	チェルノ	체르노	Cherno						0	
girl8	芬妮	芬妮	ファニー	페니	Fenny						0	
girl9	测试	測試	テスト	테스트	Test						0	
girl10	肴	肴	肴	야오	Yao						0	
girl11	恩雅	恩雅	エンヤ	엔야	Enya						0	
girl12	猫汐尔	貓汐爾	マーシル	캣 시에라	Mauxir						0	
girl13	瑟瑞斯	瑟瑞斯	シーリス	세리스	Siris						0	
girl14	辰星	辰星	辰星	수성	Chenxing						0	
girl15	凯茜娅	凱茜婭	カーシア	캐시아	Katya						0	
girl16	伊切尔	伊切爾	イチェル	이첼	Eatchel						0	
girl17	苔丝	黛斯	テス	테스	Tess						0	
girl18	薇蒂雅	薇蒂雅	ヴィディア	비디야	Vidya						0	
girl20	卜卜	卜卜	ブブ	보보	Bubu						0	2.7版本宿舍剧情角色名
girl21	奈莉德	奈莉德	ネリーダ	네리다	Nerida						0	2.8版本宿舍剧情角色名
girl22	克罗瑞娜	克羅瑞娜	クラウリナ	클라리나	Clarina						0	3.3版本宿舍剧情角色名
girl23	米娅	米婭	ミア	미아	Mia						0	3.4版本宿舍剧情角色名
girl001	安卡希雅	安卡希雅	アカシア	아카시아	Acacia						0	3.0版本开拓剧情角色名
girl003	妮塔	妮塔	ニタ	니타	Nita						0	2.7版本宿舍剧情角色名
girl006a	晴	晴	晴	하루	Haru						0	
girl007	莫尔索	莫爾索	ムルソー	모르소	Meursault						0	
girl011a	恩雅	恩雅	エンヤ	엔야	Enya						0	
girl015	凯茜娅	凱茜婭	カーシア	캐시아	Katya						0	
girl017	苔丝	黛斯	テス	테스	Tess						0	
girl003_01a	妮塔	妮塔	ニタ	니타	Nita						0	2.7版本温泉剧情角色名
girl010_01a	肴	肴	肴	야오	Yao						0	2.5版本温泉剧情角色名
girl014_01a	辰星	辰星	辰星	수성	Chenxing						0	2.5版本温泉剧情角色名
girl10a_03	肴	肴	肴	야오	Yao						0	
girl11_02	恩雅	恩雅	エンヤ	엔야	Enya						0	
girl12a_02	猫汐尔	貓汐爾	マーシル	캣 시에라	Mauxir						0	
girl14a_03	辰星	辰星	辰星	수성	Chenxing						0	
npc101	卡罗琳	卡羅琳	カロリン	캐롤린	Caroline						0	2.7版本宿舍剧情角色名
npc201	悠闲的员工	悠閒的員工	のんびりした社員	한가한 직원	Leisurely Staff						0	2.7版本宿舍剧情角色名
npc202	纠结的员工	糾結的員工	葛藤する社員	고민하는 직원	Conflicted Staff						0	2.7版本宿舍剧情角色名
npc203	忙碌的安保	忙碌的保全	忙しい警備員	바쁜 직원	Busy Security Staff						0	2.7版本宿舍剧情角色名
npc205	热情的员工	熱情的員工	情熱的な社員	열정적인 직원	Extroverted Staff Member						0	2.7版本宿舍剧情角色名
npc206	员工琪琪	員工琪琪	社員キキ	직원 키키	Kiki (Staff)						0	2.7版本宿舍剧情角色名
npc207	员工莉莉	員工莉莉	社員リリィ	직원 릴리	Lily (Staff)						0	2.7版本宿舍剧情角色名
dlc2.npc202	研究员宝琳	研究員寶琳	研究員バオリン	연구원 보린	Researcher Pauline						0	
dlc2.npc403	卡罗琳	卡羅琳	カロリン	캐롤린	Caroline						0	
dlc2.npc408	干员布琪	幹員布琪	オペレーターブキー	요원 부키	Officer Buki						0	
dlc2.npc401_1	干员马利	幹員馬利	オペレーターマリー	요원 말리	Officer Mary						0	
dlc2.npc401_2	干员路易	幹員路易	オペレータールイー	요원 루이	Officer Louis						0	
dlc3_npc406	谜之无人机	謎樣無人機	謎のドローン	미지의 드론	Mysterious Drone						0	
dlc3_npc406_02	谜之无人机	謎樣機器人	謎のドローン	미지의 드론	Mysterious Drone						0	
dlc3_npc406_03	谜之无人机	謎樣無人機	謎のドローン	미지의 드론	Mysterious Drone						0	
dlc3_npc_interaction	？？？	？？？	？？？	???	???						0	
dlc3_npc_interaction_2	互动触摸板			상호작용 터치패드	Interactive Touch Panel						1	
dlc5_TalkNpc_01	被解救的人质	被解救的人質	開放された人質	구출된 인질	Rescued Hostage						0	
dlc6_TalkNpc_01	融合士兵	融合士兵	融合兵士	융합체 병사	Hybrid Soldier						0	
dlc6_TalkNpc_02	奥米茄亲卫	ω親衛	ω親衛隊	ω 근위병	ω's Bodyguard						0	
dlc6_TalkNpc_03	意识模糊的融合士兵	意識模糊的融合士兵	意識が朦朧としている融合兵士	의식 불명 융합체 병사	Confused Hybrid Soldier						0	
dlc6_TalkNpc_04	融合士兵	融合士兵	融合兵士	융합체 병사	Hybrid Soldier						0	
dlc6_TalkNpc_05	融合士兵	融合士兵	融合兵士	융합체 병사	Hybrid Soldier						0	
dlc7_TalkNpc_01	惊慌失措的男人	驚慌失措的男人	取り乱した男性	당황한 남성	Panicked Man						0	
dlc7_TalkNpc_02	精神崩溃的女人	精神崩潰的女人	正気を失った女性	정신 나간 여성	Upset Woman						0	
dlc7_TalkNpc_03	正在祈祷的男人	正在祈禱的男人	祈りを捧げている男性	기도하는 남성	Praying Man						0	
dlc12_TalkNpc_01	本地村民甲	本地村民甲	村人A	현지 마을 주민 A	Local Villager A						0	
dlc12_TalkNpc_02	恐惧的村民	恐懼的村民	怯える村人	겁에 질린 마을 주민	Terrified Villager						0	
dlc12_TalkNpc_03	疯癫的村民	瘋癲的村民	正気を失った村人	미친 마을 주민	Crazy Villager						0	
dlc12_TalkNpc_04	慌乱的村民	慌亂的村民	慌てる村人	혼란스러운 마을 주민	Panicked Villager						0	
dlc25_TalkNpc_01	急脾气	急脾氣	タンキ	성급쟁이	Shortemper						0	2.5版本新星开拓npc名字
dlc25_TalkNpc_02	慢半拍	慢半拍	ノンキ	느림보	Slowstride						0	2.5版本新星开拓npc名字
dlc25_TalkNpc_03	说胡话	說胡話	キョゲン	허풍쟁이	Chatterlip						0	2.5版本新星开拓npc名字
dlc25_TalkNpc_04	尖尖耳	尖尖耳	ウサミミ	뾰족귀	Sharpear						0	2.5版本新星开拓npc名字
