字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	舒爽的海风缓缓吹拂，伴随着鱼儿不时跃出水面的声音……	舒緩的海風緩緩吹拂，伴隨著魚兒不時躍出水面的聲音…	爽やかな海風が吹いている。水面からときどき魚が飛び跳ねる音が聞こえてくる。	상쾌한 바닷바람이 천천히 불어오고, 물고기들이 수면 위로 가끔씩 뛰어오르는 소리가 들려왔다…	An invigorating sea breeze slowly drifted by, occasionally accompanied by the sound of fish leaping out of the water...						0	2.5版本新星开拓3期开场剧情
2	啊~啊~好大！……	啊~啊~好大！……	わ、わあ！大きいのが釣れました！	아~ 아~ 정말 크네요! ……	Ahhh~ It's so big...!						0	2.5版本新星开拓3期开场剧情
3	好大的鱼呀，分析员快看，长度都破纪录了！这次我应该能赢过你了吧~	好大的魚呀，分析員快看，長度都破紀錄了！這次我應該可以贏過你了吧~	分析員さん！見てください、新記録ですよ！今度こそ私の勝ちですよね？	물고기가 정말 커요, 이것 좀 보세요, 기록을 경신했어요! 이번에는 분석가님을 이길 수 있을 거 같은데요~	What a huge fish... Adjutant, look! This is the longest one I've caught yet! I think I'm going to beat you this time~						0	2.5版本新星开拓3期开场剧情
4	哎呀呀，惩罚环节什么的，我一定会特别特别温柔的……	哎呀呀，懲罰環節什麼的，我一定會特別特別溫柔的……	罰ゲームは、特別にやさしいものにしておきますね～	이런, 벌칙 같은 게 있어도 분석가님에게는 살살해드릴게요…	Heheh, I promise to be super gentle when I dole out your punishment...						0	2.5版本新星开拓3期开场剧情
5	赶上休息日，大家决定上号一起来新星开拓的海岛上钓钓鱼，聊聊天，就当集体活动了。	趕上休息日，大家決定上號一起來新星開拓的海島上釣釣魚，聊聊天，就當作集體活動了。	休日、みんなといっしょに惑星開拓にログインして、島で釣りをしながら雑談することにした。	휴일을 맞이해, 사람들은 같이 개척한 신성의 섬에서 낚시하며 이야기도 나누는 단체 활동을 하려고 했다.	During our day off, everyone decided to log in to Star Master for a day of fishing and chatting on the new island.						0	2.5版本新星开拓3期开场剧情
6	抱歉了薇蒂雅，这次依然还是我钓到的鱼更长一些。	抱歉了薇蒂雅，這次依然還是我釣到的魚比較長。	すまない。今度も私のほうが大きいようだ。	미안해, 비디야, 이번에도 내가 잡은 물고기가 조금 더 큰 거 같네.	Sorry, Vidya, but the fish I caught is still longer.						0	2.5版本新星开拓3期开场剧情
7	哈呜……一下午了，这场钓鱼比赛咱们的分析员就没输过。	哈嗚……一下午了，這場釣魚比賽我們的分析員就沒輸過。	ふぁ～……午後からずっと釣ってるのに、分析員は一回も負けなかったね。	하암… 하루 종일 했는데, 이번 낚시 대회에서 분석가가 한 번도 진 적이 없잖아.	Huh... We've been at this all afternoon, and the Adjutant hasn't lost a fishing contest once.						0	2.5版本新星开拓3期开场剧情
8	抛开分析员的确实力超群这个事实不谈，建议严查。	拋開分析員的確實力超群這個事實不談，建議嚴查。	分析員の実力がいくら高くても、これは調べたほうがよさそうだニャン。	분석가의 실력이 뛰어난 사실은 알겠지만, 엄격하게 검사했으면 좋겠어.	Ignoring the fact that the Adjutant is clearly an extraordinary individual, I recommend a thorough investigation.						0	2.5版本新星开拓3期开场剧情
9	芙提雅老师也觉得从统计学的角度说不通，嘿嘿，严查严查~	芙提雅老師也覺得從統計學的角度說不通，嘿嘿，嚴查嚴查~	私もそう思う！統計学から見てもおかしいもん。ふふ、調査♪調査♪	프티야도 통계학적으로 말이 안 된다 생각해, 헤헤, 조금 더 엄격하게 검사해야 할 것 같아~	I don't think it makes sense from a statistical standpoint either. Hehe, time to investigate~						0	2.5版本新星开拓3期开场剧情
