字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	肴温情提示：										0	3.7肴金乌个人故事
2	为了获得更好的体验，游玩该个人故事前，推荐郎君优先观看《终焉之歌》剧情。										0	3.7肴金乌个人故事
3	零区湮灭的余波逐渐平息，连日的忙碌告一段落。										0	3.7肴金乌个人故事
4	我终于迎来这段期盼已久的、仿佛被时光格外眷顾的闲暇。										0	3.7肴金乌个人故事
5	昨日的倦意已尽然消散，只余下澄澈的清醒，轻轻涌动着。										0	3.7肴金乌个人故事
6	偎在眷恋的怀中，贪恋这一隙被延长的安宁。										0	3.7肴金乌个人故事
7	肴总是喜欢这样靠在我怀里，任我为她梳理散落的长发。										0	3.7肴金乌个人故事
8	享受这平稳安宁的日子，或是这一份肆意纵容的慵懒。										0	3.7肴金乌个人故事
9	哈……总算能歇口气了。										0	3.7肴金乌个人故事
10	前阵子折腾得够呛，感觉头发都掉了不少。										0	3.7肴金乌个人故事
11	噗……										0	3.7肴金乌个人故事
12	你笑什么！不会真掉了很多吧？										0	3.7肴金乌个人故事
13	当然没有，就是想看看我们“养生专家”着急的样子。										0	3.7肴金乌个人故事
14	吓我一跳……要不是最近太忙，我才不担心这个呢。										0	3.7肴金乌个人故事
15	头发啊，就跟植物的叶子一样，得多晒太阳、多休息才健康。										0	3.7肴金乌个人故事
16	有道理，你看这积雪草……										0	3.7肴金乌个人故事
17	我将阳台上的积雪草端下，轻轻摘下一片边角泛黄的叶片。										0	3.7肴金乌个人故事
18	这么顽强的植物一周没有照顾也会发黄掉叶。										0	3.7肴金乌个人故事
19	嘶，最近忘了给它浇水了。										0	3.7肴金乌个人故事
20	肴从手边拿起水杯，将纯净水缓缓浇在积雪草的土壤上。										0	3.7肴金乌个人故事
21	水珠滑过叶片，积雪草微微抖动了几下，随即叶片舒展开来，泛起莹润的绿意。										0	3.7肴金乌个人故事
22	这下它就不会掉叶子啦。										0	3.7肴金乌个人故事
23	说起来，我还没见过积雪草开花的样子。										0	3.7肴金乌个人故事
24	积雪草的花吗，我之前见过一次，挺小的一朵，特别不起眼就是了。										0	3.7肴金乌个人故事
25	说到花……哎，郎君，你听说过夜熙花吗？										0	3.7肴金乌个人故事
26	夜熙花？完全没有印象。										0	3.7肴金乌个人故事
27	我之前在一本旧书上看到的。										0	3.7肴金乌个人故事
28	说是这种花会在积雪草旁边生长，夜晚开花，白天合苞，周而复始。										0	3.7肴金乌个人故事
29	积雪草在零区以外的地方也不算稀有品种，这种花应该也很常见吧。										0	3.7肴金乌个人故事
30	恰恰相反，夜熙花的生存能力和积雪草是完全不同的。										0	3.7肴金乌个人故事
31	生长在积雪草附近更像是一种传言。										0	3.7肴金乌个人故事
32	我找遍了很多地方，积雪草见了不少，就是没看见这花。										0	3.7肴金乌个人故事
33	正好现在休假，要不咱们走远点找找看？										0	3.7肴金乌个人故事
34	我看没必要，要我说啊，估计早灭绝了。不然怎么除了那本旧书，一点资料都找不到？										0	3.7肴金乌个人故事
35	再说了，好不容易放个假，还不如好好歇几天，吃点好的。										0	3.7肴金乌个人故事
36	肴嘴上虽这么说，却还是轻轻叹了口气。										0	3.7肴金乌个人故事
37	那先把我们的假期享受一下，再说后面的事情吧。										0	3.7肴金乌个人故事
