字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
memlock	该队员已出战其他战线	該隊員已出戰其他戰線	この隊員は他の戦線に参戦しています	해당 팀원은 다른 전선에서 전투 중입니다.	Operative already on another Battlefront						0	
supplylock	上阵失败，后勤或武器已用于其他战线	上陣失敗，後勤或武器已用於其他戰線	出撃に失敗しました。後方支援または武器は他の戦線で使用されています。	출전 실패, 지원 또는 무기가 다른 전선에서 이미 사용 중입니다.	Deployment failed, logistics officer or weapon is already in use on another Battlefront						0	
resetteam	重置将清空已有战线记录，撤离驻守队伍，并清空当前战线的战幕绩点。	重置將會清除已有戰線記錄，撤離駐守隊伍並清除當前戰線的戰幕績點。	リセットすると戦線の記録は削除され、駐屯部隊は撤退し、この戦線の戦幕ポイントもリセットされます。	리셋 시 전선 기록이 삭제되고 주둔팀이 철수되며 현재 전선의 전투 현장 점수가 사라집니다.	After reset, current Battlefront record will be cleared, garrisoned operatives will be released, and current Battlefield Peril Points will be cleared.						0	
settlement_score	获得当前临时阵地战幕绩点	獲得當前臨時陣地的戰幕績點	現在の仮設陣地の戦幕ポイントを獲得する	임시 진영의 전투 현장 점수 획득	Encampment Peril Points						0	
ticket_not_enough	通行密钥不足	通行金鑰不足	通行キーが不足しています	통행 열쇠가 부족합니다.	Insufficient Access Keys						0	
notopen	活动暂未开放	活動暫未開放	未開放のイベントです	이벤트가 오픈되지 않았습니다.	Event not yet open						0	
layerlock	请先完成当前危险评级的战线作战	請先完成當前危險評級的戰線作戰	現在の危険レベルの戦線作戦をクリアしてください	현재 위험 등급의 전선 전투를 먼저 완료해 주세요.	Please complete the Battlefront in the current danger level						0	
riskwarning	当前作战难度较高，请确认是否继续	當前作戰難度較高，請確認是否繼續	この作戦の難易度は高いです。継続しますか？	전투 난이도가 높습니다. 계속하시겠습니까?	The current battle difficulty level is very high. Continue?						0	
buffname1	强袭	強襲	強襲	강습	Onslaught						0	
buff1	主动技能伤害提升%s%%	主動技能傷害提升%s%%	アクティブスキルの与ダメージ+%s%%	액티브 스킬 대미지가 %s%% 증가한다.	Increases Active Skill DMG by %s%%						0	
buffname2	近威	近威	近威	근거리 위협	Close Quarters						0	
buff2	对半径%s米内敌方目标造成的伤害提升%s%%	對半徑%s公尺內敵方目標造成的傷害提升%s%%	半径%sm以内の敵へのダメージ+%s%%	반경 %sm 내의 목표 타깃에게 입히는 대미지가 %s%% 증가한다.	Increases DMG dealt to enemy targets within %s meter(s) by %s%%						0	
buffname3	流转	流轉	流転	흐름	Flow						0	
buff3	常规能量回复速度提升%s%%	常規能量回復速度提升%s%%	通常EP回復速度+%s%%	일반 에너지 회복 속도가 %s%% 증가한다.	Increases S-Energy Recovery by %s%%						0	
buffname4	染冰	染冰	染氷	빙결	Dyed Frost						0	
buff4	击败敌方目标时，造成1次低温类型的范围伤害，并施加冻结效果，持续%s秒，触发间隔%s秒	擊敗敵方目標時，造成1次低溫類型的範圍傷害，並施加凍結效果，持續%s秒，觸發間隔%s秒	敵を撃破すると、低温系の範囲ダメージを1回与え、%s秒持続する凍結効果を与える。クールタイム：%s秒	목표 타깃 격파 시, 얼음 유형의 범위 대미지를 1회 발동하고 동결 효과를 부여한다. 지속 시간: %s초. 쿨타임: %s초	Upon defeating an enemy, deals 1 instance of AoE Frost DMG and applies Frozen for %s sec. Cooldown: %s sec						0	
buffname5	捕风	捕風	捕風	풍속	Windcatcher						0	
buff5	射击速度提升%s%%	射擊速度提升%s%%	射撃速度+%s%%	사격 속도가 %s%% 증가한다.	Increases Rate of Fire by %s%%						0	
buffname6	季生	季生	季生	연명	New Life						0	
buff6	射击命中敌方目标时，回复%s%%最大生命，触发间隔%s秒	射擊命中敵方目標時，回復%s%%最大生命，觸發間隔%s秒	射撃が敵に命中すると、最大HPの%s%%を回復。クールタイム：%s秒	목표 타깃을 사격으로 명중할 시, 최대 HP를 %s%% 회복한다. 쿨타임: %s초.	Recovers %s%% of Max HP when a shot hits an enemy target. Cooldown: %s sec						0	
buffname7	疾雷	疾雷	疾雷	질뢰	Thunderclap						0	
buff7	电击类型伤害提升%s%%	電擊類型傷害提升%s%%	電撃系ダメージ+%s%%	번개 유형 대미지가 %s%% 증가한다.	Increases Electrical DMG by %s%%						0	
buffname8	交易	交易	取引	거래	One-Sided Deal						0	
buff8	每击败1个敌方目标，防御力提升%s%%，总提升不超过%s%%	每擊敗1個敵方目標，防禦力提升%s%%，總提升不超過%s%%	敵を1体倒すごとに、防御力+%s%%、最大%s%%まで。	목표 타깃을 격파할 때마다 방어력이 %s%% 증가한다. 최대 증가치: %s%%	DEF increases by %s%% for every 1 enemy target defeated, up to a max of %s%%.						0	
buffname9	恒常	恆常	恒常	불변	Permanence						0	
buff9	爆发能量获取率提升%s%%	爆發能量獲取率提升%s%%	爆発EP取得率+%s%%	부스터 획득률이 %s%% 증가한다.	Increases U-Energy Recovery by %s%%						0	
buffname10	操偶	操偶	操り人形	꼭두각시	Puppet Master						0	
buff10	敌方目标的抗打断能力降低	敵方目標的抗打斷能力降低	敵の中断耐性ダウン	타깃의 경직 저항력이 감소한다.	Reduces enemy Anti-Interruption Ability						0	
buffname11	赤夏	赤夏	赤夏	한여름	Midsummer						0	
buff11	高热类型伤害提升%s%%	高熱類型傷害提升%s%%	高熱系ダメージ+%s%%	화염 유형 대미지가 %s%% 증가한다.	Increases Thermal DMG by %s%%						0	
buffname12	灼伤	灼傷	熱傷	화상	Blaze						0	
