字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
ArmoredRiderTitle01	装甲战骑·高热赛季										1	装甲战骑多语言
ArmoredRiderTitle02	军械库										1	装甲战骑多语言
ArmoredRiderTitle03	战骑少女										1	装甲战骑多语言
ArmoredRiderTitle04	周期奖励										1	装甲战骑多语言
ArmoredRiderTitle05	线性关卡										1	装甲战骑多语言
ArmoredRiderTitle06	挑战模式										1	装甲战骑多语言
ArmoredRiderTitle07	终局挑战										1	装甲战骑多语言
ArmoredRiderTitle08	赛季天赋										1	装甲战骑多语言
ArmoredRiderLayout01	武器										1	装甲战骑多语言
ArmoredRiderLayout02	防线										1	装甲战骑多语言
ArmoredRiderLayout03	等级详情										1	装甲战骑多语言
ArmoredRiderLayout04	装配武器										1	装甲战骑多语言
ArmoredRiderLayout05	卸下武器										1	装甲战骑多语言
ArmoredRiderLayout06	提升等级										1	装甲战骑多语言
ArmoredRiderLayout07	选择角色										1	装甲战骑多语言
ArmoredRiderLayout08	上阵中										1	装甲战骑多语言
ArmoredRiderLayout09	尚未雇佣										1	装甲战骑多语言
ArmoredRiderLayout10	少女详情										1	装甲战骑多语言
ArmoredRiderLayout11	同步系统										1	装甲战骑多语言
ArmoredRiderLayout12	解除上阵										1	装甲战骑多语言
ArmoredRiderLayout13	上阵少女										1	装甲战骑多语言
ArmoredRiderLayout14	购买										1	装甲战骑多语言
ArmoredRiderLayout15	天赋分支1名称										1	装甲战骑多语言
ArmoredRiderLayout16	天赋分支2名称										1	装甲战骑多语言
ArmoredRiderLayout17	天赋分支3名称										1	装甲战骑多语言
ArmoredRiderLayout18	弹药性能										1	装甲战骑多语言
ArmoredRiderLayout19	生存性能										1	装甲战骑多语言
ArmoredRiderLayout20	移动性能										1	装甲战骑多语言
ArmoredRiderLayout21	本期任务次数										1	装甲战骑多语言
ArmoredRiderLayout22	周期任务刷新：{}天										1	装甲战骑多语言
ArmoredRiderLayout23	剩余刷新次数：{}次										1	装甲战骑多语言
ArmoredRiderLayout24	已领取										1	装甲战骑多语言
ArmoredRiderLayout25	刷新										1	装甲战骑多语言
ArmoredRiderLayout26	挑战嘉奖										1	装甲战骑多语言
ArmoredRiderLayout27	玩法名称										1	装甲战骑多语言
ArmoredRiderLayout28	操纵机甲守护所有的阵线										1	装甲战骑多语言
ArmoredRiderLayout29	更换武器										1	装甲战骑多语言
ArmoredRiderLayout30	准备作战										1	装甲战骑多语言
ArmoredRiderLayout31	自动射击										1	装甲战骑多语言
ArmoredRiderLayout32	镇守奖励										1	装甲战骑多语言
ArmoredRiderLayout33	赛季buff										1	装甲战骑多语言
ArmoredRiderLayout34	周期buff										1	装甲战骑多语言
ArmoredRiderLayout35	积分奖励										1	装甲战骑多语言
ArmoredRiderLayout36	终局排行										1	装甲战骑多语言
