字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
FunctionType1	区域轰炸	區域轟炸	範囲爆撃	구역 폭격	Bombard 						0	智械大类1
FunctionType2	蜂群打击	蜂群打擊	集団打撃	스웜 타격	Swarm 						0	智械大类2
FunctionType3	钢铁防线										0	3.7赛季2智械大类3
ChipsType1	智械	智械	AI機械	지능형 로봇	OmniTech						0	智械搭配页签1
ChipsType2	芯片	晶片	チップ	칩	Chips						0	智械搭配页签2
ChipsFilterNull	没有符合当前筛选条件的结果，请尝试切换筛选条件	沒有符合當前篩選條件的結果，請嘗試變更篩選條件	該当する結果がありません。条件を変更してください。	현재 필터 조건과 일치하는 결과가 없습니다. 필터 조건을 변경해 보세요.	No results match the current filter. Try a different one.						0	筛选为空返回提示
ChipsType1_Tag1	智械	智械	AI機械	지능형 로봇	OmniTech						0	芯片筛选大类1Tag1
ChipsType1_Tag2	核心芯片	核心晶片	コアチップ	코어 칩	Core Chip						0	芯片筛选大类1Tag2
ChipsType1_Tag3	协同芯片	協同晶片	協同チップ	시너지 칩	Assist Chip						0	芯片筛选大类1Tag3
ChipsType2_Tag1	智械续航	智械續航	AI機械持続	지능형 로봇 지구력	OmniTech Duration						0	芯片筛选大类2Tag1
ChipsType2_Tag2	角色增幅	角色增幅	隊員バフ	캐릭터 증폭기	Operative Strength						0	芯片筛选大类2Tag2
ChipsType2_Tag3	智械增幅	智械增幅	AI機械バフ	지능형 로봇 증폭기	OmniTech Strength						0	芯片筛选大类2Tag3
ChipsType2_Tag4	物品破坏	物品破壞	破壊力強化	아이템 파괴	Part Destruction						0	芯片筛选大类2Tag4
ChipsType2_Tag5	控制强化	控制強化	制御強化	통제 강화	Control Effect						0	芯片筛选大类2Tag5
ChipsType2_Tag6	范围强化	範圍強化	範囲強化	범위 강화	Range						0	芯片筛选大类2Tag6
ChipsGroup1	预设1	預設1	プリセット1	설정 1	Preset 1						0	芯片组可保存预设组1
ChipsGroup2	预设2	預設2	プリセット2	설정 2	Preset 2						0	芯片组可保存预设组2
ChipsGroup3	预设3	預設3	プリセット3	설정 3	Preset 3						0	芯片组可保存预设组3
ChipsGroupUse	启用	啟用	起動	적용	Activate						0	芯片组激活使用
ChipsGroupUsed	启用中	啟用中	起動中	적용 중	Activated						0	芯片组正在使用
ChipsGroupUsedTip	已成功切换至【%s】	已成功切換至【%s】	「%s」に切り替えました	[%s](으)로 전환되었습니다.	Switched to %s						0	芯片组成功切换提示
SystemAutoEquipByLevel	智械库等级提升，已自动更新智械搭配	智械庫等級提升，已自動更新智械搭配	AI機械庫がレベルアップ、AI機械の配置が更新されました	지능형 로봇 정비소 레벨이 업그레이드되어 지능형 로봇 조합이 자동으로 업데이트되었습니다.	OmniTech Armory level increased. OmniTech loadout automatically updated.						0	因智械库等级提升更新装备芯片
SystemAutoEquipByChips	检测到高级芯片迭代，已自动更新智械搭配	檢測到高級晶片迭代，已自動更新智械搭配	上級チップの更新を検知、AI機械の配置が更新されました	고급 칩 업그레이드가 감지되어 지능형 로봇 조합이 자동으로 업데이트되었습니다.	High-level chip detected. OmniTech loadout automatically updated.						0	因分支芯片品质更新装备芯片
SystemAutoEquipName1	战术打击	戰術打擊	戦術攻撃	전술적 타격	Tactical Strike						0	系统推荐1标题
SystemAutoEquipDescription1	使用各种强力的区域轰炸进行火力覆盖，可以对范围内敌方目标造成有效伤害	使用各種強力的區域轟炸進行火力覆蓋，可以對範圍內敵方目標造成有效傷害	強力な範囲爆撃で敵を制圧し、範囲内の敵に大ダメージを与える。	다양하고 강력한 구역 폭격을 사용하여 화력 제압을 이룬다. 범위 내의 타깃에게 효과적인 대미지를 입힐 수 있다.	You prefer to call in strikes for powerful area bombardments, dealing extensive DMG to enemies.						0	系统推荐1描述
SystemAutoEquipName2	协同作战	協同作戰	協同作戦	협동 전투	Drone Assist						0	系统推荐2标题
