字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
type_1	剧情	劇情	ストーリー	스토리	Story						0	
type_2	日常	日常	デイリー	일상	Daily						0	
type_3	挑战	挑戰	チャレンジ	도전	Challenge						0	
type_4	探索	探索	探索	탐사	Exploration						0	
type_5	训练场	訓練場	訓練場	훈련장	Training Ground						0	
type_1_1	主线	主線	ストーリー	메인	Main Story						0	
type_1_2	主线	主線	ストーリー	메인	Main Story						0	
type_2_1	曜日本	曜日本		요일 던전	Sunday's Instance						1000	
type_2_2	角色碎片	角色碎片	隊員の抽出物	캐릭터 조각	Operative Fragment						0	
pass_pre_level	通关前置关卡%s	通關前置關卡%s	前提ステージ%sをクリアする	이전 스테이지 %s 클리어	Clear previous stage %s						0	
condition_1	分析员达到%s等级后解锁	分析員達到%s等級後解鎖	分析員がLv.%sに達すると開放	분석가 레벨 Lv.%s 달성 후 오픈	Unlock after reaching Adjutant Lv. %s						0	
condition_2	通关关卡%s后解锁	通關關卡%s後解鎖	「%s」クリア後に開放	스테이지 %s 클리어 후 오픈	Unlock after clearing stage %s						0	
condition_3	通关上一章解锁	通關上一章解鎖	前のチャプタークリア後に開放	이전 챕터 클리어 후 오픈	Unlock after clearing the previous chapter						0	
condition_4	通关【%s】难度后解锁	通關【%s】難度後解鎖	難易度【%s】クリア後に開放	[%s] 난이도 클리어 후 오픈	Unlock after clearing difficulty %s						0	
condition_5	通关%s%s难度%s后解锁	通關%s%s難度%s後解鎖	ステージ%s難易度%s【%s】クリア後に開放	%s%s 난이도 %s 클리어 후 오픈	Unlock after clearing %s (Difficulty: %s) %s						0	
condition_6	通关【%s】难度【%s】后解锁	通關【%s】難度【%s】後解鎖	【%s】難易度【%s】クリア後に開放	[%s] 난이도 [%s] 클리어 후 오픈	Unlock after clearing %s (%s)						0	
condition_7	通关关卡%s后解锁	通關關卡%s後解鎖	%sクリア後に開放	스테이지 %s 클리어 후 오픈	Unlock after clearing stage %s						0	
defend	保护目标	保護目標	ターゲットを守る	타깃 보호하기	Protect Objective						0	
main_1	受缚者	受縛者	縛られし者	속박된 신분	The Confined						0	
main_english_1	CHAPTER I	CHAPTER I	CHAPTER I	CHAPTER I	CHAPTER I						0	
main_2	矮人项链	矮人項鍊	ドワーフネックレス	드워프의 목걸이	The Pygmy Necklace						0	
main_english_2	CHAPTER II	CHAPTER II	CHAPTER II	CHAPTER II	CHAPTER II						0	
main_3	拾取卢恩	拾取盧恩	ルーンを拾う	주워든 룬	Acquire Runes						0	
main_english_3	CHAPTER III	CHAPTER III	CHAPTER III	CHAPTER III	CHAPTER III						0	
main_4	从雪中来	從雪中來	キオーンの中から	눈 속에서	From the Snow						0	
main_english_4	CHAPTER IV	CHAPTER IV	CHAPTER IV	CHAPTER IV	CHAPTER IV						0	
main_5	扭曲诗篇	扭曲詩篇	ゆがんだ詩	왜곡된 시편	Distorted Hymns						0	
main_english_5	CHAPTER V	CHAPTER V	CHAPTER V	CHAPTER V	CHAPTER V						0	
main_6	追寻何物	追尋何物	何かを求めて	수색 작업	In Pursuit of What						0	
main_english_6	CHAPTER VI	CHAPTER VI	CHAPTER VI	CHAPTER VI	CHAPTER VI						0	
main_7	往泥土去	往泥土去	泥に向かって	흙 속으로	Into the Mud						0	
main_english_7	CHAPTER VII	CHAPTER VII	CHAPTER VII	CHAPTER VII	CHAPTER VII						0	
main_8	狂风呼啸	狂風呼嘯	風の唸り	광풍 소리	The Raging Wind						0	
main_english_8	CHAPTER VIII	CHAPTER VIII	CHAPTER VIII	CHAPTER VIII	CHAPTER VIII						0	
main_9	巨狼咆哮	巨狼咆哮	巨狼の咆哮	늑대의 포효	The Coyote's Howl						0	
main_english_9	CHAPTER IX	CHAPTER IX	CHAPTER IX	CHAPTER IX	CHAPTER IX						0	
main_10	英灵之所	英靈之所	英霊の在処	영령의 거처	Martyr's Residence						0	
main_english_10	CHAPTER X	CHAPTER X	CHAPTER X	CHAPTER X	CHAPTER X						0	
main_11	迷雾之梦	迷霧之夢	夢幻迷途	안개의 꿈	Fogbound Dream						0	
main_english_11	CHAPTER XI	CHAPTER XI	CHAPTER XI	CHAPTER XI	CHAPTER XI						0	
main_12	雪境危途	雪境危途	白き闇の彼方	위험한 눈길	Perilous Snowpath						0	
main_english_12	CHAPTER XII	CHAPTER XII	CHAPTER XII	CHAPTER XII	CHAPTER XII						0	
main_13	缭乱舞曲	繚亂舞曲	繚乱円舞曲	혼돈의 무곡	Ballad of Chaos						0	
main_english_13	CHAPTER XIII	CHAPTER XIII	CHAPTER XIII	CHAPTER XIII	CHAPTER XIII						0	
main_14	尽灼天幕	盡灼天幕	終焉の焔	불타는 하늘의 장막	Skyward Blaze						0	
main_english_14	CHAPTER XIV	CHAPTER XIV	CHAPTER XIV	CHAPTER XIV	CHAPTER XIV						0	
main_15	幻现幻归	幻現幻歸	一瞬の幻	꿈과 현실의 경계	Realm of Illusion						0	
main_english_15	CHAPTER XV	CHAPTER XV	CHAPTER XV	CHAPTER XV	CHAPTER XV						0	
main_16	空都演绎	空都演繹	幕開け、蒼穹にて	공중 도시의 추리극	Suspense in Skytopia						0	
main_english_16	CHAPTER XVI	CHAPTER XVI	CHAPTER XVI	CHAPTER XVI	CHAPTER XVI						0	
main_17	极夜行动	極夜行動	極夜作戦	극야 작전	Operation Midnight						0	
main_english_17	CHAPTER XVII	CHAPTER XVII	CHAPTER XVII	CHAPTER XVII	CHAPTER XVII						0	
main_18	漠北寻风	漠北尋風	漠北の風	사막의 비밀	Sands of Secrets						0	
main_english_18	CHAPTER XVIII	CHAPTER XVIII	CHAPTER XVIII	CHAPTER XVIII	CHAPTER XVIII						0	
main_19	洄纠暗流	洄糾暗流	暗流蛇行	어둠의 미로	Maze of Darkness						0	2.4 主线
main_english_19	CHAPTER XIX	CHAPTER XIX	CHAPTER XIX	CHAPTER XIX	CHAPTER XIX						0	2.4 主线
main_20	夙圆心行	夙圓心行	心願の果て	마음의 조화	Hearts in Harmony						0	2.5 主线
main_21	渊沉曙色	淵沉曙色	淵の頂きへ	심연의 새벽	Abyssal Dawn						0	2.7 主线
main_english_21	CHAPTER XXI	CHAPTER XXI	CHAPTER XXI	CHAPTER XXI	CHAPTER XXI						0	2.7 主线
main_english_20	CHAPTER XX	CHAPTER XX	CHAPTER XX	CHAPTER XX	CHAPTER XX						0	2.5 主线
main_22	罅隙轨迹	罅隙軌跡	迫る真実へ	진리의 파편	Fragments of Truth						0	2.8 主线
main_english_22	CHAPTER XXII	CHAPTER XXII	CHAPTER XXII	CHAPTER XXII	CHAPTER XXII						0	2.8 主线
main_23	合题诗篇	合題詩篇	ジンテーゼ賛歌	화합의 시	Concord Ode						0	3.0 主线
main_english_23	CHAPTER XXIII	CHAPTER XXIII	CHAPTER XXIII	CHAPTER XXIII	CHAPTER XXIII						0	3.0 主线
main_24	逆光怒放	逆光怒放	逆光に輝く花	저항의 꽃	Defiant Bloom						0	3.1 主线
main_english_24	CHAPTER XXIV	CHAPTER XXIV	CHAPTER XXIV	CHAPTER XXIV	CHAPTER XXIV						0	3.1 主线
main_26	星耀天扉	星耀天扉	星の扉を継ぐ者	낙원의 저편	Beyond Elysium						0	3.3 主线
main_english_26	CHAPTER XXVI	CHAPTER XXVI	CHAPTER XXVI	CHAPTER XXVI	CHAPTER XXVI						0	3.3 主线
main_27	镜中烬火	鏡中燼火	鏡の焔	거울 속 불씨	Reflection of Valor						0	DLC34主线
main_english_27	CHAPTER XXVII	CHAPTER XXVII	CHAPTER XXVII	CHAPTER XXVII	CHAPTER XXVII						0	DLC34主线
main_28	自往昔归还	自往昔歸還	時の還り人	과거의 귀환	Back From Bygone						1	DLC35主线
main_english_28	CHAPTER XXVIII										1	DLC35主线
main_29	暖风拂境	暖風拂境	雪解けの風	따스한 바람	Winds of Warmth						0	DLC36主线
main_english_29	CHAPTER XXIX	CHAPTER XXIX	CHAPTER XXIX	CHAPTER XXIX	CHAPTER XXIX						0	DLC36主线
main_30	终焉之歌										0	DLC37主线
main_english_30	CHAPTER XXX										0	DLC37主线
daily_chapter_1	富饶之壶	富饒之壺	豊穣の壺	풍요로운 주전자	Pot of Plenty						0	
daily_chapter_english_1	CHAPTER I	CHAPTER I	CHAPTER I	CHAPTER I	CHAPTER I						0	
daily_chapter_2	百足之市	百足之市	ムカデの市	암시장	Black Market						0	
daily_chapter_english_2	CHAPTER II	CHAPTER II	CHAPTER II	CHAPTER II	CHAPTER II						0	
daily_chapter_3	止战之人	止戰之人	戦争を止める人	피스 메이커	Peacemaker						0	
daily_chapter_english_3	CHAPTER III	CHAPTER III	CHAPTER III	CHAPTER III	CHAPTER III						0	
daily_chapter_4	无限之城	無限之城	無限城	무한 도시	Infinite City						0	
daily_chapter_english_4	CHAPTER IV	CHAPTER IV	CHAPTER IV	CHAPTER IV	CHAPTER IV						0	
daily_chapter_5	无限之城	無限之城	無限城	무한 도시	Infinite City						0	
daily_chapter_english_5	CHAPTER V	CHAPTER V	CHAPTER V	CHAPTER V	CHAPTER V						0	
daily_chapter_6	无限之城	無限之城	無限城	무한 도시	Infinite City						0	
daily_chapter_english_6	CHAPTER VI	CHAPTER VI	CHAPTER VI	CHAPTER VI	CHAPTER VI						0	
daily_chapter_7	重铸之炎	重鑄之炎	再生の炎	재련의 화염	Reforging Flames						0	
daily_chapter_english_7	CHAPTER VII	CHAPTER VII	CHAPTER VII	CHAPTER VII	CHAPTER VII						0	
daily_chapter_8	重铸之炎	重鑄之炎	再生の炎	재련의 화염	Reforging Flames						0	
daily_chapter_english_8	CHAPTER VIII	CHAPTER VIII	CHAPTER VIII	CHAPTER VIII	CHAPTER VIII						0	
daily_chapter_9	重铸之炎	重鑄之炎	再生の炎	재련의 화염	Reforging Flames						0	
daily_chapter_english_9	CHAPTER IX	CHAPTER IX	CHAPTER IX	CHAPTER IX	CHAPTER IX						0	
daily_1	常驻	常駐	常に開放	상시	Permanent						0	
daily_2	曜日一三五	曜日一三五	月曜・水曜・金曜	요일: 월, 수, 금	Sunday 135						0	
daily_3	曜日二四六	曜日二四六	火曜・木曜・土曜	요일: 화, 목, 토	Sunday 246						0	
level_211	简单	簡單	イージー	기본	Easy						0	
level_212	普通	普通	ノーマル	일반	Normal						0	
level_213	困难	困難	ハード	어려움	Hard						0	
level_214	恐惧	恐懼	フィアー	연옥	Fear						0	
level_215	噩梦	噩夢	ナイトメア	악몽	Nightmare						0	
level_216	深渊	深淵	アビス	심연	Abyss						0	
level_221	简单	簡單	イージー	기본	Easy						0	
level_222	普通	普通	ノーマル	일반	Normal						0	
level_223	困难	困難	ハード	어려움	Hard						0	
level_224	恐惧	恐懼	フィアー	연옥	Fear						0	
level_225	噩梦	噩夢	ナイトメア	악몽	Nightmare						0	
level_226	深渊	深淵	アビス	심연	Abyss						0	
level_231	简单	簡單	イージー	기본	Easy						0	
level_232	普通	普通	ノーマル	일반	Normal						0	
level_233	困难	困難	ハード	어려움	Hard						0	
level_234	恐惧	恐懼	フィアー	연옥	Fear						0	
level_235	噩梦	噩夢	ナイトメア	악몽	Nightmare						0	
level_236	深渊	深淵	アビス	심연	Abyss						0	
level_241	简单	簡單	イージー	기본	Easy						0	
level_242	普通	普通	ノーマル	일반	Normal						0	
level_243	困难	困難	ハード	어려움	Hard						0	
level_244	恐惧	恐懼	フィアー	연옥	Fear						0	
level_245	噩梦	噩夢	ナイトメア	악몽	Nightmare						0	
level_246	深渊	深淵	アビス	심연	Abyss						0	
level_251	简单	簡單	イージー	기본	Easy						0	
level_252	普通	普通	ノーマル	일반	Normal						0	
level_253	困难	困難	ハード	어려움	Hard						0	
level_254	恐惧	恐懼	フィアー	연옥	Fear						0	
level_255	噩梦	噩夢	ナイトメア	악몽	Nightmare						0	
level_256	深渊	深淵	アビス	심연	Abyss						0	
level_257	深渊	深淵	アビス	심연	Abyss						0	
level_261	简单	簡單	イージー	기본	Easy						0	
