字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
farmwar_vegname_01	见习米椒	見習米椒	見習いチリ	견습 미니 고추	Rookie Pepper						0	3.0_FarmWar
farmwar_vegname_02	火辣战椒	火辣戰椒	ホットチリナイト	버닝 페퍼	Fiery Pepper						0	3.0_FarmWar
farmwar_vegname_03	玉米射手	玉米射手	コーン射手	옥수수 사수	Corn Shooter						0	3.0_FarmWar
farmwar_vegname_04	爆米花射手	爆米花射手	ポップコーン射手	팝콘 사수	Popcorn Shooter						0	3.0_FarmWar
farmwar_vegname_05	飓风玉米射手	颶風玉米射手	ストームコーン射手	허리케인 옥수수 사수	Hurricane Corn Shooter						0	3.0_FarmWar
farmwar_vegname_06	爆炒玉米射手	爆炒玉米射手	炒めコーン射手	볶음 옥수수 사수	Sizzling Corn Shooter						0	3.0_FarmWar
farmwar_vegname_07	火辣玉米射手	火辣玉米射手	スパイシーコーン射手	매콤 옥수수 사수	Fiery Corn Shooter						0	3.0_FarmWar
farmwar_vegname_08	清凉玉米射手	清涼玉米射手	クールコーン射手	청량 옥수수 사수	Chill Corn Shooter						0	3.0_FarmWar
farmwar_vegname_09	急冻玉米射手	急凍玉米射手	急凍コーン射手	냉동 옥수수 사수	Frostbite Corn Shooter						0	3.0_FarmWar
farmwar_vegname_10	蓬蓬花菜	蓬蓬花椰菜	ふわふわブロッコリー	뿜뿜 브로콜리	Baby Broccoli						0	3.0_FarmWar
farmwar_vegname_11	碰碰花菜	碰碰花椰菜	ぽんぽんブロッコリー	퉁퉁 브로콜리	Boxer Broccoli						0	3.0_FarmWar
farmwar_vegname_12	萝卜炮手	蘿蔔炮手	キャロット砲撃手	당근 포병	Carrot Gunner						0	3.0_FarmWar
farmwar_vegname_13	重火萝卜炮手	重火蘿蔔炮手	ヘビーキャロット砲撃手	중화력 당근 포병	Heavy Carrot Gunner						0	3.0_FarmWar
farmwar_vegname_14	狂袭萝卜炮手	狂襲蘿蔔炮手	ラディッシュ砲撃手	광란의 당근 포병	Rampage Carrot Gunner						0	3.0_FarmWar
farmwar_vegname_15	南瓜守卫	南瓜守衛	パンプキン守衛	호박 가디언	Pumpkin Guard						0	3.0_FarmWar
farmwar_vegname_16	磐石南瓜守卫	磐石南瓜守衛	磐石パンプキン守衛	튼튼 호박 가디언	Tough Pumpkin Guard						0	3.0_FarmWar
farmwar_vegname_17	冰冻南瓜守卫	冰凍南瓜守衛	アイスパンプキン守衛	얼음 호박 가디언	Frost Pumpkin Guard						0	3.0_FarmWar
farmwar_vegname_18	火爆南瓜守卫	火爆南瓜守衛	ファイアパンプキン守衛	화염 호박 가디언	Scorch Pumpkin Guard						0	3.0_FarmWar
farmwar_vegname_19	番茄大厨	番茄大廚	トマトシェフ	토마토 셰프	Tomato Chef						0	3.4_FarmWar
farmwar_vegname_20	稳重番茄大厨	穩重番茄大廚	堅実なトマトシェフ	침착한 토마토 셰프	Steady Tomato Chef						0	3.4_FarmWar
farmwar_vegname_21	暴躁番茄大厨	暴躁番茄大廚	短気なトマトシェフ	분노한 토마토 셰프	Grumpy Tomato Chef						0	3.4_FarmWar
farmwar_vegname_22	竹笋特工	竹筍特工	タケノコエージェント	죽순 요원	Bamboo Agent						0	3.4_FarmWar
farmwar_vegname_23	鹰眼竹笋特工	鷹眼竹筍特工	鷹目タケノコエージェント	예리한 죽순 요원	Deadeye Bamboo Agent						0	3.4_FarmWar
farmwar_vegname_24	凛冽竹笋特工	凜冽竹筍特工	凛冽タケノコエージェント	싸늘한 죽순 요원	Arctic Bamboo Agent						0	3.4_FarmWar
farmwar_vegname_25	莲藕要塞安保	蓮藕要塞保全	レンコン砦警備員	연근 요새 보안 요원	Lotus Root Beret						0	3.4_FarmWar
farmwar_vegname_26	嫩芽小菜咩	嫩芽小菜咩	つぼみメェメェ	새싹 채소양	Sprout Baabage						0	3.4_FarmWar
farmwar_vegname_27	潜行小菜咩	潛行小菜咩	ステルスメェメェ	잠행 채소양	Stealth Baabage						0	3.4_FarmWar
farmwar_vegname_28	偶像小菜咩	偶像小菜咩	アイドルメェメェ	아이돌 채소양	Singing Baabage						0	3.4_FarmWar
farmwar_vegname_29	侦探小菜咩	偵探小菜咩	探偵メェメェ	탐정 채소양	Recon Baabage						0	3.4_FarmWar
farmwar_vegname_30	紫茄魔导	紫茄魔導	ナス魔導士	가지 마법사	Eggplant Mage						0	3.4_FarmWar
farmwar_vegname_31	紫茄大贤者	紫茄大賢者	ナス大賢者	가지 대현자	Grand Eggplant Mage						0	3.4_FarmWar
farmwar_vegname_32	紫茄魔导队长	紫茄魔導隊長	ナス魔導士隊長	가지 마법사 대장	Master Eggplant Mage						0	3.4_FarmWar
farmwar_vegdes_01	年轻的麻辣战士，为了支援伙伴会努力制造麻辣能量！	年輕的麻辣戰士，為了支援夥伴會努力製造麻辣能量！	若く元気な戦士。 アツアツEPを生成して仲間をサポート！	젊은 매운맛 전사. 매콤 에너지를 만들어 동료를 지원한다!	A young and spicy warrior who works hard to generate Spicy Energy to support allies!						0	3.0_FarmWar
farmwar_vegdes_02	经验丰富的老兵，能快速制造麻辣能量，整个菜圃的战斗力都有了保障。	經驗豐富的老兵，能快速製造麻辣能量，整個菜圃的戰鬥力都有了保障。	ベテラン戦士。素早くアツアツEPを生成し、ガーデン全体を支える！	경험이 풍부한 베테랑. 매콤 에너지를 빠르게 생산해 채소밭 전체의 전투력을 보장한다.	An experienced veteran who quickly generates Spicy Energy, boosting the power of the whole garden.						0	3.0_FarmWar
farmwar_vegdes_03	总是心情很好的射手，有着不错的射击速度。	總是心情很好的射手，有著不錯的射擊速度。	いつもごきげんなシューター。素早い射撃で敵を攻撃！	항상 기분이 좋은 사수. 뛰어난 사격 속도를 자랑한다.	A cheerful shooter with a decent fire rate.						0	3.0_FarmWar
farmwar_vegdes_04	有着更好的心情和更快的射击速度，单发子弹的威力也更大。	有著更好的心情和更快的射擊速度，單發子彈的威力也更大。	さらに上機嫌！射撃速度と単発弾の威力がアップ！	더 좋은 기분과 더 빠른 사격 속도를 지녔으며, 단일 탄약의 위력도 더 강하다.	It's in an even better mood and shoots faster, each bullet also dealing more damage.						0	3.0_FarmWar
farmwar_vegdes_05	以惊人的射击频率而闻名的精锐射手，为了显得自己更有威严，使用头盔掩盖住了自己的笑容。	以驚人的射擊頻率而聞名的精銳射手，為了顯得自己更有威嚴，使用頭盔掩蓋住了自己的笑容。	驚異の連射速度を持つ精鋭シューター。威厳を保つためにヘルメットで笑顔を隠している。	놀라운 사격 속도로 유명한 정예 사수. 더욱 위엄 있게 보이기 위해 헬멧으로 자신의 미소를 가린다.	An elite shooter famous for its incredible rate of fire, wearing a helmet to hide its smile and look more imposing.						0	3.0_FarmWar
farmwar_vegdes_06	吸收了足量麻辣能量的优秀射手，可以发射高温子弹来击退侵略者！	吸收了足量麻辣能量的優秀射手，可以發射高溫子彈來擊退侵略者！	十分なアツアツEPを吸収した優秀なシューター。高温弾丸を発射して侵入者を撃退！	매콤 에너지를 많이 흡수한 우수한 사수로, 고온 탄약을 발사해 침략자를 넉백시킨다!	An excellent shooter filled with Spicy Energy, able to fire blazing bullets to defend against invaders!						0	3.0_FarmWar
farmwar_vegdes_07	牺牲射程来凝聚麻辣能量的超级射手，喷射高温火焰对他来说非常轻松。	犧牲射程來凝聚麻辣能量的超級射手，噴射高溫火焰對他來說非常輕鬆。	射程を犠牲にしてアツアツEPを満タンにするスーパーシューター。高熱の炎で敵を焼き尽くす！	사거리를 희생해 매콤 에너지를 응축한 슈퍼 사수로, 고온 화염을 분사하기가 매우 쉽다.	A range-limited super shooter overflowing with Spicy Energy. Unleashing high-temperature flames comes easily to it.						0	3.0_FarmWar
farmwar_vegdes_08	将麻辣能量转化为冰冻能力的高手，发射的弹药可以减慢敌方的攻击速度和移动速度。	將麻辣能量轉化為冰凍能力的高手，發射的彈藥可以減慢敵方的攻擊速度和移動速度。	アツアツEPを凍結能力に変換する達人。弾で敵の攻撃速度と移動速度を低下させる！	매콤 에너지를 동결 능력으로 변환하는 고수로, 발사하는 탄약이 적의 공격 속도와 이동 속도를 감소시킨다.	A master at turning Spicy Energy into freezing power. Its projectiles can slow down enemy attacks and movement.						0	3.0_FarmWar
farmwar_vegdes_09	能高效产生低温能量的超级射手，发射大威力弹药减慢敌方的攻击速度和移动速度。	能高效產生低溫能量的超級射手，發射大威力彈藥減慢敵方的攻擊速度和移動速度。	低温エネルギーを高効率で生成するスーパーシューター。大威力の弾で敵の攻撃速度と移動速度を激減させる！	얼음 에너지를 효율적으로 생산하는 초고급 사수로, 엄청난 위력의 탄약을 발사해 적의 공격 속도와 이동 속도를 감소시킨다.	A super shooter who efficiently creates Cold Energy. Its high-powered shots slow down enemy attacks and movement.						0	3.0_FarmWar
farmwar_vegdes_10	温柔善良的拳击手，为了保护同伴挥动双拳，既可攻击附近的目标，还能攻击空中飞过的目标。	溫柔善良的拳擊手，為了保護夥伴揮動雙拳，既可攻擊附近的目標，還能攻擊空中飛過的目標。	優しくて仲間思いのボクサー。拳で地上と空中の敵を攻撃できる！	온화하고 상냥한 격투가. 동료를 보호하기 위해 주먹을 휘둘러 근처의 타깃과 비행하는 타깃을 공격할 수 있다.	A gentle, kind boxer who swings fists to protect allies, able to strike both nearby and aerial targets.						0	3.0_FarmWar
