字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
10000_name	启程集结	啟程集結	今、旅立ちの時	비기닝 어셈블	Battle Assembly						0	
SpecialProtect_detaildes	初报到专属福利： <span color="#FF8F47">10连8折</>\n<span color="#FF8F47">%s次</>共鸣内必出<span color="#FF8F47">橙色</>品质角色	初報到專屬福利：<span color="#FF8F47">10連八折</>\n<span color="#FF8F47">%s次</>共鳴內必出<span color="#FF8F47">橙色</>品質角色	初心者限定：<span color="#FF8F47">レゾナンス10回20%%OFF</>\n最大<span color="#FF8F47">%s回</>レゾナンスで必ず<span color="#FF8F47">オレンジ</>ランク隊員を入手！	신규 유저 전용 혜택: <span color="#FF8F47">10연속 20%% 할인</>\n공명 <span color="#FF8F47">%s회</> 이내로 반드시 <span color="#FF8F47">오렌지</> 등급 캐릭터 획득	Exclusive Onboarding Perk: <span color="#FF8F47">Enjoy 20%%-off on 10 echoes</>\nGuaranteed an <span color="#FF8F47">Orange</>-tier operative within <span color="#FF8F47">%s</> echoes.						0	
common_one	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」「<span color="#FF8F47">%s</>」中进行单次共鸣？	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」「<span color="#FF8F47">%s</>」進行單次共鳴？	「<span color="#FF8F47">%sx%s</>」を消費して「<span color="#FF8F47">%s</>」―「<span color="#FF8F47">%s</>」でレゾナンスを1回行いますか？	[<span color="#FF8F47">%s*%s</>]을(를) 소모하여 [<span color="#FF8F47">%s</>]에서 [<span color="#FF8F47">%s</>]을(를) 위해 1회 공명을 수행하시겠습니까?	Use <span color="#FF8F47">%s x%s</> to perform 1 echo in <span color="#FF8F47">%s</> for <span color="#FF8F47">%s</>?						0	
common_ten	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」「<span color="#FF8F47">%s</>」中进行十次共鸣？	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」「<span color="#FF8F47">%s</>」進行十次共鳴？	「<span color="#FF8F47">%sx%s</>」を消費して「<span color="#FF8F47">%s</>」―「<span color="#FF8F47">%s</>」でレゾナンスを10回行いますか？	[<span color="#FF8F47">%s*%s</>]을(를) 소모하여 [<span color="#FF8F47">%s</>]에서 [<span color="#FF8F47">%s</>]을(를) 위해 10회 공명을 수행하시겠습니까?	Use <span color="#FF8F47">%s x%s</> to perform 10 echoes in <span color="#FF8F47">%s</> for <span color="#FF8F47">%s</>?						0	
common_one_100	是否消耗「<span color="#0000FF">%s*%s</>」在「<span color="#0000FF">%s</>」「<span color="#0000FF">%s</>」中进行单次共鸣？	是否消耗「<span color="#0000FF">%s*%s</>」在「<span color="#0000FF">%s</>」「<span color="#0000FF">%s</>」進行單次共鳴？	「<span color="#0000FF">%sx%s</>」を消費して「<span color="#0000FF">%s</>」―「<span color="#0000FF">%s</>」でレゾナンスを1回行いますか？	[<span color="#0000FF">%s*%s</>]을(를) 소모하여 [<span color="#0000FF">%s</>]에서 [<span color="#0000FF">%s</>]을(를) 위해 1회 공명을 수행하시겠습니까?	Use <span color="#0000FF">%s x%s</> to perform 1 echo in <span color="#0000FF">%s</> for <span color="#0000FF">%s</>?						0	
common_ten_100	是否消耗「<span color="#0000FF">%s*%s</>」在「<span color="#0000FF">%s</>」「<span color="#0000FF">%s</>」中进行十次共鸣？	是否消耗「<span color="#0000FF">%s*%s</>」在「<span color="#0000FF">%s</>」「<span color="#0000FF">%s</>」進行十次共鳴？	「<span color="#0000FF">%sx%s</>」を消費して「<span color="#0000FF">%s</>」―「<span color="#0000FF">%s</>」でレゾナンスを10回行いますか？	[<span color="#0000FF">%s*%s</>]을(를) 소모하여 [<span color="#0000FF">%s</>]에서 [<span color="#0000FF">%s</>]을(를) 위해 10회 공명을 수행하시겠습니까?	Use <span color="#0000FF">%s x%s</> to perform 10 echoes in <span color="#0000FF">%s</> for <span color="#0000FF">%s</>?						0	
ProtectType1	特选共鸣	特選共鳴	SPレゾナンス	스페셜 공명	Special Echo						0	
ProtectType2	标准共鸣	標準共鳴	STレゾナンス	스탠더드 공명	Standard Echo						0	
common_one_resident	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」进行单次共鸣？	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」進行單次共鳴？	「<span color="#FF8F47">%sx%s</>」を消費して「<span color="#FF8F47">%s</>」でレゾナンスを1回行いますか？	[<span color="#FF8F47">%s*%s</>]을(를) 소모하여 [<span color="#FF8F47">%s</>]에서 1회 공명을 수행하시겠습니까?	Use <span color="#FF8F47">%s x%s</> to perform 1 echo in <span color="#FF8F47">%s</>?						0	
common_ten_resident	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」进行十次共鸣？	是否消耗「<span color="#FF8F47">%s*%s</>」在「<span color="#FF8F47">%s</>」進行十次共鳴？	「<span color="#FF8F47">%sx%s</>」を消費して「<span color="#FF8F47">%s</>」でレゾナンスを10回行いますか？	[<span color="#FF8F47">%s*%s</>]을(를) 소모하여 [<span color="#FF8F47">%s</>]에서 10회 공명을 수행하시겠습니까?	Use <span color="#FF8F47">%s x%s</> to perform 10 echoes in <span color="#FF8F47">%s</>?						0	
selectUpRole1	请选择2个角色作为定向共鸣的预选角色	請選擇2個角色作為定向共鳴的預選角色	指定レゾナンスの候補隊員として、2名を選択してください。	2명의 캐릭터를 선택해 지정 공명 예비 캐릭터로 설정하세요.	Please select 2 operatives for the oriented echo						0	
selectUpRole2	是否确认选择「<span color="#FF8F47">%s</>」与「<span color="#FF8F47">%s</>」为定向共鸣的预选角色？	是否確認選擇「<span color="#FF8F47">%s</>」與「<span color="#FF8F47">%s</>」為定向共鳴的預選角色？	「<span color="#FF8F47">%s</>」と「<span color="#FF8F47">%s</>」を指定レゾナンスの候補隊員に設定しますか？	「<span color="#FF8F47">%s</>」&「<span color="#FF8F47">%s</>」캐릭터를 지정 공명 예비 캐릭터로 설정하시겠습니까?	Confirm to select <span color="#FF8F47">%s</> and <span color="#FF8F47">%s</> as the oriented operatives?						0	
