字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
level00ep01_boss_name	海拉	海拉	ヒーラ	헬라	Hela						0	
level00ep01_boss_desc	自始祖泰坦头部降生	自始祖泰坦頭部降生	始祖タイタンの頭部より誕生	타이탄 시조의 머리에서 탄생했다.	Born From the Head of the Original Titan						0	
level00ep01_scence_name	逃生舱降落地	逃生艙降落點	脱出ポッド着陸地点	탈출선 착륙 지점	Escape Pod Landing Site						0	
level00ep01_scence_desc	深水区城区	深水區城區	深海エリア市街地	심수 도시 구역	Urban Area of Drowned Sections						0	
level0108ep01_boss_name	二型验证机甲	二型驗證機甲	2型検証機甲	Type.II 인증 기갑	Ni-Type Mech						0	
level0108ep01_boss_desc	被盗的世界树重机甲	被盜走的世界樹重機甲	盗まれたユグドラシル重機甲	도난당한 위그드라실 중형 기갑	Stolen Yggdrasil Heavy Mech						0	
level0108ep01_scence_name	广场	廣場	広場	스퀘어	Square						0	
level0108ep01_scence_desc	缓冲区北部外围	緩衝區北部外圍	バッファーエリアの北側周辺	버퍼 구역 북부 외곽	Northern Periphery of Buffer Sections						0	
level0212ep01_boss_name	波伏娃13	波伏娃13	ボーヴォワール13	보브아르13	Beauvoir 13						0	
level0212ep01_boss_desc	人工智能傀儡系统	人工智慧傀儡系統	人工知能人形	AI 로봇 시스템	AI Puppet, Beauvoir System						0	
level0212ep01_scence_name	布里希嘉曼	布里希嘉曼	ブリーシンガメン	브리히가만	Brisingamen						0	
level0212ep01_scence_desc	散布污染的神秘装置	散佈汙染的神秘裝置	汚染を拡散する謎の装置	오염을 퍼뜨리는 신비한 장치	Mysterious Devices that Spread Pollution						0	
level0312ep01_boss_name	“野牛”约瑟夫	“野牛”約瑟夫	「バイソン」ロシフ	'오록스' 조셉	Joseph the Bison						0	
level0312ep01_boss_desc	郊狼机甲部队教官	郊狼機甲部隊教官	コヨーテ機甲部隊教官	코요테 기갑 부대 교관	Coyote Mech Force Officer						0	
level0312ep01_scence_name	“狼王”领地	“狼王”領地	「狼王」の領地	'늑대왕' 영지	Coyote Alpha's Territory						0	
level0312ep01_scence_desc	缓冲区第三隔离墙	緩衝區第三隔離牆	バッファーエリア第三ウォール	버퍼 구역 제3 격리 장벽	Third Containment Wall of Buffer Sections						0	
level0412ep01_boss_name	尤弥尔	尤彌爾	ユミル	이미르	Ymir						0	
level0412ep01_boss_desc	始祖泰坦	始祖泰坦	始祖タイタン	타이탄 시조	The Original Titan						0	
level0412ep01_scence_name	高楼顶部	高樓頂部	ビルの高層	고층 건물 옥상	Top of the Building						0	
level0412ep01_scence_desc	污染区第三隔离墙附近	汙染區第三隔離牆附近	汚染エリア第三ウォール周辺	오염 구역 제3 격리 장벽 부근	Nearby the Third Containment Wall of Contaminated Sections						0	
level0512ep01_boss_name	加文	加文	ガビン	게빈	Gavin						0	
level0512ep01_boss_desc	降临团净化官	降臨團淨化官	降臨団浄化官	강림단 정화관	Purificant of the Adventists						0	
level0512ep01_scence_name	地下讲坛	地下講壇	地下の聖壇	지하 강단	Underground Altar						0	
level0512ep01_scence_desc	缓冲区降临团领地	緩衝區降臨團領地	バッファーエリア降臨団領地	버퍼 구역 강림단 영지	Adventists Territory in Buffer Sections						0	
level0612ep01_boss_name	海拉	海拉	ヒーラ	헬라	Hela						0	
level0612ep01_boss_desc	自始祖泰坦头部降生	自始祖泰坦頭部降生	始祖タイタンの頭部より誕生	타이탄 시조의 머리에서 탄생했다.	Born From the Head of the Original Titan						0	
level0612ep01_scence_name	高架桥下	高架橋下	高架橋の下	육교 아래	Under the Overpass						0	
level0612ep01_scence_desc	污染区城区	汙染區城區	汚染エリア市街地	오염 도시 구역	Urban Area of Contaminated Sections						0	
level0712ep01_boss_name	萨特	薩特	サルトル	사르트르	Sartre						0	
level0712ep01_boss_desc	降临团主事	降臨團主事	降臨団司教	강림단 이사	Exarch of the Adventists						0	
level0712ep01_scence_name	英灵之路	英靈之路	英霊の道	영령의 길	Path of Discipline						0	
level0712ep01_scence_desc	天楼降临团仪式场所	天樓降臨團儀式場所	スカイタワー降臨団儀式場	스카이 타워 강림단 의식장	Adventist Ceremony Site at the Towers						0	
level0812ep01_boss_name	刻耳柏洛斯	刻耳柏洛斯	ケルベロス	케르베로스	Cerberus						0	
level0812ep01_boss_desc	逐光者首领无人机	逐光者首領無人機	逐光者リーダーのドローン	축광단 두목 무인기	The Drone of Light Chaser's Leader						0	
level0812ep01_scence_name	楼间平台	樓間平台	ビル間のプラットフォーム	층간 구역 플랫폼	Inter-Tower Platforms						0	
level0812ep01_scence_desc	缓冲区天楼高区	緩衝區天樓高區	バッファーエリアスカイタワーの高区	버퍼 구역 스카이 타워 고층 구역	Buffer Sections: Upper Levels of the Towers						0	
level0912ep01_boss_name	“秃鹫”爱思特	“禿鷲”愛思特	「ハゲタカ」エステル	'독수리' 에스터	Esther the Vulture						0	
