字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
ActiveSkillName01	幸运双倍	幸運雙倍	幸運2倍	더블 행운	Lucky Double						0	3.2大富翁
ActiveSkillName02	巧取豪夺	巧取豪奪	知力による略奪	간사한 약탈	Gold Snatch						0	3.2大富翁
ActiveSkillName03	风暴降临	風暴降臨	嵐の到来	다가오는 폭풍	Stormfall						0	3.2大富翁
ActiveSkillName04	无限之始	無限之始	無限の始まり	무한의 시작	Infinite Start						0	3.2大富翁
ActiveSkillName05	资产升值	資產升值	資産の価値上昇	자산 증가	Asset Upgrade						0	3.2大富翁
ActiveSkillName06	强势气场	強勢氣場	強大なオーラ	막강한 기세	Dominant Presence						0	3.2大富翁
ActiveSkillName07	王车易位	國王入堡	キャスリング	캐슬링	Gust Swap						0	3.2大富翁
ActiveSkillName08	战术侵扰	戰術侵擾	戦術妨害	전술적 교란	Dice Trickster						0	3.2大富翁
ActiveSkillName09	随心所欲	隨心所欲	思うがままに	마음대로	Free Step						0	3.2大富翁
ActiveSkillDesc01	下次掷骰结果必定是对子	下次擲骰結果必定是對子	次のサイコロの結果は必ずゾロ目となる	다음번에 주사위를 굴릴 때 반드시 더블이 나온다.	The next roll is guaranteed to be a double						0	3.2大富翁
ActiveSkillDesc02	夺取对手当前持有绘梦金币的{1}%	奪取對手當前持有繪夢金幣的{1}%	相手の手持ちコインの{1}%を奪う	상대방이 현재 보유한 꿈의 금화의 {1}%를 차지한다.	Take {1}% of the opponent's current Dreamboard Gold						0	3.2大富翁
ActiveSkillDesc03	摧毁对手任意一个非景点建筑	摧毀對手任意一個非景點建築	相手の非観光名所を1つ破壊する	상대방의 관광 스팟 외 건물을 1개 파괴한다.	Destroy an opponent building. Does not apply to Landmarks						0	3.2大富翁
ActiveSkillDesc04	立即瞬移至起点	立即瞬移至起點	即座にスタート地点へ瞬間移動する	시작 지점으로 즉시 순간이동한다.	Teleport to the Start immediately						0	3.2大富翁
ActiveSkillDesc05	随机将我方一个非景点建筑付费升级为景点	隨機將我方一個非景點建築付費升級為景點	自分の非観光名所をランダムで選び、有料で観光名所にアップグレードする	수수료를 내고 랜덤으로 아군의 관광 스팟 외 건물 1개를 관광 스팟으로 업그레이드한다.	Upgrade one of your random buildings into a Landmark at a cost						0	3.2大富翁
