字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
chess03_ui_attname1	坚毅	堅毅	根性	강인	Determination						0	
chess03_ui_attname2	智识	智識	知恵	지식	Intelligence						0	
chess03_ui_attname3	温柔	溫柔	優しさ	온화	Tenderness						0	
chess03_ui_attname4	魅力	魅力	魅力	매력	Charisma						0	
chess03_ui_attname5	幽默	幽默	ユーモア	유머	Humor						0	
chess03_ui_monday	星期一	星期一	月曜日	월요일	Monday						0	
chess03_ui_tuesday	星期二	星期二	火曜日	화요일	Tuesday						0	
chess03_ui_wednesday	星期三	星期三	水曜日	수요일	Wednesday						0	
chess03_ui_thursday	星期四	星期四	木曜日	목요일	Thursday						0	
chess03_ui_friday	星期五	星期五	金曜日	금요일	Friday						0	
chess03_ui_saturday	星期六	星期六	土曜日	토요일	Saturday						0	
chess03_ui_sunday	星期日	星期天	日曜日	일요일	Sunday						0	
chess03_ui_reviewer	管理员	管理員	管理員	관리자	Admin						0	
chess03_tips1	运动大会开始了，快和心动的少女一起去参加吧	運動大會開始了，快和心動的少女一起去參加吧	運動会が始まった、早速お気に入りの少女と一緒に参加しよう	운동회가 시작되었어요. 마음에 드는 소녀와 함께 참여해 보세요.	The Sports Fest is starting! Take the girl you love and have fun at the event!						0	
chess03_tips2	烟花庆典开始了，快和心动的少女一起去看看吧	煙火慶典開始了，快和心動的少女一起去看看吧	花火大会が始まった、早速お気に入りの少女と一緒に見に行こう	불꽃놀이 축제가 시작되었어요, 마음에 드는 소녀와 함께 구경하러 가 보세요.	The Fireworks Show is starting! Take the girl you love and have fun at the event!						0	
chess03_tips3	收纳挑战！帮少女整理好她们的鞋子吧~	收納挑戰！幫少女整理好她們的鞋子吧~	収納の時間だ！少女たちの靴の片付けを手伝ってあげよう！	수납 도전이에요! 소녀들의 신발을 정리해 주세요.	Sorting challenge! Help your girls sort their shoes~						0	
chess03_tips4	分析员阁下，一周过去啦！少女等着和您约会呢~	分析員閣下，一週過去囉！少女等著和您約會呢~	分析員さん、一週間が過ぎました！少女たちはあなたとのデートを楽しみにしていますよ！	분석가님, 어느덧 일주일이 지났어요! 소녀들이 분석가님과 데이트를 하고 싶어 해요.	Adjutant, a week has passed! The girls are looking forward to a date with you~						0	
chess03_tips5	分析员阁下，恭喜你完成了一轮心动派对体验！哇，有人给你发来了甜蜜邀约哦~	分析員閣下，恭喜你完成了一輪心動派對體驗！哇，有人寄來了甜蜜邀約~	分析員さん、おめでとうございます！トキメキ大合戦を1ラウンドクリアしました！おや、誰かが甘い誘いを送ってきましたよ！	분석가님, 바운스 파티 체험을 완료한 것을 축하드려요! 와, 누군가가 달콤한 초대장을 보냈어요.	Adjutant, congratulations on completing a round of Loverush Party! Look, someone has sent you an invitation~						0	
chess03_tips6	分析员阁下，一周过去啦！你怎么好像……越来越迷人了！	分析員閣下，一週過去囉！你怎麼好像……越來越迷人了！	分析員さん、一週間が過ぎました！ますます……魅力的になりましたね！	분석가님, 어느덧 일주일이 지났어요! 어쩌면 이렇게나 매력적이신 거죠?	Adjutant, another week down, and you're looking... more charming by the day!						0	
chess03_tips7	分析员阁下，恭喜你完成了一轮心动派对体验！小鹿乱撞的感觉很不错吧，要不要再来一次？	分析員閣下，恭喜你完成了一輪心動派對體驗！小鹿亂撞的感覺很不錯吧，要不要再來一次？	分析員さん、おめでとうございます！トキメキ大合戦を1ラウンドクリアしました！ドキドキして楽しいでしょう？もう一回しませんか？	분석가님, 바운스 파티 체험을 완료한 것을 축하드려요! 서툴게 행동하는 느낌이 나쁘지 않은대요? 다시 한 번 해보시겠어요?	Adjutant, congratulations on finishing a round of Loverush Party! Your heart skipped a beat, didn't it? Ready for another round?						0	
chess03_tips8	是否使用%s，进入活动周？	是否使用%s，進入活動週？	%sを使用して、イベントウィークに入る？	%s을(를) 사용해 이벤트 주간에 진입하시겠습니까?	Confirm to use %s to start Special Week?						0	
chess03_tips9	回答错误	回答錯誤	不正解	잘못된 답변	Wrong						0	
chess03_loading1	社区加载中……	社區加載中……	コミュニティロード中……	커뮤니티를 불러오는 중…	Community loading...						0	
chess03_loading2	甜蜜约会中……	甜蜜約會中……	ラブラブデート中……	달콤한 데이트 중…	Sweet date in progress...						0	
chess03_holiday1name	运动大会	運動大會	運動会	운동회	Sports Fest						0	
chess03_holiday1des	青春、汗水与肾上腺素，时刻把握每一次的心动。	青春、汗水與腎上腺素，時時把握每一次的心動。	青春、汗、アドレナリン、一つ一つのトキメキを胸に刻もう。	청춘, 땀, 아드레날린까지 더해 매 순간을 마음껏 즐겨보자.	Youth, sweat, and flowing adrenaline — the arena witnesses every heartbeat.						0	
chess03_holiday2name	烟花庆典	煙火慶典	花火大会	불꽃놀이 축제	Fireworks Show						0	
chess03_holiday2des	烟花升空爆裂时，可以把藏在心底的话都说出来~	煙火升空綻放時，可以把藏在心底的話都說出來~	花火が打ち上がる時、胸に秘めた言葉を打ち明けよう！	불꽃이 하늘 높이 솟아오를 때, 마음속에 간직해둔 말을 꺼내보자~	When the night skies are aglow with fireworks, it's the perfect time to speak from your heart~						0	
chess03_btnname1	我全都要	我全都要	オールイン	전부 내 거야	I Want All						0	
chess03_tabname1	定格一瞬	定格一瞬	その瞬間を撮る	모먼트	Moments						0	
chess03_tabname2	成就收集	成就收集	アチーブメント収集	업적 수집	Achievements						0	
chess03_dice_name	心动骰子	心動骰子	ときめきサイコロ	바운스 주사위	Loverush Dice						0	
chess03_dice_des	用于在心动派对中进行社区体验。用骰子掷出不同的点数前进，能在心动派对中遇到各种未知的趣事。	用於在心動派對中進行社區體驗。用骰子擲出不同的點數前進，能在心動派對中遇到各種未知的趣事。	トキメキ大合戦のコミュニティに使用する。サイコロを振って出目に応じて進み、トキメキ大合戦で様々な未知の面白い体験ができる。	바운스 파티에서 커뮤니티 체험을 즐기는 데 사용된다. 주사위를 굴려 나오는 숫자에 따라 바운스 파티에서 다양한 일들을 경험할 수 있다.	Used to move around the community in Loverush Party. Roll the dice to advance and encounter unexpected fun events.						0	
chess03_dice_use	心动派对 体验道具	心動派對 體驗道具	トキメキ大合戦 体験アイテム	바운스 파티 / 체험 아이템	Loverush Party item						0	
lifuweekname1	手心温度										1000	
lifuweekname2	认定的你										1000	
lifuweekname3	深海遨游										1000	
lifuweekname4	街机体验										1000	
fenniweekname1	甜蜜定格										1000	
fenniweekname2	对视挑战										1000	
fenniweekname3	鬼屋心跳										1000	
fenniweekname4	舌尖欢愉										1000	
mlaweekname1	极限运动										1000	
mlaweekname2	摩天游览										1000	
mlaweekname3	味蕾共感										1000	
mlaweekname4	恒久瞬间										1000	
lifuspecial1name1	里芙特殊周1剧情1										1000	
lifuspecial1name2	里芙特殊周1剧情2										1000	
lifuspecial1name3	里芙特殊周1剧情3										1000	
lifuspecial2name1	里芙特殊周2剧情1										1000	
lifuspecial2name2	里芙特殊周2剧情2										1000	
lifuspecial2name3	里芙特殊周2剧情3										1000	
fennispecial1name1	芬妮特殊周1剧情1										1000	
fennispecial1name2	芬妮特殊周1剧情2										1000	
fennispecial1name3	芬妮特殊周1剧情3										1000	
fennispecial2name1	芬妮特殊周2剧情1										1000	
fennispecial2name2	芬妮特殊周2剧情2										1000	
fennispecial2name3	芬妮特殊周2剧情3										1000	
mlaspecial1name1	茉莉安特殊周1剧情1										1000	
mlaspecial1name2	茉莉安特殊周1剧情2										1000	
mlaspecial1name3	茉莉安特殊周1剧情3										1000	
mlaspecial2name1	茉莉安特殊周2剧情1										1000	
mlaspecial2name2	茉莉安特殊周2剧情2										1000	
mlaspecial2name3	茉莉安特殊周2剧情3										1000	
use_card03_des	乘坐派对空艇迅速升上高空，虚拟天幕上挂满色彩斑斓的星星，你决定摘下一颗	乘坐派對空艇迅速升上高空，虛擬天幕上掛滿色彩斑斕的星星，你決定摘下一顆	パーティー飛空艇に乗って空に飛ぶと、バーチャルの空にカラフルな星が散らばっており、あなたは1つ摘むことにした	파티 비행선을 타고 고공으로 올라가니 가상 천장에 화려한 별들이 가득 달려있는 것을 볼 수 있었다. 당신은 그중 한 개를 따내기로 결정한다.	You took the party skyskiff to reach the virtual sky filled with glittering stars, and decided to take one:						0	
use_card05_des	心动派对狂欢日开启，受到狂欢气氛感染，分析员决定为少女们表演一支	心動派對狂歡日開啟，受到狂歡氣氛感染，分析員決定為少女們表演一支	トキメキ大合戦カーニバルが開放された。楽しげな雰囲気に当てられ、分析員は少女たちのためにパフォーマンスをすることにした	바운스 파티가 시작되었다. 축제 분위기에 영향을 받아 분석가는 소녀들을 위해 춤을 추기로 결정한다.	The Loverush Party Carnival is here! Caught up in the festive spirit, you decided to perform a dance for the girls: 						0	
use_card03_Aswer1	闪亮的金色星	閃亮的金色星	ピカピカした金色の星	빛나는 금색별	Shiny Gold Star						0	
use_card03_Aswer2	深邃的蓝色星	深邃的藍色星	深い青色の星	깊은 푸른색별	Azure Blue Star						0	
use_card03_Aswer3	温柔的粉色星	溫柔的粉色星	優しいピンク色の星	따듯한 분홍색별	Sweet Pink Star						0	
use_card03_Aswer4	迷人的银色星	迷人的銀色星	魅力的な銀色の星	매혹적인 은색별	Dazzling Silver Star						0	
use_card03_Aswer5	五彩斑斓的黑色星	五彩斑斕的黑色星	カラフルな黒色の星	다채로운 검정색별	Vibrant Black Star						0	
use_card05_Aswer1	霹雳舞	霹靂舞	ブレイクダンス	비보이 댄스	Breakdance						0	
use_card05_Aswer2	古典舞	古典舞	クラシックダンス	클래식 댄스	Classical dance						0	
use_card05_Aswer3	自由舞	自由舞	フリーダンス	자유 댄스	Hip-hop dance						0	
use_card05_Aswer4	机械舞	機械舞	ロボットダンス	기계 댄스	The robot						0	
use_card05_Aswer5	爵士舞	爵士舞	ジャズダンス	재즈 댄스	Jazz dance						0	
TxtRichManLoveTips1	%s剩余回合：%d	%s剩餘回合：%d	%s残りのターン：%d	%s 남은 턴: %d	%s turns left: %d						0	
TxtRichManLoveTips2	是否选择此心动瞬间？	是否選擇此心動瞬間？	このトキメキの瞬間を選択しますか？	바운스 타임을 선택하시겠습니까?	Confirm to select this Loverush Moment?						0	
TxtRichManLoveTips3	是否选择此社区成就？	是否選擇此社區成就？	このコミュニティアチーブメントを選択しますか？	커뮤니티 업적을 선택하시겠습니까?	Confirm to select this Community Achievement?						0	
TxtRichManLoveTips4	%d天后进入狂欢模式，无需骰子也可前进	%d天后進入狂歡模式，無需骰子也可前進	%d日後にカーニバルモードが開放され、サイコロなしでも進める	%d일 후에는 축제 모드로 진입해 주사위가 없이도 전진할 수 있습니다.	Carnival Mode starts in %d day(s), where you can advance without using Dice.						0	
TxtRichManLoveTips5	里芙倾向坚毅和智识	里芙傾向堅毅和智識	リフは根性と知恵が好き	리브는 강인함과 지식을 선호합니다.	Lyfe admires Determination and Intelligence.						0	
TxtRichManLoveTips6	芬妮倾向温柔和魅力	芬妮傾向溫柔和魅力	ファニーは優しさと魅力が好き	페니는 온화와 매력을 선호합니다.	Fenny admires Tenderness and Charisma.						0	
TxtRichManLoveTips7	茉莉安倾向幽默和智识	茉莉安傾向幽默和智識	マリアンはユーモアと知恵が好き	마리안은 유머와 지식을 선호합니다.	Marian admires Humor and Intelligence.						0	
TxtRichManLoveTips8	可以根据少女们的倾向提升自己的属性	可以根據少女們的傾向來提升自己的屬性	少女たちの好みに合わせてステータスを強化可能	소녀들의 선호도에 따라 자신의 속성을 향상시킬 수 있습니다.	Note the girls' attribute preferences!						0	
TxtRichManLoveTips9	每周末与少女约会可提升心动指数哦！	每週末與少女約會可提升心動指數哦！	少女たちのトキメキ値を上げよう！	소녀들의 마음을 움직이는 바운스 지수를 올려보세요!	Weekend dates can boost Loverush Index!						0	
TxtRichManLoveTips10	已获得此社区成就，是否再次查看？	已獲得此社區成就，是否再次查看？	獲得済みのコミュニティアチーブメントです、もう一度チェックしますか？	속성을 향상시키면 더 다양한 커뮤니티 업적을 오픈할 수 있습니다.	Already obtained this community achievement. View again?						0	
TxtRichManLoveTips11	已获得此心动瞬间，是否再次查看？	已獲得此心動瞬間，是否再次查看？	このトキメキ瞬間は獲得済みです。もう一度確認しますか？	바운스 타임 획득, 다시 확인하시겠습니까?	Already obtained this Loverush Moment. View again?						0	
TxtRichManLoveEnd1_Name	天下无双的分析员	天下無雙的分析員	世界一の分析員	천하무쌍의 분석가	Unparalleled Adjutant						0	
TxtRichManLoveEnd2_Name	模范长官	模範長官	模範的な長官	모범이 되는 장관	Model Commander						0	
TxtRichManLoveEnd3_Name	心动大赢家	心動大贏家	トキメキウィナー	바운스 파티 수상자	Loverush Winner						0	
TxtRichManLoveEnd4_Name	妙语鼓励师	妙語鼓勵師	気の利く励ましの達人	재치 있는 격려사	Witty Motivator						0	
TxtRichManLoveEnd5_Name	心理咨询师	心理諮商師	心理カウンセラー	심리 상담사	Emotional Counselor						0	
TxtRichManLoveEnd6_Name	语言专家	語言專家	言葉のプロ	언어 전문가	Language Expert						0	
TxtRichManLoveEnd7_Name	生活艺术家	生活藝術家	ライフアーティスト	삶의 예술가	Life Artist						0	
TxtRichManLoveEnd8_Name	派对策划师	派對策劃師	パーティープランナー	파티 기획자	Party Planner						0	
TxtRichManLoveEnd9_Name	品质收藏家	品質收藏家	センスのいいコレクター	품질 수집가	Quality Collector						0	
TxtRichManLoveEnd10_Name	杰出探险家	傑出探險家	傑出した探検家	뛰어난 탐험가	Excellent Explorer						0	
TxtRichManLoveEnd11_Name	峭壁攀登者	峭壁攀爬者	絶壁を登る者	암벽 등반가	Cliff Climber						0	
TxtRichManLoveEnd12_Name	极限新星	極限新星	極限の新星	익스트림 스포츠 전문가	Extreme Star						0	
TxtRichManLoveEnd13_Name	微笑勇者	微笑勇者	スマイル勇者	미소 용사	Smiling Hero						0	
TxtRichManLoveEnd14_Name	派对达人-守护者	派對達人-守護者	パーティー達人-守護者	파티의 달인-수호자	Party Expert - Protector						0	
