字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1012101_name	<span color="#ffc500">操作提示</>	<span color="#ffc500">操作提示</>	<span color="#ffc500">操作ヒント</>	<span color="#ffc500">조작 알림</>	<span color="#ffc500">Control Tips</>						0	
1012101_key1	闪避	閃避	回避	회피	Dodge						0	
1012101_key2	冲刺	衝刺	スプリント	스퍼트	Sprint						0	
1012101_key3	瞄准	瞄準	照準	조준	Aim						0	
1012101_key4	装弹	裝彈	リロード	장전	Reload						0	
1012201_name	<span color="#ffc500">操作提示</>	<span color="#ffc500">操作提示</>	<span color="#ffc500">操作ヒント</>	<span color="#ffc500">조작 알림</>	<span color="#ffc500">Control Tips</>						0	
1012201_key1	闪避	閃避	回避	회피	Dodge						0	
1012201_key2	冲刺	衝刺	スプリント	스퍼트	Sprint						0	
1012201_key3	任务提示	任務提示	ミッション通知	미션 힌트	Objective Hint						0	
1012201_key4	跳跃	跳躍	ジャンプ	점프	Jump						0	
1012301_name	<span color="#ffc500">操作提示</>	<span color="#ffc500">操作提示</>	<span color="#ffc500">操作ヒント</>	<span color="#ffc500">조작 알림</>	<span color="#ffc500">Control Tips</>						0	
1012301_key1	机枪扫射	機槍掃射	掃射する	기관총 사격	Turret Shooting						0	
1012301_key2	瞄准	瞄準	照準	조준	Aim						0	
