字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
spinenotactived	该神经节点未通导	該神經節點未通導	未通導	해당 신경 노드 미활성화	This Theotropic Node has not been channeled						0	
spineactived	该神经节点已通导	該神經節點已通導	通導済	해당 신경 노드 활성화	This Theotropic Node has been channeled						0	
nodelv	等级需求为	等級需求為	必要なLvは	필요 레벨	Requirement: Lv.						0	
prespinenotactived	前置神经节点未通导	前置神經節點未通導	前提神経ノード未通導	이전 신경 노드 미활성화	The prerequisite Theotropic Node has not been channeled						0	
des1	描述1	描述1	説明1	서술1	Description 1						0	
confirmstart	开始通导此神经组后，在完成全部通导前，无法对其他神经组进行通导。	開始通導此神經組後，在完成全部通導前，無法對其他神經組進行通導。	通導開始後、当該組織の通導を全部完了する必要があります。中途変更不可。	해당 신경 조직을 활성화할 시, 전체 신경 조직이 활성화되기 전까지 다른 신경 조직의 활성화를 진행할 수 없습니다.	Once the Theotropic Cluster Channel is in progress, you will not be able to channel another Cluster until the current Cluster is fully completed.						0	
spineinactivation	已有神经组在通导中	已有神經組在通導中	通導中の神経組織があります	이미 활성화된 신경 조직	A Cluster is already being channeled						0	
confirmreset	重置后将清除当前神经通导状态，并返还全部材料，该材料仅可用于当前角色的神经通导。	重置後將清除當前神經通導狀態，並返還全部材料，該材料僅可用於當前角色的神經通導。	リセットすると現在の通導状態がクリアされ、素材が全部返還されます。返還された素材は対象の隊員にのみ使用可能。	리셋 후에는 현재까지 활성화된 신경 상태가 모두 초기화되고, 재료들도 전부 반환됩니다. 해당 재료들은 캐릭터의 신경 활성화에만 적용됩니다.	All current Theotropic Cluster progress will be wiped after the reset. All materials used will be refunded. Materials refunded can only be used to channel the Theotropic Nerves of current operative.						0	
nospineinactivation	当前无神经通导	當前無神經通導	通導中の神経組織がありません	현재 활성화 할 신경이 없습니다.	No Theotropic Cluster Channel currently in progress						0	
allspineactivated	当前神经已全部通导	當前神經已全部通導	神経組織はすべて通導されました	현재 모든 신경 활성화 완료	All Theotropic Cluster has been channeled						0	
Attack	攻击力增加{1}	攻擊力增加{1}	攻撃力+{1}。	공격력이 {1} 증가한다.	ATK +{1}						0	
Health	最大生命增加{1}	最大生命增加{1}	最大HP+{1}。	최대 HP가 {1} 증가한다.	Max HP +{1}						0	
Defence	防御力增加{1}	防禦力增加{1}	防御力+{1}。	방어력이 {1} 증가한다.	DEF +{1}						0	
Critical	暴击率提升{1}%	暴擊率提升{1}%	会心率+{1}%。	크리티컬 확률이 {1}% 증가한다.	CRIT Rate +{1}%						0	
CriticalDamageAddtion	暴击伤害增幅提升{1}%	暴擊傷害增幅提升{1}%	会心ダメージ増幅+{1}%。	크리티컬 강도가 {1}% 증가한다.	Increases CRIT DMG Amplifier by {1}%						0	
Command	附属单位强度提升{1}%	附屬單位強度提升{1}%	付属ユニット強度+{1}%。	부속 유닛 강도가 {1}% 증가한다.	Auxiliary Units Strength +{1}%						0	
SkillIntensity	技能强度增幅提升{1}%	技能強度增幅提升{1}%	スキル威力増幅+{1}%。	스킬 강도가 {1}% 증가한다.	Increases Skill DMG Amplifier by {1}%						0	
CharacterEnergyEfficiency	爆发能量获取效率提升{1}%	爆發能量獲取效率提升{1}%	爆発EP取得率+{1}%。	부스터 획득률이 {1}% 증가한다.	Increases U-Energy Recovery by {1}%						0	
