字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
cardexp001	新手战斗记录	新手戰鬥記錄	初心者戦闘履歴	전투 기록-1	Beginner Combat Record						0	
cardexp001_use	角色经验素材	角色經驗素材	隊員EXP素材	캐릭터 경험치 소재	Operative EXP material						0	
cardexp001_des	用于强化队员，提供600经验值，观看记录有助于复盘提高	用於強化隊員，提供600經驗值，觀看記錄有助於復盤提高	隊員の強化に使用すると、600EXPを獲得できる。履歴を見ることで見直しと改善に役立つ。	팀원 강화 시 사용되며 경험치를 600 제공한다. 전투 기록은 상황 분석에 도움을 준다.	Used to level up operatives, provides 600 EXP. Viewing records helps in general mission review.						0	
cardexp002	普通战斗记录	普通戰鬥記錄	一般戦闘履歴	전투 기록-2	Normal Combat Record						0	
cardexp002_use	角色经验素材	角色經驗素材	隊員EXP素材	캐릭터 경험치 소재	Operative EXP material						0	
cardexp002_des	用于强化队员，提供1200经验值，记录着各种不堪回首的战术失误	用於強化隊員，提供1200經驗值，記錄著各種不堪回首的戰術失誤	隊員の強化に使用すると、1200EXPを獲得できる。数々の手痛い戦術的ミスが記録されている。	팀원 강화 시 사용되며 경험치를 1,200 제공한다. 전투 시 실수했던 다수의 경험들을 기록하고 있다.	Used to level up operatives, provides 1,200 EXP. Provides audiovisual records of grave tactical errors for review.						0	
cardexp003	优秀战斗记录	優秀戰鬥記錄	優秀戦闘履歴	전투 기록-3	Good Combat Record						0	
cardexp003_use	角色经验素材	角色經驗素材	隊員EXP素材	캐릭터 경험치 소재	Operative EXP material						0	
cardexp003_des	用于强化队员，提供3000经验值，调用主计算阵列对以往战例给出建议	用於強化隊員，提供3000經驗值，調用主計算陣列對以往戰例給出建議	隊員の強化に使用すると、3000EXPを獲得できる。メイン計算配列を呼び出し、過去の戦闘例についてアドバイスをすることができる。	팀원 강화 시 사용되며 경험치를 3,000 제공한다. 메인 디스플레이를 통해 이전에 있었던 전투 기록을 볼 수 있고, 이를 토대로 개선안을 제안할 수 있다.	Used to level up operatives, provides 3,000 EXP. It features a simulation matrix that determines optimal improvements for past mission performances.						0	
cardexp004	精英战斗记录	精英戰鬥記錄	エリート戦闘履歴	전투 기록-4	Elite Combat Record						0	
cardexp004_use	角色经验素材	角色經驗素材	隊員EXP素材	캐릭터 경험치 소재	Operative EXP material						0	
cardexp004_des	用于强化队员，提供9000经验值，精挑细选的经典战例，也可以称之为海姆达尔的光辉	用於強化隊員，提供9000經驗值，精挑細選的經典戰例，也可以稱之為海姆達爾的光輝	隊員の強化に使用すると、9000EXPを獲得できる。ヘイムダルの栄光ともいうべき戦闘の典型例を厳選して紹介。	팀원 강화 시 사용되며 경험치를 9,000 제공한다. 디테일한 전투 기록을 참고해 헤임달 부대를 강화시킬 수 있다.	Used to level up operatives, provides 9,000 EXP. A review of carefully chosen battles regarded as classics, also known as Heimdall's Greatest Moments.						0	
weaponexp001	通用强化套件	通用強化套組	汎用強化セット	강화 세트-1	General Augmentation Kit						0	
weaponexp001_use	武器经验素材	武器經驗素材	武器EXP素材	무기 경험치 소재	Weapon EXP material						0	
weaponexp001_des	用于强化武器，提供600经验值，常规的武器保养和改修工具套组	用於強化武器，提供600經驗值，常規的武器保養和改修工具套組	武器の強化に使用すると、600EXPを獲得できる。通常の武器の手入れと修理道具セット。	무기 강화에 사용되며 경험치를 600 제공한다. 일반적인 무기 정비와 도구를 개조하는 세트.	Used to level up weapons, provides 600 EXP. A standard kit for weapon maintenance and modification.						0	
weaponexp002	优选强化套件	優選強化套組	優選強化セット	강화 세트-2	Refined Augmentation Kit						0	
weaponexp002_use	武器经验素材	武器經驗素材	武器EXP素材	무기 경험치 소재	Weapon EXP material						0	
weaponexp002_des	用于强化武器，提供1200经验值，一些特殊的结构需要相应工具才能拆装	用於強化武器，提供1200經驗值，一些特殊的結構需要相應工具才能拆裝	武器の強化に使用すると、1200EXPを獲得できる。一部の特殊な構造では、分解や組み立てに適切なツールが必要。	무기 강화에 사용되며 경험치를 1,200 제공한다. 일부 특수 구조는 그에 상응하는 도구를 사용해야 해제할 수 있다.	Used to level up weapons, provides 1,200 EXP. Contains special tools for augmentation of certain advanced weapon structures.						0	
weaponexp003	精致强化套件	精緻強化套組	優質強化セット	강화 세트-3	Exquisite Augmentation Kit						0	
weaponexp003_use	武器经验素材	武器經驗素材	武器EXP素材	무기 경험치 소재	Weapon EXP material						0	
weaponexp003_des	用于强化武器，提供3000经验值，某些厂商的定制武器会用奇怪的方式锁闭关键部位	用於強化武器，提供3000經驗值，某些廠商的訂製武器會用奇怪的方式鎖死關鍵部位	武器の強化に使用すると、3000EXPを獲得できる。一部のメーカーのカスタム武器では、肝心な部分を奇妙な方法でロックしている。	무기 강화에 사용되며 경험치를 3,000 제공한다. 일부 제조업체의 주문 제작 무기는 특정한 방식을 통해서만 핵심 부위를 잠글 수 있다.	Used to level up weapons, provides 3,000 EXP. Some manufacturers' custom weapons will lock key parts in strange ways.						0	
weaponexp004	珍稀强化套件	珍稀強化套組	希少強化セット	강화 세트-4	Rare Augmentation Kit						0	
weaponexp004_use	武器经验素材	武器經驗素材	武器EXP素材	무기 경험치 소재	Weapon EXP material						0	
weaponexp004_des	用于强化武器，提供9000经验值，可以应付几乎所有结构的高级工具套件	用於強化武器，提供9000經驗值，可以應付幾乎所有結構的高級工具套組	武器の強化に使用すると、9000EXPを獲得できる。ほぼすべての構造に対応できる高級ツールセット。	무기 강화에 사용되며 경험치를 9,000 제공한다. 거의 모든 구조에 대응 가능한 특수 도구 세트.	Used to level up weapons, provides 9,000 EXP. An advanced kit for upgrading your weapon to handle any situation.						0	
supportexp001	初级职级认证	初級職級認證	初級職級認証	직급 인증-1	Primary Certification						0	
supportexp001_use	后勤经验素材	後勤經驗素材	後方支援EXP素材	지원 경험치 소재	Logistics EXP material						0	
supportexp001_des	用于强化后勤队员，提供600经验值，菜鸟后勤往往需要更多关注和建议	用於強化後勤隊員，提供600經驗值，菜鳥後勤往往需要更多關注和建議	後方支援の強化に使用すると、600EXPを獲得できる。新人後方支援には、より多くの関心やアドバイスが必要。	지원 팀원 강화에 사용되며 경험치를 600 제공한다. 신입인 지원 팀원에게는 많은 관심과 조언이 필요하다.	Used to level up logistics officers, provides 600 EXP. Rookie logistics officers often need greater care and handling.						0	
supportexp002	中级职级认证	中級職級認證	中級職級認証	직급 인증-2	Intermediate Certification						0	
supportexp002_use	后勤经验素材	後勤經驗素材	後方支援EXP素材	지원 경험치 소재	Logistics EXP material						0	
supportexp002_des	用于强化后勤队员，提供1200经验值，加大工作量有助于进一步提高后勤人员的能力	用於強化後勤隊員，提供1200經驗值，加大工作量有助於進一步提高後勤人員的能力	後方支援の強化に使用すると、1200EXPを獲得できる。仕事量を増やすことは、後方支援の能力をさらに向上させるのに役立つ。	지원 팀원 강화에 사용되며 경험치를 1,200 제공한다. 업무량을 늘려서 지원 팀원 능력을 한층 더 향상시킬 수 있다.	Used to level up logistics officers, provides 1,200 EXP. Giving them a bigger workload often results in an improvement in their abilities as logistics personnel.						0	
supportexp003	高级职级认证	高級職級認證	高級職級認証	직급 인증-3	Advanced Certification						0	
supportexp003_use	后勤经验素材	後勤經驗素材	後方支援EXP素材	지원 경험치 소재	Logistics EXP material						0	
supportexp003_des	用于强化后勤队员，提供3000经验值，专业后勤人员能灵活应对各种突发情况	用於強化後勤隊員，提供3000經驗值，專業後勤人員能靈活應對各種突發情況	後方支援の強化に使用すると、3000EXPを獲得できる。プロの後方支援ならあらゆる緊急事態に柔軟に対応できる。	지원 팀원 강화에 사용되며 경험치를 3,000 제공한다. 전문 지원 팀원으로 각종 돌발 상황에서 유연하게 대처할 수 있다.	Used to level up logistics officers, provides 3,000 EXP. Experienced logistics officers can deal with various emergencies with ease.						0	
supportexp004	特级职级认证	特級職級認證	特級職級認証	직급 인증-4	Ultimate Certification						0	
supportexp004_use	后勤经验素材	後勤經驗素材	後方支援EXP素材	지원 경험치 소재	Logistics EXP material						0	
supportexp004_des	用于强化后勤队员，提供9000经验值，优秀后勤人员的支持提高了每次行动的成功率	用於強化後勤隊員，提供9000經驗值，優秀後勤人員的支持提高了每次行動的成功率	後方支援の強化に使用すると、9000EXPを獲得できる。優秀な後方支援は行動の成功率を高めることができる。	지원 팀원 강화에 사용되며 경험치를 9,000 제공한다. 뛰어난 지원 팀원의 서포트로 작전의 성공률을 크게 높여준다.	Used to level up logistics officers, provides 9,000 EXP. The most veteran logistics personnel dramatically improve the success probability of any operation.						0	
pieces001	提取物·安卡希雅	提取物·安卡希雅	抽出物・アカシア	추출물: 아카시아	Extract: Acacia						0	
pieces001_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
pieces001_des	用于激发天启，从泰坦的核心中提取的神秘物质	用於激發天啟，從泰坦的核心中提取的神秘物質	タイタンのコアから抽出された、アポカリプスを引き起こせる謎の物質。	계시 활성화에 사용된다. 타이탄 코어에서 추출한 신비한 물질.	Used to stimulate Manifestation process, a mysterious substance extracted from Titans						0	
pieces002	提取物·里芙	提取物·里芙	抽出物・リフ	추출물: 리브	Extract: Lyfe						0	
pieces002_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
pieces002_des	用于激发天启，从泰坦的核心中提取的神秘物质	用於激發天啟，從泰坦的核心中提取的神秘物質	タイタンのコアから抽出された、アポカリプスを引き起こせる謎の物質。	계시 활성화에 사용된다. 타이탄 코어에서 추출한 신비한 물질.	Used to stimulate Manifestation process, a mysterious substance extracted from Titans						0	
pieces003	提取物·妮塔	提取物·妮塔	抽出物・ニタ	추출물: 니타	Extract: Nita						0	
pieces003_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
pieces003_des	用于激发天启，从泰坦的核心中提取的神秘物质	用於激發天啟，從泰坦的核心中提取的神秘物質	タイタンのコアから抽出された、アポカリプスを引き起こせる謎の物質。	계시 활성화에 사용된다. 타이탄 코어에서 추출한 신비한 물질.	Used to stimulate Manifestation process, a mysterious substance extracted from Titans						0	
pieces004	提取物·芙提雅	提取物·芙提雅	抽出物・フリティア	추출물: 프티야	Extract: Fritia						0	
pieces004_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
pieces004_des	用于激发天启，从泰坦的核心中提取的神秘物质	用於激發天啟，從泰坦的核心中提取的神秘物質	タイタンのコアから抽出された、アポカリプスを引き起こせる謎の物質。	계시 활성화에 사용된다. 타이탄 코어에서 추출한 신비한 물질.	Used to stimulate Manifestation process, a mysterious substance extracted from Titans						0	
pieces005	提取物·茉莉安	提取物·茉莉安	抽出物・マリアン	추출물: 마리안	Extract: Marian						0	
pieces005_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
pieces005_des	用于激发天启，从泰坦的核心中提取的神秘物质	用於激發天啟，從泰坦的核心中提取的神秘物質	タイタンのコアから抽出された、アポカリプスを引き起こせる謎の物質。	계시 활성화에 사용된다. 타이탄 코어에서 추출한 신비한 물질.	Used to stimulate Manifestation process, a mysterious substance extracted from Titans						0	
pieces006	提取物·茉莉安-雨燕	提取物·茉莉安-雨燕	抽出物・マリアン-アマツバメ	추출물: 마리안·스위프트	Extract: Marian - Swift						0	
pieces006_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
pieces006_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	用於激發天啟，經過精煉和純化的神秘物質，對非天啟者有不良反應	精製および純化された謎の物質、アポカリプスを引き起こすために使用されている。覚醒者以外の人に対してはひどい副作用がある。	계시 활성화에 사용된다. 정련과 정제를 거친 신비한 물질로 비계시자한테는 부정적인 영향을 준다.	Used to stimulate the Manifestation process. A mysterious substance that has been refined and purified, it has adverse effects on non-Manifestations.						0	
pieces007	提取物·晴	提取物·晴	抽出物・晴	추출물: 하루	Extract: Haru						0	
pieces007_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
pieces007_des	用于激发天启，从泰坦的核心中提取的神秘物质	用於激發天啟，從泰坦的核心中提取的神秘物質	タイタンのコアから抽出された、アポカリプスを引き起こせる謎の物質。	계시 활성화에 사용된다. 타이탄 코어에서 추출한 신비한 물질.	Used to stimulate Manifestation process, a mysterious substance extracted from Titans						0	
pieces008	提取物·琴诺	提取物·琴諾	抽出物・チェルノ	추출물: 체르노	Extract: Cherno						0	
pieces008_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
pieces008_des	用于激发天启，从泰坦的核心中提取的神秘物质	用於激發天啟，從泰坦的核心中提取的神秘物質	タイタンのコアから抽出された、アポカリプスを引き起こせる謎の物質。	계시 활성화에 사용된다. 타이탄 코어에서 추출한 신비한 물질.	Used to stimulate Manifestation process, a mysterious substance extracted from Titans						0	
pieces009	提取物·芬妮	提取物·芬妮	抽出物・ファニー	추출물: 페니	Extract: Fenny						0	
pieces009_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
pieces009_des	用于激发天启，从泰坦的核心中提取的神秘物质	用於激發天啟，從泰坦的核心中提取的神秘物質	タイタンのコアから抽出された、アポカリプスを引き起こせる謎の物質。	계시 활성화에 사용된다. 타이탄 코어에서 추출한 신비한 물질.	Used to stimulate Manifestation process, a mysterious substance extracted from Titans						0	
pieces010											0	
pieces010_use											0	
pieces010_des											0	
pieces011	提取物·里芙-狂猎	提取物·里芙-狂獵	抽出物・リフ-ワイルドハント	추출물: 리브-와일드 헌터	Extract: Lyfe - Wild Hunt						0	
pieces011_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
pieces011_des	用于激发天启，经过精炼和纯化的神秘物质，对非天启者有不良作用	用於激發天啟，經過精煉和純化的神秘物質，對非天啟者有不良反應	精製および純化された謎の物質、アポカリプスを引き起こすために使用されている。覚醒者以外の人に対してはひどい副作用がある。	계시 활성화에 사용된다. 정련과 정제를 거친 신비한 물질로 비계시자한테는 부정적인 영향을 준다.	Used to stimulate the Manifestation process. A mysterious substance that has been refined and purified, it has adverse effects on non-Manifestations.						0	
pieces012	提取物·肴	提取物·肴	抽出物・肴	추출물: 야오	Extract: Yao						0	
pieces012_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
pieces012_des	用于激发天启，从泰坦的核心中提取的神秘物质	用於激發天啟，從泰坦的核心中提取的神秘物質	タイタンのコアから抽出された、アポカリプスを引き起こせる謎の物質。	계시 활성화에 사용된다. 타이탄 코어에서 추출한 신비한 물질.	Used to stimulate Manifestation process, a mysterious substance extracted from Titans						0	
pieces013	提取物·恩雅	提取物·恩雅	抽出物・エンヤ	추출물: 엔야	Extract: Enya						0	
pieces013_use	天启道具	天啟道具	アポカリプスアイテム	계시 아이템	Manifestation item						0	
