 	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H卜卜		分析员，你相不相信星座占卜啊？		3.2版本随机事件
page1.2	H卜卜		让本天师来帮你卜一卦如何？		3.2版本随机事件
page1.3	H主角		星座？等等……卜卜你一个朔州人，还信这个？		3.2版本随机事件
page1.4	H主角		我记得朔州人信的是风水那一套吧？		3.2版本随机事件
page1.5	H卜卜		世界上的卜算法门这么多，也不只有风水堪舆之法呀。		3.2版本随机事件
page1.6	H卜卜		作为新时代的天师，本天师自然要与时俱进，海纳百川。		3.2版本随机事件
page1.7	H卜卜		所以无论是朔州自家的风水还是占星，又或是所谓的星座，或者阿尔斯特流传已久的塔罗，本天师都是要去了解的嘛！		3.2版本随机事件
page1.8	H卜卜		知己知彼百战百胜——朔州的老祖宗们可都这么说。		3.2版本随机事件
page1.9	H卜卜		等本天师把它们统统给吃透了，卜算这一行，可就没人是本天师的对手啦。		3.2版本随机事件
choice01			夸赞她		3.2版本随机事件
page2.1	H主角		卜卜还真是努力啊。		3.2版本随机事件
page2.2	H卜卜		嘿嘿，不是努力啦，这叫敬业，敬业呀~		3.2版本随机事件
choice02			敲打她		3.2版本随机事件
page3.1	H主角		可你这种大杂烩乱炖，放在朔州文化里，会不会有些离经叛道了？		3.2版本随机事件
page3.2	H卜卜		嘿嘿，是有一点点啦……但是没关系，这也算是一种集大家之所长嘛！		3.2版本随机事件
page4.1	H卜卜		本天师可是立志要传播朔州文化的！		3.2版本随机事件
page4.2	H主角		可星座、塔罗牌什么的，真的能和风水融合到一起吗？		3.2版本随机事件
page4.3	H卜卜		这本天师还真没试过……		3.2版本随机事件
page4.4	H卜卜		这不正准备拿分析员你来试一试嘛。		3.2版本随机事件
page4.5	H卜卜		来来来，让本天师来把你的星座、生辰八字，还有血型都融合进卜算之法里……不对不对，最好能采你的一滴血，然后我们再来摆一个十二星盘……		3.2版本随机事件
page4.6	H主角		这样真的可以吗？		3.2版本随机事件
page4.7			事实证明，卜卜那一堆杂糅到一起的卜算法根本一点用也没有……		3.2版本随机事件
