字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H恩雅		（小声）加油……加油……		
page1.2	H主角		恩雅？		
page1.3	H恩雅		啊！分析员你终于来啦。		
page1.4	H恩雅		快来快来，小家伙准备要蜕皮了。		
page1.5	H恩雅		你看，它在用头一下一下地蹭树枝。		
page1.6	H主角		这是什么意思呢？		
page1.7	H恩雅		从嘴巴的位置开始，先将旧皮蹭开裂口，之后就可以一点一点慢慢地蜕下来啦。		
page1.8	H主角		哦……听起来也不容易。		
page1.9	H主角		我们这样看着就好吗？需不需要帮帮它？		
page1.10	H恩雅		我已经提前调整饲养箱的温湿度，也布置好了适合的环境。		
page1.11	H恩雅		但是蜕皮本身的过程只能靠小家伙自己啦，如果外人插手，反而容易伤到它。		
page1.12	H主角		原来是这样。		
page1.13	H主角		啊！真的蹭开了一个小口，现在露出的皮肤鲜艳了很多。		
page1.14	H恩雅		呵呵，当然啦。		
page1.15	H恩雅		小家伙蜕皮的整个过程会持续好几天。如果分析员感兴趣，随时都可以过来看哦。		
