字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H主角		你就是拉面匠人？	0	dlc30蓝图岛对话
page1.2	H主角		这么自然地就跟着我回到接待处了……	0	dlc30蓝图岛对话
page1.3	T拉面仙人		没错，我就是潜心研调配汤头数载，一心钻研拉面技术的“拉面匠人”。	0	dlc30蓝图岛对话
page1.4	T拉面仙人		我存在于这个世间的意义，就是还原出传说级的拉面！	0	dlc30蓝图岛对话
page1.5	T拉面仙人		请让我在这里工作。	0	dlc30蓝图岛对话
page1.6	H主角		这直白的npc风格还是没改啊。看来没错了，是安卡希雅的手笔。	0	dlc30蓝图岛对话
page1.7	T拉面仙人		从进入蓝图岛之初，我就在不断寻找着能还原那款传说级拉面的机会。	0	dlc30蓝图岛对话
page1.8	T拉面仙人		而灵感也如我所求那般，不断地在我脑海中乍然出现。	0	dlc30蓝图岛对话
page1.9	T拉面仙人		也许再要一点时间，就可以——	0	dlc30蓝图岛对话
page1.10	H主角		怎么自顾自地就开始介绍起来了，不管了。	0	dlc30蓝图岛对话
page1.11	H主角		（不过说起来，安卡希雅还记得我说过的话，为此早在准备了啊……）	0	dlc30蓝图岛对话
