字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H妮塔		分析员~我已经做好运动的准备了哦！	0	2.7版本妮塔入队剧情
page1.2	H主角		嗯？妮塔的积极性意外地高啊。	0	2.7版本妮塔入队剧情
page1.3	H妮塔		与其说积极性……不如说其他几个方法我都没什么头绪，也就运动上我还算擅长。	0	2.7版本妮塔入队剧情
page1.4	H主角		没关系，我们就从你擅长的入手。这是根据你的身体数据，制定的一套无氧耐力训练计划。	0	2.7版本妮塔入队剧情
page1.5	H主角		不过，运动健身这块儿妮塔也有不少经验吧？有什么建议尽管提。	0	2.7版本妮塔入队剧情
page1.6	H妮塔		唔……分析员，你这份计划已经很科学全面了！要说建议嘛……	0	2.7版本妮塔入队剧情
page1.7	H妮塔		或许可以考虑适当借助一些器械，让训练事半功倍？	0	2.7版本妮塔入队剧情
page1.8	H主角		器械啊……有妮塔觉得还不错的吗？	0	2.7版本妮塔入队剧情
page1.9	H妮塔		哈哈哈，那当然是那个<orange>复杂的“大家伙”</>啦！	0	2.7版本妮塔入队剧情
page1.10	H妮塔		功能多，性价比高，还能<orange>多人一起使用</>！要是分析员能陪我一起练练，我肯定会更有劲儿的！	0	2.7版本妮塔入队剧情
page1.11			一边说着，妮塔自信地撩起衣服的下摆，向我展示她优美的身体线条和结实的肌肉。	0	2.7版本妮塔入队剧情
page1.12			指尖滑过妮塔腰间紧致又流畅的弧度，我只感觉全身的细胞被忽然唤醒。	0	2.7版本妮塔入队剧情
page1.13	H主角		一起练的话，身为天启者的你可不要比我先用尽力气倒下哦。	0	2.7版本妮塔入队剧情
page1.14	H妮塔		分析员居然这么小瞧我，那我从热身开始，就要拿出百分百的认真了！	0	2.7版本妮塔入队剧情
page1.15	H妮塔		嗯……就用那个方式热身吧！	0	2.7版本妮塔入队剧情
page1.16	H主角		哪个方式？	0	2.7版本妮塔入队剧情
page1.17			妮塔伏下身子，与地面保持完美的平行，核心与臀部收紧，双手稳稳扶住墙面。	0	2.7版本妮塔入队剧情
page1.18			在这个姿势下，柔美与力量得以在妮塔身上共存，以至于她蜜色皮肤上都仿佛镀上一层动人的光泽。	0	2.7版本妮塔入队剧情
page1.19	H妮塔		来吧~分析员！这叫“绕身爬”~你从后面抱住我的身体，环形爬绕几圈就算完成。	0	2.7版本妮塔入队剧情
page1.20	H妮塔		别看动作简单，分析员哪怕移动一点距离，都得用到全身的力量哦！	0	2.7版本妮塔入队剧情
page1.21	H主角		这倒是个挺新奇的热身方式？	0	2.7版本妮塔入队剧情
page1.22			在妮塔解释完后，我小心翼翼地从后压上。	0	2.7版本妮塔入队剧情
page1.23			起初的动作还算顺利，但当我移动到她正面时，浑圆的光景阻碍了我的视线，核心力量开始与地心引力展开激烈的拉锯战。	0	2.7版本妮塔入队剧情
page1.24	H妮塔		嘿嘿，分析员该不会是坚持不住了吧？	0	2.7版本妮塔入队剧情
page1.25	H主角		明明是妮塔留给我移动的空间太小了……	0	2.7版本妮塔入队剧情
page1.26			当她意识到我话中含义，急于想要改变姿势，但这样无异于宣告热身失败。	0	2.7版本妮塔入队剧情
page1.27			我只能用脚紧紧锁住她的髋部，迫使她无法动作，只是绷着身子泄出一声低哼。	0	2.7版本妮塔入队剧情
page1.28	H妮塔		嗯……	0	2.7版本妮塔入队剧情
page1.29	H妮塔		不愧是分析员……劲儿真足啊。	0	2.7版本妮塔入队剧情
page1.30			在她满脸绯红的注视下，我单手搂住腰肢，借助温软却挺拔的攀爬点，完成了一圈环形。	0	2.7版本妮塔入队剧情
page1.31	H主角		呼……搞定，接下来我们该交换位置了吧？	0	2.7版本妮塔入队剧情
page1.32	H妮塔		这……这就该我了吗？那分析员……我上来咯。	0	2.7版本妮塔入队剧情
page1.33			我们的身体在这场热身中被激活，看来接下来的训练会格外激烈。	0	2.7版本妮塔入队剧情
