字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	W妮塔		分析员，温泉水好像有股淡淡的香味~好好闻！	0	2.7版本妮塔入队剧情
page1.2	H主角		大概是后勤部放了些料包进去吧。	0	2.7版本妮塔入队剧情
page1.3	W妮塔		料包？听上去感觉我们要被炖了……	0	2.7版本妮塔入队剧情
page1.4	H主角		想什么呢，不是做菜用的料包。一般都是些香花草药，用来盖住温泉里残留的硫磺味。	0	2.7版本妮塔入队剧情
page1.5	W妮塔		有味儿？分析员的意思是，这水有问题吗？	0	2.7版本妮塔入队剧情
page1.6	H主角		当然没问题，这种气味本来就是天然温泉的特色。	0	2.7版本妮塔入队剧情
page1.7	H主角		天然温泉不仅能舒缓肌肉，还能滋养皮肤，好处还挺多的。	0	2.7版本妮塔入队剧情
page1.8	W妮塔		滋……滋养皮肤？分析员！<orange>我们多泡一会吧！</>	0	2.7版本妮塔入队剧情
page1.9	W妮塔		如果皮肤变得滑嫩些，分析员摸起来的手感岂不是……	0	2.7版本妮塔入队剧情
page1.10			温泉周围弥漫着轻柔的雾气，每次呼吸，那温暖的湿气都沁入肺腑，让我们的脸颊愈发红润。	0	2.7版本妮塔入队剧情
page1.11	W妮塔		呼~要是后勤部把那些香花草药直接撒到水面上多好。	0	2.7版本妮塔入队剧情
page1.12	H主角		嗯？这是为什么？	0	2.7版本妮塔入队剧情
page1.13	W妮塔		因为这样的话，如果在水下做点什么的话……就没人发现了吧？	0	2.7版本妮塔入队剧情
page1.14			妮塔望向我，绿宝石色的眼眸中带着几分欲求。	0	2.7版本妮塔入队剧情
page1.15			她急切地想要沉入温暖的水中，渴望将所有思绪都融化在这氤氲的热气里。	0	2.7版本妮塔入队剧情
