字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	W妮塔		唔……分析员，你的脸好红啊。嘿嘿，身体也烫烫的。	0	2.7版本妮塔入队剧情
page1.2	H主角		你该不会是为这个，故意拉我泡那么久的吧？	0	2.7版本妮塔入队剧情
page1.3	W妮塔		没有没有，分析员火热的样子我又不是没见过。	0	2.7版本妮塔入队剧情
page1.4			就在妮塔打趣我时，眼神里忽现一丝意外，双手捂在胸前，试图控制住即将滑落的白色浴巾。	0	2.7版本妮塔入队剧情
page1.5	W妮塔		糟糕……浴衣松掉了。	0	2.7版本妮塔入队剧情
page1.6			她大方地转过身，饱满的双股几乎要贴在我身上。	0	2.7版本妮塔入队剧情
page1.7	W妮塔		分析员~帮个忙~	0	2.7版本妮塔入队剧情
page1.8			就在我耐心为她整理浴衣时，她频繁活动着肩颈。	0	2.7版本妮塔入队剧情
page1.9	H主角		不舒服吗？是刚才拉伸得不够？	0	2.7版本妮塔入队剧情
page1.10	W妮塔		大概吧？都怪分析员太心软啦，应该对我更用力一点才对。	0	2.7版本妮塔入队剧情
page1.11	H主角		也不知道是谁刚才疼得嗷嗷叫……	0	2.7版本妮塔入队剧情
page1.12	W妮塔		分析员~再帮我放松一下吧，这次我保证不叫唤，你多用力都行。	0	2.7版本妮塔入队剧情
page1.13	H主角		好吧，既然你都这么说了，我还能放着你不管吗？	0	2.7版本妮塔入队剧情
page1.14			见我同意，妮塔畅快一笑，忙不迭地就往<orange>疗愈中心</>跑去。	0	2.7版本妮塔入队剧情
page1.15	W妮塔		分析员，换好衣服，就快点来找我吧！	0	2.7版本妮塔入队剧情
