字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H主角		嗯……果然设了密码啊。要是输错的话，就会触发报警系统……	0	2.7版本妮塔入队剧情
page1.2	H主角		老是念叨要把小金库交给我保管，但是却忘了告诉我密码……该说真不愧是妮塔吗……	0	2.7版本妮塔入队剧情
page1.3	H芙提雅		好啦！芙提雅老师设计的顶级防盗系统安装完成！	0	2.7版本妮塔入队剧情
page1.4	H芙提雅		只要密码输错，警报就会立刻响起，还会自动通知安全部并锁上公司所有的门。	0	2.7版本妮塔入队剧情
page1.5	H妮塔		不能再加装几把武器，输错密码就突突突吗？	0	2.7版本妮塔入队剧情
page1.6	H芙提雅		什……什么？	0	2.7版本妮塔入队剧情
page1.7	H主角		喂……好歹也要考虑一下自己输错密码的可能性吧……	0	2.7版本妮塔入队剧情
page1.8	H妮塔		我是不可能输错密码的，那可是一组充满爱意，<orange>和分析员有联系的数字呢！</>	0	2.7版本妮塔入队剧情
page1.9	H主角		（这两天卡罗琳正好通知我补录一些<orange>档案中缺失的信息……难道那组数字</>已经被妮塔打听去了？）	0	2.7版本妮塔入队剧情
page1.10	H妮塔		嗯哼，想套我话？没～门～	0	2.7版本妮塔入队剧情
page1.11	H妮塔		那个……武器不行的话，装个电击装置总可以吧？	0	2.7版本妮塔入队剧情
page1.12	H妮塔		把除我和分析员以外还想接近保险箱的人都……嘿。	0	2.7版本妮塔入队剧情
page1.13	H芙提雅		好邪恶的笑容！我决定了，要离你的保险箱远远的！	0	2.7版本妮塔入队剧情
page1.14	H芙提雅		这么有意义的密码，不考虑和芙提雅老师分享一下吗？	0	2.7版本妮塔入队剧情
