字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H主角		这些「随心兑」是……	0	2.7版本妮塔入队剧情
page1.2	H纠结的员工		是我的。我正在思考如何以最“优雅”的方式把它们花掉。	0	2.7版本妮塔入队剧情
page1.3	H主角		优雅？	0	2.7版本妮塔入队剧情
page1.4	H纠结的员工		没错，优雅是人类必须追求的至高境界。购买物质产品显得太过庸俗，可单纯的精神消费又未免无趣至极.....	0	2.7版本妮塔入队剧情
page1.5	H主角		那不如把「随心兑」给我。	0	2.7版本妮塔入队剧情
page1.6	H纠结的员工		诶，给分析员吗？	0	2.7版本妮塔入队剧情
page1.7	H主角		是啊，由我来替你花掉「随心兑」。这样简洁又高效的处理方式，难道不正是你所追求的优雅吗？	0	2.7版本妮塔入队剧情
page1.8	H纠结的员工		优雅！这实在是太优雅了！不愧是分析员，竟能想出如此脱俗的处理方式！	0	2.7版本妮塔入队剧情
page1.9	H纠结的员工		那么，我的「随心兑」就托付给分析员了！	0	2.7版本妮塔入队剧情
