字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T妮塔		「乐透卡」~到手！	0	2.7版本妮塔入队剧情
page1.2	T妮塔		卡罗琳倒是个藏东西的好手，要不是从她那里要了提示，谁能想到东西居然在棚户区。	0	2.7版本妮塔入队剧情
page1.3	T妮塔		好久没回棚户区了，这里的空气……	0	2.7版本妮塔入队剧情
page1.4			妮塔活动了下筋骨，然后猛地深吸了一口气。	0	2.7版本妮塔入队剧情
page1.5	T妮塔		呃……也不怎么清新啊，还是和以前一样哈哈哈。	0	2.7版本妮塔入队剧情
page1.6	H主角		我也算来过这儿好几次了，弯弯绕绕的路还是一点都没记住，太复杂了。	0	2.7版本妮塔入队剧情
page1.7	T妮塔		分析员记着干啥，有需要找我带路不就好了。	0	2.7版本妮塔入队剧情
page1.8	H主角		也是，要说对棚户区的了解，谁能比得上妮塔？	0	2.7版本妮塔入队剧情
page1.9	H主角		之前那次……我记得你还在接受治疗，但作为“最优人选”，还是被卡罗琳硬拽来了。	0	2.7版本妮塔入队剧情
page1.10	T妮塔		那次？哦！我想起来了，任务目标是回收……诶？那玩意儿叫啥……布丁稀巴烂？	0	2.7版本妮塔入队剧情
page1.11	H主角		是“布里希嘉曼”。	0	2.7版本妮塔入队剧情
page1.12	T妮塔		哈哈，差不多差不多啦！不过分析员，我可不是被卡罗琳硬拽来的。	0	2.7版本妮塔入队剧情
page1.13	T妮塔		我是主动请缨~还生怕小情报官不选我呢！	0	2.7版本妮塔入队剧情
page1.14	H主角		主动？难道任务比养病还重要？	0	2.7版本妮塔入队剧情
page1.15	T妮塔		不是任务重要，是和分析员“一起任务”很重要！	0	2.7版本妮塔入队剧情
page1.16	T妮塔		怎么说呢……唉，我的背景比不上队里的大家，全靠命大撑过了抑制剂的不良反应，成了天启者。	0	2.7版本妮塔入队剧情
page1.17	T妮塔		结果刚进队，还没干啥呢就把自己弄伤了，只能在病床上躺着。	0	2.7版本妮塔入队剧情
