字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1			小雨淅淅沥沥落下，伸出手便能感受到惬意的凉爽。	0	2.7版本妮塔入队剧情
page1.2			妮塔在雨中随意打着转，时不时用脚步点出水花。	0	2.7版本妮塔入队剧情
page1.3	T妮塔		哇！真的是和电影里一模一样的场景！	0	2.7版本妮塔入队剧情
page1.4	H主角		这就是电影的拍摄地，当然一模一样了。	0	2.7版本妮塔入队剧情
page1.5	H主角		不过，妮塔居然也看了《极夜行动》？我记得你对电影一向不太感兴趣。	0	2.7版本妮塔入队剧情
page1.6	T妮塔		是不太喜欢，每次坐上一两个小时，我觉得屁股疼。	0	2.7版本妮塔入队剧情
page1.7	T妮塔		但《极夜行动》不一样！分析员的演技可好了，剧情也……剧情是啥来着……	0	2.7版本妮塔入队剧情
page1.8	T妮塔		哈哈，时间有点久，情节有些记不清了……不过台词我还是记得的。	0	2.7版本妮塔入队剧情
page1.9	T妮塔		咳咳……骑士大人，我一定会带你出去！	0	2.7版本妮塔入队剧情
page1.10	T妮塔		怎么样？我演的像不像？	0	2.7版本妮塔入队剧情
page1.11			妮塔模仿着“龙舌兰”的语气，念出了电影中的台词。	0	2.7版本妮塔入队剧情
page1.12			但妮塔鲜明的个人风格，让我完全无法将两者联系在一起。	0	2.7版本妮塔入队剧情
page1.13			见我摇头否定，一丝红晕爬上了妮塔的耳尖，她抿抿唇，尴尬地笑了。	0	2.7版本妮塔入队剧情
page1.14	T妮塔		不像吗？好吧，看来我没什么当演员的天分。	0	2.7版本妮塔入队剧情
page1.15	T妮塔		唉，本来还幻想着，我也能过一把“女主角”的瘾呢。	0	2.7版本妮塔入队剧情
page1.16			她看似漫不经心，话中却透着难以掩饰的惋惜。	0	2.7版本妮塔入队剧情
page1.17			雨丝落在她的发间，慢慢凝结成晶莹水珠，沿着脸颊滑落，为她增添了几分狼狈。	0	2.7版本妮塔入队剧情
page1.18	H主角		不管像不像，《极夜行动》已经上映，成了过去式，它的女主角……不会是妮塔。	0	2.7版本妮塔入队剧情
page1.19	T妮塔		我……我知道，也不是真的要当女主角，只是羡慕……	0	2.7版本妮塔入队剧情
page1.20			妮塔的声音越来越低，最后沉入寂静，消散在空气中。	0	2.7版本妮塔入队剧情
page1.21	H主角		我想说的是，没有必要羡慕。	0	2.7版本妮塔入队剧情
page1.22	H主角		竹筏、遗迹、电影……没有妮塔参与的这些过去，已经成了无法弥补的遗憾。	0	2.7版本妮塔入队剧情
page1.23	H主角		让遗憾消失的办法，是我们重新去创造。	0	2.7版本妮塔入队剧情
page1.24	T妮塔		创造？	0	2.7版本妮塔入队剧情
page1.25	H主角		对，创造独属于我和妮塔的经历。	0	2.7版本妮塔入队剧情
page1.26	H主角		比如……我的“女主角”，有没有想法和我拍摄一部新的电影呢？	0	2.7版本妮塔入队剧情
page1.27			周围的景物悄然模糊，我们的眼睛如两盏温柔的灯，照亮彼此相望的脸庞	0	2.7版本妮塔入队剧情
page1.28	T妮塔		我有想法！唔……我觉得动作片应该比较适合我，但是只有动作元素是不是有点单调？	0	2.7版本妮塔入队剧情
page1.29	H主角		那再加点恋爱元素？	0	2.7版本妮塔入队剧情
page1.30	T妮塔		嗯嗯，那么时间就设定在未来世界！	0	2.7版本妮塔入队剧情
page1.31			为了理清剧情思路，妮塔又拿出随身的小笔记本，在上面写写画画。	0	2.7版本妮塔入队剧情
page1.32			从混乱的图画可知，这一定是精彩跌宕又复杂无比的故事。	0	2.7版本妮塔入队剧情
page1.33			过了一会，妮塔拿出了创作好的剧本。	0	2.7版本妮塔入队剧情
page1.34	T妮塔		“为了夺回已经被反派掌握的超级计算机——<orange>恒沙。</>”	0	2.7版本妮塔入队剧情
page1.35	T妮塔		“超能战士妮塔和她的搭档playername需要突破重重困境，抵达核心所在之处！”	0	2.7版本妮塔入队剧情
page1.36	T妮塔		“就在他们<orange>解除</>恒沙防御系统的节点时……意外发生了……”	0	2.7版本妮塔入队剧情
page1.37	H主角		然后呢？意外是什么？	0	2.7版本妮塔入队剧情
page1.38	T妮塔		嗯……没想好，不过演着演着，接下来的故事不就有了？	0	2.7版本妮塔入队剧情
page1.39	H主角		脱离剧本的自由演绎吗？听上去倒是很符合电影学里一些冷门的理论。	0	2.7版本妮塔入队剧情
page1.40	T妮塔		嘿嘿~管它什么理论，《超能战士》正式开机！	0	2.7版本妮塔入队剧情
