字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H妮塔		分……分析员……	0	2.7版本妮塔入队剧情
page1.2	H主角		怎么说话都结巴起来了？	0	2.7版本妮塔入队剧情
page1.3	H妮塔		我看到了……就是……	0	2.7版本妮塔入队剧情
page1.4	H主角		你想说我把你照片设成头像那事儿？	0	2.7版本妮塔入队剧情
page1.5	H妮塔		对啊……分析员的行为，很奇怪啊！	0	2.7版本妮塔入队剧情
page1.6	H主角		哪里奇怪了？想让你感受到我满满的爱，有问题吗？	0	2.7版本妮塔入队剧情
page1.7	H妮塔		呜啊！这也太直接了。	0	2.7版本妮塔入队剧情
page1.8			内心慌乱间，妮塔抬起双手，盖住了自己发烫的脸颊。	0	2.7版本妮塔入队剧情
page1.9			透过指缝，她偷偷地观察着我的反应，却又在四目相对的瞬间迅速移开视线。	0	2.7版本妮塔入队剧情
page1.10			这幅使劲克制心中翻涌情绪的样子，倒有点不像平时大大咧咧的她了。	0	2.7版本妮塔入队剧情
page1.11	H主角		可能是被你感染了吧，我觉得我也该更直来直往些。	0	2.7版本妮塔入队剧情
page1.12	H主角		虽然是双向奔赴的恋人，但我承认，一直是妮塔走向我的步数更多。	0	2.7版本妮塔入队剧情
page1.13	H主角		光是目光为你停留片刻，都能让你的心跳达到理论值……	0	2.7版本妮塔入队剧情
page1.14	H主角		但感情这事儿，总得两人不断地相互靠近，对吧？	0	2.7版本妮塔入队剧情
page1.15	H主角		所以这次，就让我多踏出几步，多爱你一点吧。	0	2.7版本妮塔入队剧情
page1.16	H妮塔		我从来没觉得奔向分析员是很辛苦的事情，反倒是分析员为我做这么多……	0	2.7版本妮塔入队剧情
page1.17	H妮塔		心里都觉得有点惭愧了……	0	2.7版本妮塔入队剧情
page1.18	H主角		妮塔只要拿出“大胆接受”的平常心就好了，如果觉得开心，就大大方方地告诉我。	0	2.7版本妮塔入队剧情
page1.19	H妮塔		我现在已经超级开心，超级幸福了！	0	2.7版本妮塔入队剧情
page1.20	H主角		别那么容易满足，我的正式行动还没开始呢。	0	2.7版本妮塔入队剧情
page1.21	H妮塔		还……还有行动吗？	0	2.7版本妮塔入队剧情
page1.22	H主角		妮塔……可以把那些我忽略的思念、关心都说给我听吗？	0	2.7版本妮塔入队剧情
page1.23	H主角		我想知道，然后<orange>回馈给我的恋人同样的爱。</>	0	2.7版本妮塔入队剧情
page1.24			红晕从她的脸颊泛起，又从颧骨蔓延到耳根。	0	2.7版本妮塔入队剧情
page1.25			但妮塔却浑然不觉，只是呆呆的，像座雕塑。	0	2.7版本妮塔入队剧情
page1.26			时间的流动在她身上仿佛变得缓慢而粘稠。	0	2.7版本妮塔入队剧情
page1.27	H妮塔		突然这么说，我有点想不起来。现在感觉晕乎乎的，好像飘在空中一样。	0	2.7版本妮塔入队剧情
page1.28	H主角		没关系，慢慢来吧。	0	2.7版本妮塔入队剧情
page1.29	H妮塔		见不到分析员的时候……每天最值得期待的事，就是收到分析员的信。	0	2.7版本妮塔入队剧情
page1.30	H妮塔		看见分析员在信里说，去了哪些地方，吃了什么好吃的，我就会开心地好像我也跟着去了一样。	0	2.7版本妮塔入队剧情
page1.31	H妮塔		如果分析员提到一些危险，又好几天不再来信……那几个晚上，我基本很难睡着。	0	2.7版本妮塔入队剧情
page1.32	H妮塔		但又怕别人看到我的黑眼圈，所以只能待在房间里。	0	2.7版本妮塔入队剧情
page1.33	H妮塔		偶尔我也会翻出分析员以前寄给我的信，<orange>反反复复读上好几遍。</>	0	2.7版本妮塔入队剧情
page1.34	H妮塔		等回过神来才发现，哎，怎么<orange>时间已经过去这么久了？</>	0	2.7版本妮塔入队剧情
page1.35			妮塔絮絮叨叨说了很久，也在此刻我才意识到……	0	2.7版本妮塔入队剧情
page1.36			原来我被一团那么浓重却不显眼的爱意，包围了那么久。	0	2.7版本妮塔入队剧情
page1.37	H妮塔		分析员，虽然你一直说我很坦率，但我觉得干这些事挺傻的……	0	2.7版本妮塔入队剧情
page1.38	H妮塔		如果你今天不问，我大概，嘿，就一辈子埋心里啦。	0	2.7版本妮塔入队剧情
page1.39			还好，我问出了这个问题。	0	2.7版本妮塔入队剧情
page1.40			看似大大咧咧，实际小心翼翼珍视着我的少女……	0	2.7版本妮塔入队剧情
page1.41			她的心意，终于得见天光。	0	2.7版本妮塔入队剧情
