字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1			星祈节马上就要到了，星祈树的布置也临近尾声。	0	3.4版本星祈心愿宿舍剧情
page1.2			分别向卡罗琳和露娜确认了庆典筹备一切顺利后，我朝着人造海滩走去。	0	3.4版本星祈心愿宿舍剧情
page1.3	H芬妮		达令~！	0	3.4版本星祈心愿宿舍剧情
page1.4			果然，少女们已经等待多时了。	0	3.4版本星祈心愿宿舍剧情
page1.5	H芬妮		这几天辛苦啦，你布置星祈树的样子，本小姐一直看在眼里哦。	0	3.4版本星祈心愿宿舍剧情
page1.6	H薇蒂雅		我不只看了，还把分析员大人的英姿都记下来了！	0	3.4版本星祈心愿宿舍剧情
page1.7	H瑟瑞斯		我也有把分析员的声音录下来！	0	3.4版本星祈心愿宿舍剧情
page1.8	H主角		虽然不知道什么时候被跟踪了……不过我的确感受到你们的爱了。	0	3.4版本星祈心愿宿舍剧情
page1.9	H瑟瑞斯		嘿嘿，之前大家就约好了，要帮分析员一起布置星祈树。	0	3.4版本星祈心愿宿舍剧情
page1.10	H薇蒂雅		本来我们是打算让分析员在公司里找一找藏起来的礼物……	0	3.4版本星祈心愿宿舍剧情
page1.11	H薇蒂雅		但芬妮说，分析员已经够辛苦了，应该为分析员减轻一些负担。	0	3.4版本星祈心愿宿舍剧情
page1.12	H瑟瑞斯		所以说，我们把藏礼物的地方选在了海滩。	0	3.4版本星祈心愿宿舍剧情
page1.13	H瑟瑞斯		这样分析员找起来就会容易一些了吧。	0	3.4版本星祈心愿宿舍剧情
page1.14	H主角		不能直接把礼物给我吗？	0	3.4版本星祈心愿宿舍剧情
page1.15	H芬妮		虽然我也很想直接给达令礼物，但大家约定过，必须要有藏礼物的环节。	0	3.4版本星祈心愿宿舍剧情
page1.16	H芬妮		这是仪式感的一部分。	0	3.4版本星祈心愿宿舍剧情
page1.17	H主角		真拿你们没办法，那我现在就去找吧。	0	3.4版本星祈心愿宿舍剧情
page1.18	H薇蒂雅		分析员大人，加油！	0	3.4版本星祈心愿宿舍剧情
