字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H安卡希雅		我现在要把一份重要的力量交给亲爱的——	0	3.5版本多诺巅峰对决剧情
page1.2	H主角		什么东西？	0	3.5版本多诺巅峰对决剧情
page1.3	H安卡希雅		这可是能在多诺对决中搅弄风云超强力技能！我把这个技能命名为<orange>食指技</>。	0	3.5版本多诺巅峰对决剧情
page1.4	H主角		这是令人意外的朴素呢……	0	3.5版本多诺巅峰对决剧情
page1.5	H安卡希雅		名字朴素点没事，技能好用就行了。这可是能在关键时刻有机会扭转战局的重要技能。	0	3.5版本多诺巅峰对决剧情
page1.6	H主角		我该怎么使用呢？	0	3.5版本多诺巅峰对决剧情
page1.7	H安卡希雅		只要亲爱的在对决中，饱含信念感大喊出食指技的名字，然后再按下技能的按钮，就有机会扭转战局！	0	3.5版本多诺巅峰对决剧情
page1.8	H主角		信念感和大喊有必要吗？！	0	3.5版本多诺巅峰对决剧情
page1.9	H安卡希雅		很重要。	0	3.5版本多诺巅峰对决剧情
page1.10	H主角		不会是只需要按技能按钮吧？	0	3.5版本多诺巅峰对决剧情
page1.11	H安卡希雅		嘻嘻。	0	3.5版本多诺巅峰对决剧情
page1.12			少女小手握拳佯装敲着自己的额头，吐出粉粉的舌头尖，对我做了个可爱的鬼脸。	0	3.5版本多诺巅峰对决剧情
