字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	旁白		看着茉莉安熟练地收集卡牌，细致地养成卡牌，合理使用它们的连携效果。	0	3.5版本多诺巅峰对决剧情
page1.2	旁白		她的面色平静，丝毫没有被对决的局势所影响。	0	3.5版本多诺巅峰对决剧情
page1.3	旁白		虽然是在玩游戏，但她专注的态度比起平时执行任务时也丝毫不差……	0	3.5版本多诺巅峰对决剧情
page1.4	H主角		茉莉安很厉害呢。	0	3.5版本多诺巅峰对决剧情
page1.5	H茉莉安		呵呵~但还是输给亲爱的了呢。	0	3.5版本多诺巅峰对决剧情
page1.6	H主角		也许因为你的多诺卡比较少，还没有组成合适的牌组吧。	0	3.5版本多诺巅峰对决剧情
page1.7	H茉莉安		相比摆弄那些卡片，我更喜欢被亲爱的摆弄呢~	0	3.5版本多诺巅峰对决剧情
page1.8	H主角		茉莉安真是贪心呀。	0	3.5版本多诺巅峰对决剧情
page1.9	H茉莉安		那亲爱的，喜不喜欢这样贪心的我呢？	0	3.5版本多诺巅峰对决剧情
page1.10			我以一吻回应了茉莉安。	0	3.5版本多诺巅峰对决剧情
