字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	//备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H安卡希雅		金光闪闪……所向无敌……	0	3.5版本多诺巅峰对决剧情
page1.2	H安卡希雅		原来这张卡这么厉害啊。	0	3.5版本多诺巅峰对决剧情
page1.3	旁白		安卡希雅惊讶地一直张着小嘴巴，反复确认多诺卡上的信息是否出错。	0	3.5版本多诺巅峰对决剧情
page1.4	旁白		但下一秒，她突然转过来再次捧住我的脸，用超级认真的语气向我询问。	0	3.5版本多诺巅峰对决剧情
page1.5	H安卡希雅		亲爱的，你会不会真的有火眼金睛？	0	3.5版本多诺巅峰对决剧情
page1.6	H主角		那已经是特异功能了。	0	3.5版本多诺巅峰对决剧情
page1.7	H主角		但如果你是在夸我眼光好的话，我就不谦虚了。	0	3.5版本多诺巅峰对决剧情
page1.8	H安卡希雅		是啊，亲爱的总是能发掘很厉害的人才。	0	3.5版本多诺巅峰对决剧情
page1.9	H安卡希雅		糟糕……	0	3.5版本多诺巅峰对决剧情
page1.10	H主角		嗯？这是好事吧？	0	3.5版本多诺巅峰对决剧情
page1.11	H安卡希雅		安卡希雅，危机感上升中——	0	3.5版本多诺巅峰对决剧情
