字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
hi01.1	O卡罗琳		看你忙挺久了，别太压榨自己，在营地多休息一会也没关系的。	0	
choice.01			谢谢，你也辛苦了	0	
choice.02			这里问题还没解决	0	
page01.1	O卡罗琳		要是真关心我，就别随随便便在零区内失联。	0	
page02.1	O卡罗琳		你老是这样说，但事情哪有能做完的时候。	0	
					
hi02.1	O卡罗琳		这次任务太紧急，我都没来得及带上电热水壶，好累……	0	
choice.03			我带了，待会给你	0	
choice.04			保温杯代替一下？	0	
page03.1	O卡罗琳		嗯嗯？！你怎么会随身带这个！	0	
page04.1	O卡罗琳		不可能的，我不接受。	0	
					
hi03.1	O卡罗琳		这次出了这么大的事，公司内估计乱成一团了吧。	0	
choice.05			陶总能解决的	0	
choice.06			这边也得加快了	0	
page05.1	O卡罗琳		也是，老板应该早有准备。	0	
page06.1	O卡罗琳		知道了，工作狂。	0	
					
hi04.1	O卡罗琳		欢迎回来，是要先吃饭，先洗澡，还是先交接任务？	0	
choice.07			事已至此先吃饭吧	0	
choice.08			没有隐藏选项吗？	0	
page07.1	O卡罗琳		今天的午餐是——锵锵，任选18种口味的压缩饼干。	0	
page08.1	O卡罗琳		你要是想再义务加班几个小时，我也没意见。	0	
					
hi05.1	O卡罗琳		我一直很在意一件事情。	0	
hi05.2	O卡罗琳		那个男人……威尔·安德森，他真的消失了吗？	0	
hi05.3	O卡罗琳		唉，总感觉无法理解他们存在的方式。	0	
choice.09			他确实不复存在了	0	
choice.10			他仍有归来的可能	0	
choice.11			威尔？	0	
page09.1	O卡罗琳		这样最好，那这片街区还有恢复的可能性。	0	
page10.1	O卡罗琳		也许吧，那我希望是很久很久以后。	0	
page11.1	O卡罗琳		喂！你不会已经忘记了吧。	0	
