字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1			应邀，来到了里芙的住处。	0	
page1.2	Q狂猎		playername，我学到了一个可以帮你迅速入眠的妙招。	0	
page1.3	Q狂猎		你背对着坐到我前面。然后躺下。	0	
page1.4			里芙用双手托住我的头，缓缓向下放，接着我的后脑感受到充满弹性而不失柔软的挤压感。	0	
page1.5	Q分析员		啊……这不是！	0	
page1.6	Q分析员		你从哪儿学到的这些啊……	0	
page1.7	Q狂猎		那位升格体偶像发给我的《心动花招指南》。	0	
page1.8	Q分析员		居然还有这种东西……这还怎么入眠啊……	0	
page1.9	Q狂猎		稍等一下。	0	
page1.10			她微凉的手指爬上我的太阳穴，凉意倒是让紧张瞬时消散。	0	
page1.11	Q狂猎		我会稍微用些力气。这样呢……	0	
page1.12	Q分析员		很舒服。	0	
page1.13	Q狂猎		分析员，能与你有这样一段不被打扰的独处时光，我真的很开心。	0	
page1.14	Q狂猎		考虑着去哪里约会，约会的时候做点什么，就像一对普通的情侣。	0	
page1.15	Q狂猎		虽然我知道分析员不是沉迷温柔乡的人，这里只是暂时的休憩。	0	
page1.16	Q狂猎		只是人如果绷太紧就会断掉，这种休憩能帮我们恢复弹性，这点还是分析员教会我的。	0	
page1.17	Q分析员		弹性？哈——就像膝枕吗？	0	
page1.18			从这个视角看不见里芙的脸，却能感觉到她笑了。	0	
page1.19	Q狂猎		就像膝枕。	0	
page1.20	Q狂猎		当然，恢复弹性的方式还有别的。	0	
page1.21	Q狂猎		需要你来教我。	0	
page1.22			门外传来一阵急促的敲门声。	0	
page1.23	Q分析员		是你叫了客房服务吗？	0	
page1.24	Q狂猎		不用理，我们继续研究……	0	
