字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page0.1	Q雨燕		说起来，这次烟花表演有几个特点我有点在意……	0	
page0.2			“砰！——砰！——”	0	
page0.3	Q雨燕		唔！	0	
choice01			安抚她，摸摸她的头	0	
page1.1	Q雨燕		呼……我说得太入迷，都没发现烟花表演已经开始了	0	
page1.2	Q分析员		没关系，不怕不怕。	0	
page1.3	Q雨燕		呵呵…分析员在哄我呢~	0	
page1.4	Q雨燕		想赖在这片温柔上，再多感受一会儿。	0	
choice02			保护她，环住她的肩	0	
page2.1	Q分析员		没关系，现在安全了，你可以继续讲。	0	
page2.2	Q雨燕		啊……呼啊……呼啊……	0	
page2.3	Q分析员		被第一声烟花的动静吓到了吧？	0	
page2.4	Q雨燕		呼……分析员，你抱得好紧……	0	
page2.5	Q雨燕		好像这样……心跳突然更快了。	0	
