Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	待机	sequence	girl015_01_house_stand01	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_stand01.girl015_01_house_stand01'	
2	讲述	sequence	girl015_01_house_talk01	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_talk01.girl015_01_house_talk01'	
3	感谢	sequence	girl015_01_house_thank01	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_thank01.girl015_01_house_thank01'	
4	沙发坐	sequence	girl015_01_house_sofa_sit01	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_sofa_sit01.girl015_01_house_sofa_sit01'	
5	吧台坐	sequence	girl015_01_house_stool_sit01	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_stool_sit01.girl015_01_house_stool_sit01'	
6	惊讶	sequence	girl015_01_house_dialogue_amaze	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_amaze.girl015_01_house_dialogue_amaze'	
7	积极	sequence	girl015_01_house_dialogue_satisfy	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_satisfy.girl015_01_house_dialogue_satisfy'	
8	消极	sequence	girl015_01_house_dialogue_depressed	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_depressed.girl015_01_house_dialogue_depressed'	
9	打招呼	sequence	girl015_01_house_dialogue_greet	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_greet.girl015_01_house_dialogue_greet'	
10	噤声	sequence	girl015_01_house_dialogue_nospeak	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_nospeak.girl015_01_house_dialogue_nospeak'	
11	吧台坐-前	sequence	girl015_01_house_dialogue_barsit01_start	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_barsit01_start.girl015_01_house_dialogue_barsit01_start'	
12	吧台坐-循环	sequence	girl015_01_house_dialogue_barsit01_loop	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_barsit01_loop.girl015_01_house_dialogue_barsit01_loop'	
13	吧台坐-后	sequence	girl015_01_house_dialogue_barsit01_end	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_barsit01_end.girl015_01_house_dialogue_barsit01_end'	
14	抱胸-前	sequence	girl015_01_house_dialogue_armshug_start	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_armshug_start.girl015_01_house_dialogue_armshug_start'	
15	抱胸-循环	sequence	girl015_01_house_dialogue_armshug_loop	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_armshug_loop.girl015_01_house_dialogue_armshug_loop'	
16	抱胸-后	sequence	girl015_01_house_dialogue_armshug_end	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_armshug_end.girl015_01_house_dialogue_armshug_end'	
17	思考-前	sequence	girl015_01_house_dialogue_think_start	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_think_start.girl015_01_house_dialogue_think_start'	
18	思考-循环	sequence	girl015_01_house_dialogue_think_loop	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_think_loop.girl015_01_house_dialogue_think_loop'	
19	思考-后	sequence	girl015_01_house_dialogue_think_end	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_think_end.girl015_01_house_dialogue_think_end'	
20	肯定	sequence	girl015_01_house_dialogue_sure	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_sure.girl015_01_house_dialogue_sure'	
21	否定	sequence	girl015_01_house_dialogue_deny	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_deny.girl015_01_house_dialogue_deny'	
					
					
					
97	左转	sequence	girl015_01_house_dialogue_turn_L	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_turn_L.girl015_01_house_dialogue_turn_L'	
98	右转	sequence	girl015_01_house_dialogue_turn_R	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_turn_R.girl015_01_house_dialogue_turn_R'	
99	呼吸叠加素材	sequence	girl015_01_house_dialogue_Tpose	AnimSequence'/Game/Characters/Girl/girl015_01/Anim/house/girl015_01_house_dialogue_Tpose.girl015_01_house_dialogue_Tpose'	
100	一次吧台喝水	custom_seq	11;12;13		
101	一次抱胸	custom_seq	14;15;16		
102	一次思考	custom_seq	17;18;19		
103	一次喝水循环	custom_loop_last	11;12		
104	抱胸循环	custom_loop_last	14;15		
105	思考循环	custom_loop_last	17;18		
