Id,不能变	说明	动画类型	动画名	路径	注释
Id	Explain	Type	Name	Path	Nul
1	正常	sequence	girl014_01_house_dialogue_stand01	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_stand01.girl014_01_house_dialogue_stand01'	
2	微笑	sequence	girl014_01_house_dialogue_smile01	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_smile01.girl014_01_house_dialogue_smile01'	
3	开心	sequence	girl014_01_house_dialogue_happy01	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_happy01.girl014_01_house_dialogue_happy01'	
4	疑问	sequence	girl014_01_house_dialogue_doubt01	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_doubt01.girl014_01_house_dialogue_doubt01'	
5	严肃	sequence	girl014_01_house_dialogue_serious01	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_serious01.girl014_01_house_dialogue_serious01'	
6	生气	sequence	girl014_01_house_dialogue_angry01	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_angry01.girl014_01_house_dialogue_angry01'	
7	委屈	sequence	girl014_01_house_dialogue_complain01	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_complain01.girl014_01_house_dialogue_complain01'	
8	闭眼睡觉	sequence	girl014_01_house_dialogue_rest_idle01	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_rest_idle01.girl014_01_house_dialogue_rest_idle01'	
9	看书（动作套）	sequence	girl014_01_house_dialogue_reading	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_reading.girl014_01_house_dialogue_reading'	
10	惊讶（动作套）	sequence	girl014_01_house_dialogue_amaze	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_amaze.girl014_01_house_dialogue_amaze'	
11	抚发（动作套）	sequence	girl014_01_house_dialogue_touch	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_touch.girl014_01_house_dialogue_touch'	
12	测试	sequence	girl014_01_house_dialogue_talk01	AnimSequence'/Game/Cinematics/house/hotspring_open/Anim/AnimPart00/girl014_01_house_hotspring_open01.girl014_01_house_hotspring_open01'	
					
					
100	说话	sequence	girl014_01_house_dialogue_talk01	AnimSequence'/Game/Characters/Girl/girl014_01/AnimPart00/girl014_01_house_dialogue_talk01.girl014_01_house_dialogue_talk01'	
