角色ID	动作的序列ID	注释	按部位分组 不配为1（1空白 2手 3腿 4肚子 5头 6脖子 7胸部 8裙子 排序号越大层级越高）	动作间隔	是否为特殊对话（默认不填，开启填1）	开启时间	结束时间
RoleID	AnimID	Comment	Group	Interval	Special	StartTime	EndTime
1001	10013	安卡希雅					
1101	11013	安卡希雅·辉夜					
110101	12013	安卡希雅·辉夜_次元追忆					
1002	10023	里芙					
1102	11023	里芙·狂猎					
111401	12023	里芙·狂猎_朝夕					
1003	10033	妮塔					
1103	11033	妮塔·悸响					
110302	11033	妮塔·悸响精灵皮					
110303	11033	妮塔·悸响舞娘皮					
1004	10043	芙提雅·缄默					
100401	12043	芙提雅消防员					
1104	11043	芙提雅·缄默					
110401	22043	芙提雅·缄默_行急脱兔					
110402	32043	芙提雅·缄默_芭蕾舞皮					
1304	13043	芙提雅换装3					
130402	13043	芙提雅换装3齐胸襦裙					
1005	10053	茉莉安					
1105	11053	茉莉安·雨燕					
110503	11053	茉莉安·雨燕晚会皮					
1205	12053	茉莉安幽潮					
120502	12053	茉莉安幽潮泳装皮					
120503	12053	茉莉安兔娘					
1006	10063	晴_登录					
100602	10063	晴战损					
1106	11063	晴·藏锋					
110601	12063	晴·藏锋_四星皮					
1007	10073	琴诺					
1008	10083	芬妮					
1108	11083	芬妮·咎冠					
1010	10103	肴_登录					
101001	12103	肴OL皮					
1110	11103	肴·冬至					
111004	11103	肴·冬至女仆					
1011	10113	恩雅					
101103	10113	恩雅战损					
1012	10123	猫汐尔					
101201	12123	猫汐尔木乃伊皮					
1112	11123	猫汐尔SSR					
1212	12123	猫汐尔换装2					
121202	12123	猫汐尔换装2修女					
1013	10133	瑟瑞斯					
1014	10143	辰星					
1114	11143	姬辰星·云篆					
111401	12143	姬辰星·云篆泳装皮					
111404	12143	姬辰星·云篆泳装皮					
1017	10173	苔丝					
101701	11173	苔丝·流放欢愉					
1117	11173	苔丝换装1					
111702	11173	苔丝换装1恒约					
1015	10153	凯茜娅					
101501	10153	凯茜娅舞会皮					
101504	10153	凯茜娅OL皮					
1115	11153	凯茜娅朝翼					
111501	11153	凯茜娅朝翼泳装					
111504	11153	凯茜娅朝翼旗袍					
1215	12153	凯茜娅换装2					
121502	12153	凯茜娅换装2恒约					
1016	10163	伊切尔					
101601	11163	伊切尔学生皮					
1111	11113	恩雅·羽蜕					
111103	11113	恩雅·羽蜕泳装					
1211	12113	恩雅幻魇					
121101	12113	恩雅幻魇修女					
121102	12113	恩雅澜风女仆皮					
1107	11073	琴诺·悖谬					
1113	11133	瑟瑞斯·瞬刻					
111302	11133	瑟瑞斯·瞬刻·皮肤					
1202	12023	里芙·新换装					
120202	12023	里芙·新换装恒约皮					
1208	12083	芬妮·新换装					
120802	12083	芬妮·新换装恒约皮					
1018	10183	龙舌兰					
101802	10183	龙舌兰5星皮					
1118	11183	薇蒂雅天鹅座					
111802	11183	薇蒂雅天鹅座空姐皮					
111803	11183	薇蒂雅天鹅座泳装					
101803	10183	薇蒂雅舞娘					
1204	12043	芙提雅新换装					
120402	12043	芙提雅新换装睡衣皮					
120404	12043	芙提雅新换装死库水					
1020	10203	卜卜					
102002	10203	卜卜护士皮					
102003	10203	卜卜兔女郎					
1120	11203	卜卜换装1					
112002	11203	卜卜换装1魔法少女					
1214	12143	辰星新换装					
121402	12143	辰星恒约					
121403	12143	辰星公主皮					
1210	12103	肴新换装					
121002	12103	肴恒约					
121003	12103	肴夜天光女骑士					
1021	10213	奈莉德					
102102	10213	奈莉德军装					
102103	10213	奈莉德泳装					
1022	10223	克罗瑞娜					
102202	10223	克罗瑞娜天使皮					
1308	13083	芬妮换装3					
130802	13083	芬妮换装3泳装					
130803	13083	芬妮换装3圣诞					
1213	12133	瑟瑞斯换装2					
121302	12133	瑟瑞斯换装2泳装					
1023	10233	米娅原皮					
102302	10233	米娅性感胶衣					
1206	12063	晴换装02					
120602	12063	晴换装02巫女					
120603	12063	晴换装02仙侠					
121503	12153	凯茜娅换装2魅魔					
100102	10013	安卡希雅_叶荫闲趣					
1201	12013	安卡希雅换装02					
120102	12013	安卡希雅换装02花嫁					
1305	13053	茉莉安换装03					
130502	13053	茉莉安换装03花嫁					
121303	12133	瑟瑞斯换装2汉服					
102303	10233	米娅旗袍					
101003	10103	肴工作宗旨重置					
1024	10243	胧嫣					
102402	10243	胧嫣礼服皮					
1302	13023	里芙换装3					
130202	13023	里芙换装3-情趣花嫁					
1310	13103	肴换装3					
131002	13103	肴换装3-情趣花嫁					
130503	13053	茉莉安-情趣警官服					
112003	11203	卜卜-国风厨娘					
101204	10123	猫汐尔魂灵缚痕重置					
