唯一ID，大于等于100时为现金	类名，用于记录日志和获取名字等	//备注	名称	描述	使用	扣除失败时的提示	最大持有量【不填=最高上限99999999】	版本号，升级时清空持有量	图标	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	道具ID
ID	Type	Null	Name	Desc	Use	MsgOnCostFailed	MaxHave	Version	Icon	Color	GDPL
100	CNY	人民币									
1	MONEY	比特金	ui.money	supplies.paycurr1_des	supplies.paycurr1_use				1600001	5	
2	GOLD	数据金	ui.gold	supplies.freecurr_des	supplies.freecurr_use				1600002	5	4,3,2,1
3	SILVER	通用银	ui.silver	ui.silver_des	ui.silver				1600003	3	4,3,1,1
4	VIGOR	体力	ui.vigor	ui.vigor_des	ui.vigor		9999		1600004	5	
5	TOKEN	雪之形	supplies.NumansToken	supplies.NumansToken_des	supplies.NumansToken_use				1600005	4	
6	COIN	开放世界代币							1600006	5	
7	FRAGMENT	记忆嵌片	supplies.memento	supplies.memento_des	supplies.memento_use				1600007	4	
8	GOLD	数据金(付费，仅记录不使用)	ui.gold	supplies.freecurr_des	supplies.freecurr_use				1600002	5	
9	ROGUE	肉鸽活动代币	supplies.dlc103	supplies.dlc103_des	supplies.dlc103_use				1600008	4	4,1,6,1
10	DLCTOKEN1	先驱铭牌	supplies.dlc2.token1	supplies.dlc2.token1_des	supplies.dlc2.token1_use				1510106	5	4,1,6,2
11	DLCTOKEN2	激励点数	supplies.dlc2.token2	supplies.dlc2.token2_des	supplies.dlc2.token2_use				1510103	4	4,1,6,3
12	REPRESSSION	通行密钥	supplies.dlc2.token3	supplies.dlc2.token3_des	supplies.dlc2.token3_use				1600011	4	4,1,6,4
13	OPPTICKET	奥普奖券	supplies.OppTicket	supplies.OppTicket_des	supplies.OppTicket_use				1600012	5	4,1,6,5
14	RUBYTICKET	卢槟奖券	supplies.RubyTicket	supplies.RubyTicket_des	supplies.RubyTicket_use				1600012	5	4,1,6,6
15	ONLINETICKET1	联机勇者游戏门票	supplies.OnlineTicket1	supplies.OnlineTicket1_des	supplies.OnlineTicket1_use				1600013	5	4,1,8,1
16	DLC3COIN1	翠星宝螺（dlc3货币）	supplies.dlc3coin1	supplies.dlc3coin1_des	supplies.dlc3coin1_use				1600014	4	4,1,10,1
17	DLC3COIN2	炎阳珍珠（乱战宝礁货币1）	supplies.dlc3coin2	supplies.dlc3coin2_des	supplies.dlc3coin2_use				1600015	4	4,1,11,1
18	DLC3COIN3	雪风珍珠（乱战宝礁货币2）	supplies.dlc3coin3	supplies.dlc3coin3_des	supplies.dlc3coin3_use				1600016	4	4,1,12,1
19	DLC3COIN4	鸣雷珍珠（乱战宝礁货币3）	supplies.dlc3coin4	supplies.dlc3coin4_des	supplies.dlc3coin4_use				1600017	4	4,1,13,1
20	DLC3COIN5	辉月珍珠（乱战宝礁货币4）	supplies.dlc3coin5	supplies.dlc3coin5_des	supplies.dlc3coin5_use				1600018	4	4,1,14,1
