ID	备注	定义（11=后勤 12=角色 13=武器 14=武器配件 15=道具 16=货币）	Logo	大图200*200	道具130*130	货币50*50
ID	Comment	Define	Logo	P2	P3	P10
1600001	比特金	16		110000400	110000401	110000402
1600002	数据金	16		110000300	110000301	110000302
1600003	通用银	16		110000200	110000201	110000202
1600004	体力	16		110000500	110000501	110000502
1600005	雪之形	16		110005700	110005701	110005702
1600006	开放世界代币（临时）	16		110005700	110005701	110005702
1600007	记忆嵌片	16		110000600	110000601	110000602
1600008	青蓝之羽	16		110006001	110006002	110006003
1600009	先驱铭牌	16		110006502	110006501	110006503
1600010	样本晶骸	16		110006602	110006601	110006603
1600011	通行密钥	16		110006402	110006401	110006403
1600012	奥普奖券	16		110006802	110006801	110006803
1600013	朔月令（联机门票）	16		110007402	110007401	110007403
1600014	翠星宝螺（dlc3货币）	16		110400041	110400040	110400042
1600015	炎阳珍珠（乱战宝礁货币1）	16		110400141	110400140	110400142
1600016	雪风珍珠（乱战宝礁货币2）	16		110400151	110400150	110400152
1600017	鸣雷珍珠（乱战宝礁货币3）	16		110400161	110400160	110400162
1600018	辉月珍珠（乱战宝礁货币4）	16		110400171	110400170	110400172
1600019	凛冬珍珠（乱战宝礁货币5）	16		110400181	110400180	110400182
1600020	碧月星壳（dlc3高级货币）	16		110400341	110400340	110400342
1600021	刷新道具（新星开拓）	16		110009302	110009301	110009303
1600022	超元链接代币	16		110012202	110012201	110012203
1510117	乱战入场劵（乱战宝礁门票）	16		110400191	110400190	110400192
1510118	翠星助力劵（乱战宝礁抽奖卷）	16		110400201	110400200	110400202
1520072	思维译码·荣耀	16		1001194	1001193	1001192
1520073	思维译码·温柔	16		1001197	1001196	1001195
1520074	思维译码·正义	16		1001200	1001199	1001198
1520075	思维译码·纯净	16		1001203	1001202	1001201
1520076	思维译码·无畏	16		1001206	1001205	1001204
1520077	思维译码·智慧	16		1001209	1001208	1001207
1520078	思维译码·勇气	16		1001212	1001211	1001210
1520079	万能思维译码	16		1001262	1001261	1001260
1520104	战场经验（悖论迷宫积分挑战模式增益解锁货币）	16		110010392	110010391	110010393
1521001	悖论迷宫经验点数	16		110008102	110008101	110008103
1521002	悖论迷宫科技点	16		110008002	110008001	110008003
1521003	悖论迷宫局内货币	16		110008202	110008201	110008203
1521004	悖论迷宫抽奖券	16		110009602	110009601	110009603
1521005	悖论迷宫赛季货币	16		110009702	110009701	110009703
1521007	普通鱼饵（新星开拓）	16		110400641	110400640	110400642
1522002	古代遗物	16		110010332	110010331	110010333
1522003	生命之水	16		110010342	110010341	110010343
1522007	背包肉鸽钥匙	16		110010652	110010651	110010653
1522014	星祈心愿活动代币	16		1603038	1603037	1603039
1523001	纷愿绮梦天赋点	16		110010682	110010681	110010683
1524001	异星功勋	16		110010802	110010801	110010803
1525001	蔬菜大战僵尸营养剂	16		110010922	110010921	110010923
1526001	激浪联航代币	16		110011342	110011341	110011343
1526002	激浪联航模组exp	16		110011352	110011351	110011353
1526003	进击行动代币	16		110011782	110011781	110011783
1526004	进击行动BP经验	16		110011792	110011791	110011793
1527001	装甲战骑货币	16		110012192	110012191	110012193
1527002	装甲战骑赛季货币	16		110012182	110012181	110012183
1527003	装甲战骑局内货币	16		110012182	110012181	110012183
