ID	活动名称	玩法描述	活动开启时间	活动关闭时间	奖励结算时间	任务ID 对应activity_quest.txt	对应boss.txt中的ID								BUFFid																																																																															
ID	Name	Desc	StartTime	EndTime	RewardTime	tbTaskID	Boss1	Boss2	Boss3	Boss4	Boss5	Boss6	Boss7	Boss8	tbBuffID1	tbBuffID2	tbBuffID3	tbBuffID4	tbBuffID5	tbBuffID6	tbBuffID7	tbBuffID8	Boss9	tbBuffID9	Boss10	tbBuffID10	Boss11	tbBuffID11	Boss12	tbBuffID12	Boss13	tbBuffID13	Boss14	tbBuffID14	Boss15	tbBuffID15	Boss16	tbBuffID16	Boss17	tbBuffID17	Boss18	tbBuffID18	Boss19	tbBuffID19	Boss20	tbBuffID20	Boss21	tbBuffID21	Boss22	tbBuffID22	Boss23	tbBuffID23	Boss24	tbBuffID24	Boss25	tbBuffID25	Boss26	tbBuffID26	Boss27	tbBuffID27	Boss28	tbBuffID28	Boss29	tbBuffID29	Boss30	tbBuffID30	Boss31	tbBuffID31	Boss32	tbBuffID32	Boss33	tbBuffID33	Boss34	tbBuffID34	Boss35	tbBuffID35	Boss36	tbBuffID36	Boss37	tbBuffID37	Boss38	tbBuffID38	Boss39	tbBuffID39	Boss40	tbBuffID40	Boss41	tbBuffID41	Boss42	tbBuffID42	Boss43	tbBuffID43	Boss44	tbBuffID44
1	bossentries.Name1	Desc1	[202307171000]	[202311050400]	[202311140400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	259	219	9	8	4	6	18	11	{8230006}	{8230006}	{8230006}	{8230006}	{8230006}	{8230006}	{8230006}	{8230006}	12	{8230006}	15	{8230006}	2	{8230006}	22	{8230006}	14	{8230006}	46	{8230006}	61	{8230006}	59	{8230006}	84	{8230006}	69	{8230006}	68	{8230006}	78	{8230006}	95	{8230006}	118	{8230006}	136	{8230006}	116	{8230006}	105	{8230006}	134	{8230006}	133	{8230006}	124	{8230006}	110	{8230006}	120	{8230006}	132	{8230006}	97	{8230006}	154	{8230006}	146	{8230006}	166	{8230006}	184	{8230006}	187	{8230006}	195	{8230006}	200	{8230006}	196	{8230006}	218	{8230006}	224	{8230006}	236	{8230006}	247	{8230006}
2	bossentries.Name1	Desc1	[202311061000]	[202311130400]	[202311140400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	1	2							{8230001}	{8230001}																																																																														
3	bossentries.Name1	Desc1	[202311141000]	[202311200400]	[202311210400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	3	4							{8230003}	{8230003}																																																																														
4	bossentries.Name1	Desc1	[202311211000]	[202311270400]	[202311280400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	5	6							{8230021}	{8230021}																																																																														
5	bossentries.Name1	Desc1	[202311281000]	[202312040400]	[202312050400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	7	8							{8230022}	{8230022}																																																																														
6	bossentries.Name1	Desc1	[202312051000]	[202312110400]	[202312120400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	9	10							{8230006}	{8230006}																																																																														
7	bossentries.Name1	Desc1	[202312121000]	[202312180400]	[202312190400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	11	12							{8230019}	{8230019}																																																																														
8	bossentries.Name1	Desc1	[202312191000]	[202312250400]	[202312260400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	13	14							{8230017}	{8230017}																																																																														
9	bossentries.Name1	Desc1	[202312261000]	[202401010400]	[202401020400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	15	16							{8230012}	{8230012}																																																																														
10	bossentries.Name1	Desc1	[202401021000]	[202401080400]	[202401090400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	17	18							{8230015}	{8230015}																																																																														
