ID（不可重复）	困难等级(1 普通)	角色	解锁条件（1 账号等级 2 前置关卡 3 获得某个道具 35 角色不为限时体验角色）	关卡列表	星级奖励 {{10,{{G,D,P,L,N},{G,D,P,L,N}}},{20,{{G,D,P,L,N},{G,D,P,L,N}}}}	开放时间	结束时间	类型（1:SR 2:SSR）	积分限制（只在第一行配总次数限制）	活动内容（1双倍掉落 2）	碎片从哪个活动来(填活动ID)	拼图活动期数	是否获取后再显示（填1为获取后显示）	角色
ID	Difficult	Character	Condition	Level	StarAward	Begin	End	Type	Num	Activity	FragmentActivity	JigsawPuzzleID	NeedHasShow	Nul
									12					
10111	1	{1,1,1,1}	{{3,1,1,1,1}}	{40111,40112,40113,40114,40115,40116}		[202109010000]	[209909191400]	1						安卡希雅-「不予显示」
10211	1	{1,2,1,1}	{{3,1,2,1,1}}	{40211,40212,40213,40214,40215}		[202109010000]	[209909191400]	1						里芙-星期三
10311	1	{1,3,1,1}	{{3,1,3,1,1}}	{40311,40312,40313,40314,40315}		[202109010000]	[209909191400]	1						妮塔-四手
10411	1	{1,4,1,1}	{{3,1,4,1,1}}	{40411,40412,40413,40414,40415}		[202109010000]	[209909191400]	1						芙提雅-小太阳
10511	1	{1,5,1,1}	{{3,1,5,1,1}}	{40511,40512,40513,40514,40515}		[202109010000]	[209909191400]	1						茉莉安-绷带小姐
10521	1	{1,5,2,1}	{{3,1,5,2,1}}	{40521,40522,40523,40524,40525}		[202109010000]	[209909191400]	2						茉莉安-雨燕形态
10611	1	{1,6,1,1}	{{3,1,6,1,1}}	{40611,40612,40613,40614,40615}		[202109010000]	[209909191400]	1						鸣濑晴-旧日王牌
10711	1	{1,7,1,1}	{{3,1,7,1,1}}	{40711,40712,40713,40714,40715}		[202109010000]	[209909191400]	1						琴诺-双面
10811	1	{1,8,1,1}	{{3,1,8,1,1}}	{40811,40812,40813,40814,40815}		[202109010000]	[209909191400]	1						芬妮-黄金狮子
10821	1	{1,8,2,1}	{{3,1,8,2,1}}	{41027,41028,41029,41030,41031}		[202109010000]	[209909191400]	2						芬妮-咎冠
10221	1	{1,2,2,1}	{{3,1,2,2,1}}	{40221,40222,40223,40224,40225}		[202109010000]	[209909191400]	2						里芙-狂猎形态
11011	1	{1,10,1,1}	{{3,1,10,1,1}}	{41011,41012,41013,41014,41015,41016}		[202109010000]	[209909191400]	1						肴-养生专家
11111	1	{1,11,1,1}	{{3,1,11,1,1}}	{41111,41112,41113,41114,41115}		[202109010000]	[209909191400]	1						恩雅-姐姐大人
10421	1	{1,4,2,1}	{{3,1,4,2,1}}	{40421,40422,40423,40424,40425}		[202109010000]	[209909191400]	2						芙提雅-缄默形态
10121	1	{1,1,2,1}	{{3,1,1,2,1}}	{40121,40122,40123,40124,40125}		[202109010000]	[209909191400]	2						安卡希雅-辉夜形态
11211	1	{1,12,1,1}	{{3,1,12,1,1}}	{41211,41212,41213,41214,41215,41216}		[202109010000]	[209909191400]	1						猫汐尔
11021	1	{1,10,2,1}	{{3,1,10,2,1}}	{41021,41022,41023,41024,41025,41026}		[202109010000]	[209909191400]	2						肴冬至形态
11411	1	{1,14,1,1}	{{3,1,14,1,1}}	{41411,41412,41413,41414,41415}		[202109010000]	[209909191400]	1						姬辰星
11421	1	{1,14,2,1}	{{3,1,14,2,1}}	{41421,41422,41423,41424,41425}		[202109010000]	[209909191400]	2						姬辰星-云篆
11311	1	{1,13,1,1}	{{3,1,13,1,1}}	{41311,41312,41313,41314,41315}		[202109010000]	[209909191400]	1						瑟瑞斯-小金鱼
10621	1	{1,6,2,1}	{{3,1,6,2,1}}	{41621,41622,41623,41624,41625,41626}		[202109010000]	[209909191400]	2						藏锋
11221	1	{1,12,2,1}	{{3,1,12,2,1}}	{41627,41628,41629,41630,41631,41632}		[202109010000]	[209909191400]	2						猫汐尔·溯影
11711	1	{1,17,1,1}	{{3,1,17,1,1}}	{41633,41634,41635,41636,41637,41638}		[202109010000]	[209909191400]	2						苔丝
11511	1	{1,15,1,1}	{{3,1,15,1,1}}	{41639,41640,41641,41642,41643}		[202109010000]	[209909191400]	2						凯茜娅
11611	1	{1,16,1,1}	{{3,1,16,1,1}}	{41644,41645,41646,41647,41648}		[202109010000]	[209909191400]	2						伊切尔
11121	1	{1,11,2,1}	{{3,1,11,2,1}}	{41649,41650,41651,41652,41653}		[202109010000]	[209909191400]	2						恩雅-羽蜕
1721	1	{1,7,2,1}	{{3,1,7,2,1}}	{41654,41655,41656,41657,41658,41659}		[202109010000]	[209909191400]	2						琴诺-悖谬
11321	1	{1,13,2,1}	{{3,1,13,2,1}}	{41660,41661,41662,41663,41664}		[202405301000]	[209909191400]	2						瞬刻
1831	1	{1,8,3,1}	{{3,1,8,3,1}}	{41665,41666,41667,41668,41669}		[202407110400]	[209909191400]	2						芬妮-辉耀
1231	1	{1,2,3,1}	{{3,1,2,3,1},{35,1,2,3,1}}	{41670,41671,41672,41673,41674}		[202407110400]	[209909191400]	2						里芙-无限
