关卡ID	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	任务资源	Boss最大血量	是否统计小怪承伤(不填和填0不统计，填1统计)
LevelID	Type	MapID	FightID	Condition	Monster	LevelStrength	TaskPath	BossMaxHp	CalcMonsterDamage
2501	0	2501	1		{{600120301,25}}	1	SeasonBoss/SeasonBoss_2501_01.SeasonBoss_2501_01	74000	
2511	0	2501	1	{{2,2501}}	{{600120301,40}}	1	SeasonBoss/SeasonBoss_2501_02.SeasonBoss_2501_02	185600	
2521	0	2501	1	{{2,2511}}	{{600120301,60}}	1	SeasonBoss/SeasonBoss_2501_03.SeasonBoss_2501_03	516200	
2531	0	2501	1	{{2,2521}}	{{600120301,80}}	1	SeasonBoss/SeasonBoss_2501_04.SeasonBoss_2501_04	1093000	
2541	0	2501	1	{{2,2531}}	{{600120301,90}}	1	SeasonBoss/SeasonBoss_2501_05.SeasonBoss_2501_05	-1	
2504	0	2504	1		{{600130203,25}}	1	SeasonBoss/SeasonBoss_2504_01.SeasonBoss_2504_01	74000	
2514	0	2504	1	{{2,2504}}	{{600130203,40}}	1	SeasonBoss/SeasonBoss_2504_02.SeasonBoss_2504_02	185600	
2524	0	2504	1	{{2,2514}}	{{600130203,60}}	1	SeasonBoss/SeasonBoss_2504_03.SeasonBoss_2504_03	516200	
2534	0	2504	1	{{2,2524}}	{{600130203,80}}	1	SeasonBoss/SeasonBoss_2504_04.SeasonBoss_2504_04	1093000	
2544	0	2504	1	{{2,2534}}	{{600130203,90}}	1	SeasonBoss/SeasonBoss_2504_05.SeasonBoss_2504_05	-1	
2503	0	2503	1		{{600120701,25}}	1	SeasonBoss/SeasonBoss_2503_01.SeasonBoss_2503_01	74000	
2513	0	2503	1	{{2,2503}}	{{600120701,40}}	1	SeasonBoss/SeasonBoss_2503_02.SeasonBoss_2503_02	185600	
2523	0	2503	1	{{2,2513}}	{{600120701,60}}	1	SeasonBoss/SeasonBoss_2503_03.SeasonBoss_2503_03	516200	
2533	0	2503	1	{{2,2523}}	{{600120701,80}}	1	SeasonBoss/SeasonBoss_2503_04.SeasonBoss_2503_04	1093000	
2543	0	2503	1	{{2,2533}}	{{600120701,90}}	1	SeasonBoss/SeasonBoss_2503_05.SeasonBoss_2503_05	-1	
2502	0	2502	1		{{600100501,25}}	1	SeasonBoss/SeasonBoss_2502_01.SeasonBoss_2502_01	74000	
2512	0	2502	1	{{2,2502}}	{{600100501,40}}	1	SeasonBoss/SeasonBoss_2502_02.SeasonBoss_2502_02	185600	
2522	0	2502	1	{{2,2512}}	{{600100501,60}}	1	SeasonBoss/SeasonBoss_2502_03.SeasonBoss_2502_03	516200	
2532	0	2502	1	{{2,2522}}	{{600100501,80}}	1	SeasonBoss/SeasonBoss_2502_04.SeasonBoss_2502_04	1093000	
2542	0	2502	1	{{2,2532}}	{{600100501,90}}	1	SeasonBoss/SeasonBoss_2502_05.SeasonBoss_2502_05	-1	
									
2505	0	2505	1		{{600120603,25}}	1	SeasonBoss/SeasonBoss_2505_01.SeasonBoss_2505_01	74000	
2515	0	2505	1	{{2,2505}}	{{600120603,40}}	1	SeasonBoss/SeasonBoss_2505_02.SeasonBoss_2505_02	185600	
2525	0	2505	1	{{2,2515}}	{{600120603,60}}	1	SeasonBoss/SeasonBoss_2505_03.SeasonBoss_2505_03	516200	
2535	0	2505	1	{{2,2525}}	{{600120603,80}}	1	SeasonBoss/SeasonBoss_2505_04.SeasonBoss_2505_04	1093000	
2545	0	2505	1	{{2,2535}}	{{600120603,90}}	1	SeasonBoss/SeasonBoss_2505_05.SeasonBoss_2505_05	-1	
2506	0	2506	1		{{600120401,25}}	1	SeasonBoss/SeasonBoss_2506_01.SeasonBoss_2506_01	74000	
2516	0	2506	1	{{2,2506}}	{{600120401,40}}	1	SeasonBoss/SeasonBoss_2506_02.SeasonBoss_2506_02	185600	
2526	0	2506	1	{{2,2516}}	{{600120401,60}}	1	SeasonBoss/SeasonBoss_2506_03.SeasonBoss_2506_03	516200	
2536	0	2506	1	{{2,2526}}	{{600120401,80}}	1	SeasonBoss/SeasonBoss_2506_04.SeasonBoss_2506_04	1093000	
2546	0	2506	1	{{2,2536}}	{{600120401,90}}	1	SeasonBoss/SeasonBoss_2506_05.SeasonBoss_2506_05	-1	
2604	0	2504	1		{{600130203,25}}	1	SeasonBoss/SeasonBoss_2504_01.SeasonBoss_2504_01	74000	
2614	0	2504	1	{{2,2604}}	{{600130203,40}}	1	SeasonBoss/SeasonBoss_2504_02.SeasonBoss_2504_02	185600	
2624	0	2504	1	{{2,2614}}	{{600130203,60}}	1	SeasonBoss/SeasonBoss_2504_03.SeasonBoss_2504_03	516200	
2634	0	2504	1	{{2,2624}}	{{600130203,80}}	1	SeasonBoss/SeasonBoss_2504_04.SeasonBoss_2504_04	1093000	
2644	0	2504	1	{{2,2634}}	{{600130203,90}}	1	SeasonBoss/SeasonBoss_2504_05.SeasonBoss_2504_05	-1	
2507	0	2507	1		{{600150302,25}}	1	SeasonBoss/SeasonBoss_2507_01.SeasonBoss_2507_01	74000	
2517	0	2507	1	{{2,2507}}	{{600150302,40}}	1	SeasonBoss/SeasonBoss_2507_02.SeasonBoss_2507_02	185600	
2527	0	2507	1	{{2,2517}}	{{600150302,60}}	1	SeasonBoss/SeasonBoss_2507_03.SeasonBoss_2507_03	516200	
