ID	隶属排行榜	排名	奖励
ID	Referrank	Ranking	Rewards
1	1001	1	{{15,1,7,1,1},{4,3,1,1,100000}}
2	1001	2	{{4,3,1,1,90000}}
3	1001	3	{{4,3,1,1,85000}}
4	1001	4	{{4,3,1,1,85000}}
5	1001	5	{{4,3,1,1,80000}}
6	1001	6	{{4,3,1,1,80000}}
7	1001	7	{{4,3,1,1,70000}}
8	1001	8	{{4,3,1,1,70000}}
9	1001	9	{{4,3,1,1,70000}}
10	1001	10	{{4,3,1,1,70000}}
11	1002	1	{{14,1,62,1,1},{4,3,1,1,100000}}
12	1002	2	{{4,3,1,1,90000}}
13	1002	3	{{4,3,1,1,85000}}
14	1002	4	{{4,3,1,1,85000}}
15	1002	5	{{4,3,1,1,80000}}
16	1002	6	{{4,3,1,1,80000}}
17	1002	7	{{4,3,1,1,70000}}
18	1002	8	{{4,3,1,1,70000}}
19	1002	9	{{4,3,1,1,70000}}
20	1002	10	{{4,3,1,1,70000}}
