Id	备注	地图Id	GDPL	Object	收集度（满分1000）
Id	Nul	Map	GDPL	Object	Score
101	图1宝箱1	1	{{4,3,1,1,5000}}		150
102	图1宝箱2	1	{{4,3,1,1,5000}}		200
103	图1宝箱3	1	{{4,3,2,1,25}}		300
104	图1任务3	1			200
105	图1支线1	1			50
106	图1支线2	1			50
110	战斗1	1			10
111	战斗2	1			10
112	战斗3	1			10
113	战斗4	1			20
					
201	图2宝箱1	2	{{4,3,1,1,5000}}		160
202	图2宝箱2	2	{{4,3,1,1,5000}}		160
203	图2宝箱3	2	{{4,3,1,1,5000}}		190
204	图2宝箱4	2	{{4,3,2,1,25}}		270
205	图2任务3	2			100
206	图2支线1	2			30
207	图2支线2	2			30
210	战斗1	2			10
211	战斗2	2			10
212	战斗3	2			10
213	战斗4	2			10
214	战斗5	2			10
215	战斗6	2			10
					
301	图3宝箱1	3	{{4,3,1,1,5000}}		160
302	图3宝箱2	3	{{4,3,1,1,5000}}		160
303	图3宝箱3	3	{{4,3,1,1,5000}}		190
304	图3宝箱4	3	{{4,3,2,1,25}}		270
305	图3任务3	3			110
306	图3支线1	3			50
310	战斗1	3			10
311	战斗2	3			10
312	战斗3	3			10
313	战斗4	3			10
314	战斗5	3			10
315	战斗6	3			10
					
401	图4宝箱1	4	{{4,3,1,1,5000}}		170
402	图4宝箱2	4	{{4,3,1,1,5000}}		170
403	图4宝箱3	4	{{4,3,1,1,5000}}		190
404	图4宝箱4	4	{{4,3,2,1,25}}		270
405	图4任务探索度	4			130
406	图4支线1	4			30
407	图4支线2	4			0
410	战斗1	4			10
411	战斗2	4			10
412	战斗3	4			10
413	战斗4	4			10
					
					
501	图5宝箱1	5	{{4,3,1,1,5000}}		160
502	图5宝箱2	5	{{4,3,1,1,5000}}		170
503	图5宝箱3	5	{{4,3,1,1,5000}}		190
504	图5宝箱4	5	{{4,3,2,1,25}}		270
505	图5任务探索度	5			160
511	战斗1	5			10
512	战斗2	5			10
513	战斗3	5			10
514	战斗4	5			10
515	战斗5	5			10
					
601	图6宝箱1	6	{{4,3,1,1,5000}}		140
602	图6宝箱2	6	{{4,3,1,1,5000}}		140
603	图6宝箱3	6	{{4,3,1,1,5000}}		140
604	图6宝箱4	6	{{4,3,1,1,5000}}		140
605	图6宝箱5	6	{{4,3,2,1,25}}		200
606	图6任务探索度	6			180
610	战斗1	6			10
611	战斗2	6			10
612	战斗3	6			10
613	战斗4	6			10
614	战斗5	6			10
615	战斗6	6			10
