字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		6	里芙无限之视			我记得……应该是来这里的路上，在飞艇里，分析员给我讲了一个故事……古代东方英雄的故事。	0	
2		0				心流园外的浮空走廊上，里芙长身而立，站在走廊的尽头，任由尚未完全消散的云团和强风吹拂着自己的身体。	0	
3		0				在尚有余音的滚雷声里，她慢悠悠地开口，给身后的人转述着那个故事。	0	
4		6	里芙无限之视			他说这位英雄原本不学无术，放浪形骸。人到中年还是游手好闲，一事无成。	0	
5		6	里芙无限之视			有一天，这位英雄喝醉了，想干一番大事，就提了一把剑，闯进山里，去杀一位蛇神。蛇神很害怕，向英雄告饶，也威胁他——	0	
6		6	里芙无限之视			你如果伤害我，我会报复你的子嗣。	0	
7		6	里芙无限之视			哼……你猜猜那位英雄说什么？	0	
8		6	里芙无限之视			他说“我自己都这副模样了，还会在乎什么子嗣？！”	0	
9		6	里芙无限之视			然后，他一剑斩断了那条蛇。	0	
10		6	里芙无限之视			从那之后，那位英雄真的做了很多大事……到最后，他成了那个国家的新王。	0	
11		6	里芙无限之视			作为故事，它很老套。充满了谎言，粉饰，庶民想象和宿命论的腔调。但这个故事里还是有让我很喜欢的地方……	0	
12		0				她坐下来，让双腿得以在半空中自由摆荡——扭头回身，向着身后那团稀薄的影子发问。	0	
13		6	里芙无限之视			你要不要也坐过来？这里的景色真的很不错。	0	
14		0				那团人影犹豫着，退缩着，仿佛无论如何都不会再向前一步。	0	
15		6	里芙无限之视			……我喜欢那个故事里，那位英雄的妻子的形象。	0	
16		6	里芙无限之视			在英雄一事无成的时候，她陪伴他。在英雄干大事的时候，她甚至会以牺牲自己为前提去支持他。	0	
17		6	里芙无限之视			但等到那位英雄做了王，完成了不可能的壮举之后，她却开始埋怨他……尝试操控他，驾驭他，征服他。用种种手段去提醒他——伟大的事业，是他们两个一起做成的。	0	
18		6	里芙无限之视			就结果而言，她成功了。	0	
19		6	里芙无限之视			明明是一位英雄的传奇人生大放异彩的故事，但在后世人眼里，这位妻子的故事却与英雄的并驾齐驱，不分伯仲。	0	
20		6	凯茜娅			……为什么要跟我说这些。	0	
21		6	里芙无限之视			因为我在回答你的问题啊，凯茜娅。	0	
22		6	里芙无限之视			“从今往后……打算如何自处，又如何相处？”	0	
23		0				她轻巧地起身，从容地转过脸来，向着身后长廊上站着的凯茜娅迈开脚步。	0	
24		4	里芙无限之视			虽然我不太明白你为什么会问这个问题，又为什么会来问我……但，先要摆正位置，才能看清问题，没错吧？	0	
25		5	凯茜娅			……说得倒轻巧。	0	
26		0				她的声调连同她的身体一起不自然地颤抖着。	0	
27		4	里芙无限之视			以及，我也忽然有个问题想问你了。	0	
28		4	里芙无限之视			你……难道恐高吗？	0	
29		5	凯茜娅			明知故问……你不正是因为知道这一点，才带我来这儿的吗。	0	
30		4	里芙无限之视			嗯……倒也是。	0	
31		0				她咧嘴一笑，步子越过凯茜娅，继续向着长廊尽头新恒提罗市区的方向慢慢走着。	0	
32		4	里芙无限之视			恐惧会带来敬畏心，而敬畏心……能保证你认真听别人说话。	0	
33		5	凯茜娅			我听着呢！	0	
