字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		6	芙提雅			唔……这处现场保存得很完好呢……	0	
2		6	芙提雅			应该可以用于探测和分析！	0	
3		6	芙提雅			等我启动终端……	0	
4		6	芙提雅			芙提雅·伊格妮丝专用网络协议分析程序，启动！	0	
5		6	芙提雅			……	0	
6		6	芙提雅			…………嗯？	0	
7		6	芙提雅			就是这个！	0	
8		6	芙提雅			原来是通过这个端口接入，然后篡改的网络协议呀！	0	
9		6	芙提雅			嘿嘿，抓到你……	0	
10		6	芙提雅			哇啊啊啊啊啊！竟然是空白通行证！	0	
11		6	芙提雅			真是令人生气的坏结局因素！必须要消除掉才可以！	0	
12		6	芙提雅			啊呀，追查得太过入迷，不小心把会合的事情给忘记了……	0	
13		6	芙提雅			欸？十六个未接通记录！这就打回去！	0	
14		5	里芙			请回答……	0	
15		5	里芙			重复，听到请回答。	0	
16		4	芙提雅			嗨嗨嗨！这里是芙提雅老师呦。	0	
17		4	芙提雅			星期三你们在哪？	0	
18		5	里芙			棚户区。	0	
19		5	里芙			我们正在预定的会合点等你，坐标是……	0	
20		4	芙提雅			哎这么巧！我也在哦！	0	
21		4	芙提雅			不小心发现了一点有趣的线索，小偷是通过篡改网络协议使运载车差速器被锁死的。	0	
22		4	芙提雅			在芙提雅老师面前耍这种小手段，简直就是在挑衅嘛！嗯！很好！我接受挑战！	0	
23		5	里芙			直接说重点。	0	
24		4	芙提雅			听到“篡改网络协议”这个词你没有觉得很耳熟吗！	0	
25		4	芙提雅			快猜猜快猜猜！	0	
auto_23630		5	里芙			……	0	
26		4	芙提雅			难过！星期三你果然还是这样，一点都不配合我！	0	
27		4	芙提雅			嘿嘿，是<snowbreak>逐光者</>呀！他们每次非法进入零区都会用这种手段屏蔽我们的安全系统。	0	
28		5	里芙			你认为是逐光者偷走了布里希嘉曼？	0	
29		4	芙提雅			本着对调查结果严谨认真的态度，现在当然还不能确定啦！	0	
30		4	芙提雅			逐光者的嫌疑很大哦，不过郊狼的嫌疑也不能排除！	0	
31		4	芙提雅			上次我和茉莉安被叫去支援你们那个……回收火箭的任务，郊狼不是也偷走了公司的装备吗！	0	
32		4	芙提雅			而且！根据调取的交火录像，安全部车队遇袭时，也有疑似郊狼装扮的人出现吧！	0	
33		4	芙提雅			总之！郊狼和逐光者，目前就是棚户区的首要嫌疑人！	0	
34		5	里芙			明白了，我会向分析员汇报。	0	
35		5	里芙			芙提雅……	0	
36		4	芙提雅			在呢！怎么了怎么了！	0	
37		5	里芙			你的坐标是？	0	
38		4	芙提雅			说着说着又忘记了会合的事，你们没有等我很久吧？	0	
39		5	里芙			两个小时。	0	
40		4	芙提雅			那好像……嗯，有点久……我这就把坐标发过去！	0	
41		4	芙提雅			星期三！不要一边露出那种可怕的表情，一边看着我！	0	
42		5	里芙			收到你的坐标。	0	
43		5	里芙			已经偏离会合点太多了，需要重新确定一个会合点。	0	
44		4	芙提雅			地点的话……	0	
45		4	芙提雅			“峡谷”？还是……“市场”？要不还是“峡谷”？	0	
46		4	芙提雅			好，好难决定……让我想想啊……这个……	0	
47		5	里芙			行了，“峡谷”见。	0	
48		5	里芙			路上小心点。	0	
49		4	芙提雅			嗯~	0	
50		6	芙提雅			呼~有人帮忙决定真是太好啦~	0	
51		6	芙提雅			好！还有时间再调查一下！	0	
52		6	芙提雅			就让我来揭开这个深邃的秘密吧！	0	
