字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				巡逻途中，我突然感受到了来自各个方向的视线。猛然发现，这视线是献给我身后的这位明灯节大使——星期三的。	0	
2		6	狂猎国风皮			分析员，有什么指示？	0	
b-1	b-1	0					0	
3	b-1-1	0				没有……倒是你，为什么一直跟着我？	0	
4		6	狂猎国风皮			如果在安保工作中发生意外，我可以随时保护分析员。	0	
b-2	b-2	0					0	
5	b-2-1	0				星期三不打算逛逛会场吗？	0	
6		6	狂猎国风皮			没兴趣。早些完成任务，还能换掉这身麻烦的装备。	0	
7		0				和其他沉浸在节日氛围里的人不一样。看来，这种场合并不能令星期三感到放松。	0	
b-3	b-3	0					0	
8	b-3-1	0				那么，为了早些完成任务……	0	
b-4	b-4	0					0	
9	b-4-1	0				请明灯节大使与我一同行动吧。	0	
