字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				辰星独自一人击败了未知泰坦，屏幕中的少女似乎有些脱力，但并没有明显受伤。	0	
2		0				我那一颗悬着的心终于放了下来，赶紧和队友迎向辰星。	0	
3		0				看着被烟花照亮的少女们的笑脸，我情不自禁笑了出来。	0	
4		6	仓尧			感谢各位海姆达尔精英的帮助，我们重新布置了燃灯台，燃灯仪式将会按计划准时开始。	0	
5		6	仓尧			鄙人已经预留了最佳观赏位，还请海姆达尔的各位移步。	0	
6		0	芙提雅			一层、两层、三层……这天工福灯的工艺好厉害啊！	0	
7		0	芬妮			很耀眼，不过还是比不上本小姐。	0	
8		0	妮塔			让我发财，让我发财，发财，发财，发财……	0	
9		0	恩雅			小妮塔在说什么呢？	0	
10		0	猫汐尔			明灯节有燃灯祈福的习俗，据说对着天工福灯祈愿，愿望更容易实现。当然这些并没有科学依据，只是你们人类的一厢情愿。	0	
11		0	晴			哎，这个时候不需要这么严谨的，猫汐尔。	0	
12		0	茉莉安			要是手边有茶具就好了，这样我就能为大家泡茶了。	0	
13		0	肴			还是来点实在的吧。分析员，难得过节，我们却还在加班，你不得表示表示？	0	
b-1	b-1	0					0	
14	b-1-1	0				咳咳。	0	
b-2	b-2	0					0	
15	b-2-1	0				我准备了一份特别的礼物，不过不能这么简单给出去。	0	
17		0				我在天楼看到了一个有意思的东西。	0	
18		0				和天工福灯一模一样的工艺品，只有掌心大小，似乎是泰古通达为了专门为纪念明灯新仪打造。	0	
19		0				在明灯节逛摊位、玩游戏，就可以获得这个纪念小物品，听说是旧时代的“集会”常有的打卡小活动。	0	
b-4	b-4	0					0	
20	b-4-1	0				收集最多的人会得到我的神秘礼物。	0	
21		1	芬妮			喂，怎么收礼物还要比赛啊？不过可以，我喜欢比赛！	0	
26		1	芬妮			所以，分析员的礼物到底是什么？总得先让我们知道吧。	0	
b-5	b-5	0					0	
28	b-5-1	0				任君差遣一日券？	0	
29		1	芬妮			是这一天对分析员要求什么都不会被拒绝的意思吗？	0	
31		1	芬妮			让我想想……要让分析员做点什么呢？	0	
32		5	狂猎国风皮			………	0	
