字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				与此同时，某个实验室——	0	
2		6	神秘博士			哦？舞台布置被拆了不少。	0	
3		0	舍塔的声音			如果单靠你，这场戏早就演砸了。	0	
4		0	舍塔的声音			还好我做了另外的安排。	0	
5		6	神秘博士			也不过是一个更大的点缀……也好。	0	
6		6	神秘博士			开场舞已经足够热闹。	0	
7		6	神秘博士			时间也差不多了——	0	
8		6	神秘博士			那么，主角登场前，该让配角先上台了。	0	
9		6	神秘博士			不要太抢戏，它们的作用是为了暖场。	0	
10		0	舍塔的声音			你确定真的需要这么做？	0	
11		6	神秘博士			这对你来说只是一点微不足道的代价。	0	
12		6	神秘博士			别让我们的观众扫兴。	0	
13		6	神秘博士			恐慌、厌恶、惧怕……	0	
14		6	神秘博士			快了，就要登场了！	0	
