字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		6	研发部研究员			啊啊……呼……	0	
2		0				借着一个大大的呵欠，她把身体尽可能地舒展开，让每一处发紧的关节都能得到放松。	0	
3		0				然而，舒展过身体之后，她一点都没觉得轻松，双眼下的黑青反倒愈发严重了。	0	
4		0				像一条已经彻底硬掉的咸鱼一样，她从座椅滑下，借势半跪在终端面前。终端屏幕上的光标无情地闪烁着，让光标前面仅有的两个字更加刺眼。	0	
5		0	研发部研究员			完了……明天就是死线了，到现在就只写了“方案”两个字。	0	
6		0				她垂下头思考了片刻，突然带着坚定的眼神打挺起身。	0	
7		6	研发部研究员			必须得有所行动。	0	
8		6	研发部研究员			事到如今，只能用那个法子了！	0	
9		0	分析员			还是怕你的身子没恢复好，所以就……	0	
10		6	晴病号服			嗯，没关系的。看着分析员玩玩乐乐，我也就一起放松了。	0	
11		6	晴病号服			虽然有些不合时宜，接下来一起训练的约定，分析员没忘吧？	0	
12		0	分析员			不会忘的。只不过，训练前也要好好吃饭。走，一起吃饭去。	0	
13		6	苔丝病号服			老师老师，好可惜！	0	
14		6	苔丝病号服			因为一直犹犹豫豫没选好泳装，我才错失了水上乐园的比拼名额……	0	
15		6	苔丝病号服			老师不会怪我吧？	0	
16		0	分析员			怎么会。只要苔丝不选择离开这里，我就有机会看到你的泳装模样。	0	
17		0	分析员			我很期待。	0	
18		6	苔丝病号服			唔！老师您又这样——	0	
19		9	分析员			……	0	
20		9	分析员			怎么觉得背后凉凉的？好怪……甚至觉得有点似曾相识。	0	
21		9	卡罗琳			鬼鬼祟祟地做什么呢？	0	
22		6	研发部研究员			啊啊啊啊！	0	
23		6	研发部研究员			啊……原来是卡罗琳情报官，吓死我了。	0	
24		5	卡罗琳			呃，我才被你的叫声吓到了。	0	
25		5	卡罗琳			不过说起来，最可怕的还是你的行为吧。	0	
26		5	卡罗琳			如果让你继续这么做的话，你未来也许就再也见不到这么宽、这么亮的窗子了。	0	
27		5	卡罗琳			所以，你这是在……	0	
28		6	研发部研究员			搜、搜集情报。	0	
29		5	卡罗琳			莫名其妙。	0	
30		6	研发部研究员			又到了定期更新迷宫系统的时间了……这次说什么都不想再用力过猛了。	0	
31		6	研发部研究员			这段时间大家都在好好休养，公司还专门为分析员和海姆达尔队员们安排了水上乐园的度假。	0	
31_2		6	研发部研究员			在这个时候如果研发部不能做出妥当的安排，感觉会被当成全世界的敌人无情辱骂。	0	
32		6	研发部研究员			所以，我们希望为分析员点对点、针对性地更新迷宫系统。给他最舒适、快意的战斗体验。	0	
33		6	研发部研究员			那么，除了分析员的作战数据，他在日常生活中的相关数据就至关重要！	0	
34		5	卡罗琳			作为情报官，分析员的信息不能随意泄露。不过共事一场，还是不希望你因为犯罪离开世界树。	0	
35		6	研发部研究员			嗯！嗯！留着我，我还能继续为世界树打工，为分析员提供更好的战斗推演系统！	0	
36		6	研发部研究员			所以情报官大人可以为我提供——	0	
37		5	卡罗琳			提供一些方向，比如奥利拉水上乐园的资料，分析员和海姆达尔队员们外出度假的——	0	
38		5	卡罗琳			总觉得好像被套路了，这不会才是你最开始的计划吧？	0	
39		6	研发部研究员			所以，我们这次专门为分析员安排了战斗推演途中可以休闲的场所，希望分析员和海姆达尔的队员们可以在战斗的同时也能放松身心~	0	
40		9	分析员			呃……其实倒也不用这么麻烦。	0	
41		9	分析员			不过，谢谢你，也谢谢研发部的大家。	0	
42		9	分析员			你们费心了。	0	
43		6	卡罗琳			咳咳，可以了。不用再发散你那该死的迷人荷尔蒙了。	0	
44		9	分析员			遵命，小情报官大人。	0	
45		6	卡罗琳			呃！	0	
46		6	卡罗琳			唉，真是拿你没办法。	0	
