字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				不久后，我和辰星通过了宅子里的阻碍，深入到了一座特别的实验室中。	0	2.5版本主线故事
2		6	辰星琼弦		Play_Vo_dlc14ep3_girl014_01	地上的宅子……原来只是一个幌子吗。	0	2.5版本主线故事
3		6	辰星琼弦		Play_Vo_dlc14ep3_girl014_02	分析员想要挖掘的秘密，就藏在这个实验室里？	0	2.5版本主线故事
4		0	分析员			是啊。舍塔那家伙为了经营这座实验室，可谓是费尽心机。	0	2.5版本主线故事
5		0	分析员			为了隐藏这里的秘密，她不惜舍弃了醒世之尘。在和罗赞的合作中，她或许发现了某种……更加具备威胁的东西。	0	2.5版本主线故事
6		0	分析员			陶派出去的人掘地三尺都没法找到现实中这座宅子的位置。即便在这虚拟的世界，如果不是你足够特殊……想要真正触及这个实验室，也不是什么简单的事情。	0	2.5版本主线故事
7		0	分析员			也多亏了卜卜意外撞破了矿洞深处的隐秘，接触到了这个秘密，否则我们更多的注意力还会被醒世之尘牵扯着。	0	2.5版本主线故事
8		0				在辰星的辅助下，我们以最快的速度进到了这座实验室。	0	2.5版本主线故事
9		0				先前与其他人配合的尝试，我也很多次接近这里，可惜的是无法跨出最后一步。	0	2.5版本主线故事
10		0				并不是她们不够强大，而是她们难以维系虚构世界的稳定，特别是在即将与最终秘密接洽时，不稳定的崩溃更加容易发生。	0	2.5版本主线故事
11		6	辰星琼弦		Play_Vo_dlc14ep3_girl014_03	她到底在做什么……	0	2.5版本主线故事
12		0	分析员			还无法完全确定。	0	2.5版本主线故事
13		0				用来构建这个世界的数据文件，已经自我迭代过很多遍。这是绕开了纺锤系统钳制的自动增长。	0	2.5版本主线故事
14		0				我与其他人一遍遍探索搜集到的信息，也让芙提雅进一步确定，在这份数据的深处隐藏着某种异常。	0	2.5版本主线故事
15		0				——有一团仿佛有生命的数据在文件的深处流动着，像是癌细胞一样疯狂地增长，好似在孵化着某种可怕的东西。	0	2.5版本主线故事
16		0				这是光凭科学难以解释，或者说以现有科学技术无法解释的诡异现象。	0	2.5版本主线故事
17		0				而且这些数据的特征，与芙提雅研究过瓦尔哈拉空间的波动曲线极其类似。	0	2.5版本主线故事
18		0				我不知道舍塔究竟是如何弄出了这样的造物，带来了这种影响，也不知晓在这影响之后又隐藏着什么可怕的秘密。	0	2.5版本主线故事
19		0				但我很清楚……必须破坏，阻止，中断她在这里准备的研究。	0	2.5版本主线故事
20		6	辰星琼弦		Play_Vo_dlc14ep3_girl014_04	这里的守备力量，比之前要更加森严了。	0	2.5版本主线故事
21		0				虽然已经渐渐逼近秘密的所在，但我和辰星都没有轻举妄动，实验室内的防护十分严密，巡逻的士兵随处可见，而且在一些必经之路上还有隐藏的机枪塔阻拦。	0	2.5版本主线故事
22		9	辰星琼弦		Play_Vo_dlc14ep3_girl014_05	分析员……我的力量，好像无法影响这个地方。	0	2.5版本主线故事
23		0				辰星下意识想要动用先前的力量，用来改变这个世界的布置，可无论她如何“用力”，都无法完成先前那样奇特的操作。	0	2.5版本主线故事
24		0	分析员			正常。	0	2.5版本主线故事
25		0	分析员			前面的区域基本是你的意识在主导，到了这里，才是数据的主体所在，从这里往后，你的心灵力量很难再影响到这个世界的构造。	0	2.5版本主线故事
26		0	分析员			不过……想要闯过这里，还有很多可以利用的东西。	0	2.5版本主线故事
27		0				我示意辰星看向天花板用于运输货物的传送带。舍塔用来供给的物资生命线只要利用得当，就能成为我们用来阻挡机枪塔攻击，或者将它们摧毁的道具。	0	2.5版本主线故事
28		0				说到这里，我不由得瞥向视界的一角，辰星的各项状态都在我的眼前显现，通过庭院的过程，她已经承受了不少意识层次的压力，大脑的负荷在不断升高。	0	2.5版本主线故事
29		0				而这种压力，在进入实验室之后更是拔升了数倍。虽然辰星一言不发全部承担了下来，但我很清楚她是在硬撑，所以……	0	2.5版本主线故事
30		0	分析员			辰星，这是一次预演，或许也是唯一一次预演的机会了。	0	2.5版本主线故事
31		6	辰星琼弦		Play_Vo_dlc14ep3_girl014_06	……我明白。	0	2.5版本主线故事
32		0	分析员			而且，只有你能将这预演的效果，发挥到极致。	0	2.5版本主线故事
33		0				这个实验室，在现实中也是存在的。	0	2.5版本主线故事
34		6	辰星琼弦		Play_Vo_dlc14ep3_girl014_07	嗯。	0	2.5版本主线故事
35		0				辰星郑重地点头。	0	2.5版本主线故事
36		0	分析员			那么……开始吧。	0	2.5版本主线故事
37		0				大概二十分钟后，我和辰星彻底打通了实验室的阻碍，来到实验室最后的通道前。	0	2.5版本主线故事
38		0	分析员			需要休息一下吗？	0	2.5版本主线故事
39		6	辰星琼弦		Play_Vo_dlc14ep3_girl014_08	不用。	0	2.5版本主线故事
40		6	辰星琼弦		Play_Vo_dlc14ep3_girl014_09	多亏了芙提雅老师，新的战术套装性能很强。	0	2.5版本主线故事
41		0	分析员			不只是战斗套装强，除了你……大概没人能够这么轻松闯到这里。	0	2.5版本主线故事
42		0				我看向辰星的目光，除了赞叹还是赞叹。	0	2.5版本主线故事
43		0				在将实验室的构造记下后，辰星就通过她的超忆能力在脑中多次推演战斗。我们在实验室的“一命通关”，是她在脑内自己多次重演的结果。	0	2.5版本主线故事
44		0				而走到这里，有种强烈的预感也充斥我的内心——在这实验室里隐藏的秘密，马上就要出现在眼前了。	0	2.5版本主线故事
45		0				可即便有了预期，在来到实验室通道的尽头时，所见到的场景，还是有些超出我的想象。	0	2.5版本主线故事
46		0	分析员			前面那是……	0	2.5版本主线故事
