字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				舒爽的海风缓缓吹拂，伴随着鱼儿不时跃出水面的声音……	0	2.5版本新星开拓3期开场剧情
2		9	薇蒂雅			啊~啊~好大！……	0	2.5版本新星开拓3期开场剧情
3		6	薇蒂雅			好大的鱼呀，分析员快看，长度都破纪录了！这次我应该能赢过你了吧~	0	2.5版本新星开拓3期开场剧情
4		6	薇蒂雅			哎呀呀，惩罚环节什么的，我一定会特别特别温柔的……	0	2.5版本新星开拓3期开场剧情
5		0				赶上休息日，大家决定上号一起来新星开拓的海岛上钓钓鱼，聊聊天，就当集体活动了。	0	2.5版本新星开拓3期开场剧情
6		0	分析员			抱歉了薇蒂雅，这次依然还是我钓到的鱼更长一些。	0	2.5版本新星开拓3期开场剧情
7		6	肴			哈呜……一下午了，这场钓鱼比赛咱们的分析员就没输过。	0	2.5版本新星开拓3期开场剧情
8		4	猫汐尔泳装			抛开分析员的确实力超群这个事实不谈，建议严查。	0	2.5版本新星开拓3期开场剧情
9		5	芙提雅泳装			芙提雅老师也觉得从统计学的角度说不通，嘿嘿，严查严查~	0	2.5版本新星开拓3期开场剧情
10		0	分析员			要是这么说的话，确实也有些奇怪，我这边钓上来的鱼一条比一条大，刚才那条更是快有六百厘米长。	0	2.5版本新星开拓3期开场剧情
11		0	分析员			得回头跟安卡希雅说一声，查查这部分程序是不是有错误。	0	2.5版本新星开拓3期开场剧情
12		6	伊切尔			嘎呜——伊切尔也要钓大鱼！分析员的鱼饵更香香，伊切尔也想要！	0	2.5版本新星开拓3期开场剧情
13		0	分析员			鱼饵都是系统发放的，应该都是一样的吧。	0	2.5版本新星开拓3期开场剧情
14		0				掏出背包里的鱼饵仔细端详，并没有明显异样，只是在底部似乎有一行颜色浅淡的小字……	0	2.5版本新星开拓3期开场剧情
b-1	b-1	0					0	2.5版本新星开拓3期开场剧情
15	b-1-1	0				咩……咩噗咩噗大鱼爆仓至尊饵？	0	2.5版本新星开拓3期开场剧情
16		9	肴			噗！	0	2.5版本新星开拓3期开场剧情
17		6	辰星泳装			咳咳！也是……很有趣的名字呢~	0	2.5版本新星开拓3期开场剧情
18		6	伊切尔			伊切尔的鱼饵就没有写名字，伊切尔要用分析员的鱼饵来钓鱼，呜哇——！	0	2.5版本新星开拓3期开场剧情
19		0	分析员			你认识到自己的错误了吗？	0	2.5版本新星开拓3期开场剧情
20		6	安卡希雅			哦。	0	2.5版本新星开拓3期开场剧情
21		0	分析员			错在哪了？	0	2.5版本新星开拓3期开场剧情
22		6	安卡希雅			我不该没有知会测试组长你就修改游戏配置，也不该发放未经测试组长检查的特殊道具，更不该没有跟你商量就擅自让鱼多长两斤肉……	0	2.5版本新星开拓3期开场剧情
23		0	分析员			那是多长了两斤肉吗，一条鱼都快比你这个卧室大了。	0	2.5版本新星开拓3期开场剧情
24		6	安卡希雅			这就是我的小巧思了，只要使用我们新设计的“咩噗咩噗大鱼爆仓至尊饵”，就能钓上来拥有超绝长度的巨型鱼类，给作为玩家的分析员带来无与伦比的成就感……	0	2.5版本新星开拓3期开场剧情
25		6	安卡希雅			在我原本的规划里，未来还将相继推出针对不同鱼型的专属至尊鱼饵，暂定的名字是“上天入地还我漂漂鱼万能饵”……	0	2.5版本新星开拓3期开场剧情
26		0	分析员			这是哪个文案起的名字？你叫她自己来见我。	0	2.5版本新星开拓3期开场剧情
27		6	安卡希雅			原本想给你个惊喜的，哎，现在这份良苦用心只能自己默默咽下了。	0	2.5版本新星开拓3期开场剧情
28		0	分析员			不要转移话题。那我问你，总不能新鱼饵全都靠系统偷摸塞给玩家吧？	0	2.5版本新星开拓3期开场剧情
