字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				应是，久远而又神秘的夜空……	0	2.7特别篇预告
2		0				或是，寂静而又阴暗的海底……	0	2.7特别篇预告
3		0				如果说梦是名为现实的光投下的阴影。	0	2.7特别篇预告
4		0				那么<span color="#ee4735">我</>此刻大概正立于令人目眩的亮光前，透过微微张开的指缝，凝视着那未曾触及的真实。	0	2.7特别篇预告
5		0				最近，我总是梦到这样的场景。	0	2.7特别篇预告
6		0				一个身穿白色连衣裙的幼小女孩，孤独地站在黑暗中。	0	2.7特别篇预告
7		0				透过毫无生气的电子屏幕，眼含泪花，望向我所身处的世界。	0	2.7特别篇预告
8		0				上下开合的薄唇，似乎在发出这样的声音——	0	2.7特别篇预告
9		0				<red>“拜托”</>	0	2.7特别篇预告
10		0				<red>“请不要抛下我”</>	0	2.7特别篇预告
11		0				四月四日 下午 三时 十二分	0	2.7特别篇预告
12		0				伴随着响彻天际的一声巨响，位于菲洛索亚地区卫城学院附近的树开始了活性化。	0	2.7特别篇预告
14		0				但由此为契机，以派出增援协助迁校为条件，卫城学院时隔数十年，再次与世界树签署了科研成果共享协议。	0	2.7特别篇预告
15		0				而此协议的第一条，便是将封存于卡戎海上基地的AI研究成果，全数交由世界树。	0	2.7特别篇预告
16		0				然而，就在这份协议签署不久后，“变故”却再次降临了……	0	2.7特别篇预告
17		0				世界树公司作战指挥室中，小小的情报官正坐在我对面，冷色的灯光下，她的神色更显疲惫。	0	2.7特别篇预告
18		0	分析员			小情报官，我说，你最近是不是把自己逼得太紧了？	0	2.7特别篇预告
19		6	卡罗琳			哎？！有，有这回事吗？	0	2.7特别篇预告
20		0				似乎是想在我面前掩盖住自己的疲态，她故意提高了音量。	0	2.7特别篇预告
21		0				我无奈地笑了笑，随后又伸手帮她捋了捋那略显凌乱的刘海。	0	2.7特别篇预告
22		6	卡罗琳			分析员的手……	0	2.7特别篇预告
23		6	卡罗琳			啊，我的刘海！	0	2.7特别篇预告
24		0	分析员			之后还是要多注意休息，如果实在忙不过来了千万不要硬撑。	0	2.7特别篇预告
25		0	分析员			如果哪天我可爱又可靠的小情报官突然倒下了，那麻烦可就大了。	0	2.7特别篇预告
26		6	卡罗琳			谢谢关心……	0	2.7特别篇预告
27		0				她红着脸轻声说道，但很快便又意识到了什么般，端正了坐姿。	0	2.7特别篇预告
28		6	卡罗琳			咳咳，真是的，周围一没人你就开始捉弄我。	0	2.7特别篇预告
29		0	分析员			有人也无所谓吧，因为卡罗琳就在那里。	0	2.7特别篇预告
30		6	卡罗琳			唔……展开攻势前，至少也要顾及一下场合嘛……	0	2.7特别篇预告
31		6	卡罗琳			算了算了，我们还是说回正事。	0	2.7特别篇预告
b-1	b-1	0					0	2.7特别篇预告
32	b-1-1	0				点点头	0	2.7特别篇预告
33		0	分析员			嗯，说正事吧。	0	2.7特别篇预告
34		0				见卡罗琳稍微恢复了些活力，我便收起笑容点头回应，结束了今天的“捉弄小情报官环节”。	0	2.7特别篇预告
35		6	卡罗琳			你应该也知道了吧，近期发生的两件大事。	0	2.7特别篇预告
36		6	卡罗琳			其一是卫城学院迁校派领头人失踪事件。	0	2.7特别篇预告
37		6	卡罗琳			其二便是废弃许久的卡戎海上基地突然遭受泰坦降临，同时，我们也收到了一条从那里发出的求救信号……	0	2.7特别篇预告
38		0	分析员			两者之间有什么关联吗？	0	2.7特别篇预告
39		6	卡罗琳			抱歉，关于这点我们暂时还无法确定。	0	2.7特别篇预告
40		6	卡罗琳			不过也不排除求救信号就是失踪人员发出的可能性。	0	2.7特别篇预告
41		0	分析员			也就是说，需要我们前往那个海上基地去确认。	0	2.7特别篇预告
42		6	卡罗琳			嗯，抱歉，本来这件事派外勤人员去就好，但是……	0	2.7特别篇预告
43		0	分析员			但是那个海上基地藏着最高权限的机密，对吧。	0	2.7特别篇预告
44		6	卡罗琳			……看来你也已经提前调查过了，不过还请容我补充说明一下。	0	2.7特别篇预告
45		0	卡罗琳			位于霍尔姆南部海域，建造于无名深渊之上的研究平台——卡戎海上基地。	0	2.7特别篇预告
