字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				格拉尼灵蹄遭到攻击！\n格拉尼灵蹄遭到攻击！	0	2.7版本异绪消解活动引入剧情
2		0	？？？			通讯失联……暂时无法联系到总部……	0	2.7版本异绪消解活动引入剧情
3		0	？？？			分析员！你还好吗？	0	2.7版本异绪消解活动引入剧情
4		0	？？？			我、我们的装甲车被击中了！	0	2.7版本异绪消解活动引入剧情
5		0	分析员			……	0	2.7版本异绪消解活动引入剧情
6		0	？？？			呼吸有些紊乱！分析员——	0	2.7版本异绪消解活动引入剧情
7		0	？？？			看来……	0	2.7版本异绪消解活动引入剧情
8		0	？？？			是时候要做人工呼吸了……	0	2.7版本异绪消解活动引入剧情
b-1	b-1	0					0	2.7版本异绪消解活动引入剧情
9	b-1-1	0				偷偷戳一下傻笑的薇蒂雅	0	2.7版本异绪消解活动引入剧情
10		0	分析员			（薇蒂雅，我记得好像没有这一段戏吧。）	0	2.7版本异绪消解活动引入剧情
11		6	薇蒂雅			（临场发挥一下嘛~这么危机的关头肯定要有一些激情戏份。）	0	2.7版本异绪消解活动引入剧情
12		0	分析员			（总感觉是某个人故意加的戏……）	0	2.7版本异绪消解活动引入剧情
13		6	薇蒂雅			太好了！分析员你终于醒了！	0	2.7版本异绪消解活动引入剧情
14		6	薇蒂雅			是我！龙舌兰，您最亲爱的秘书兼爱人！	0	2.7版本异绪消解活动引入剧情
15		0	分析员			刚刚……发生了什么？	0	2.7版本异绪消解活动引入剧情
16		6	薇蒂雅			有一批情绪投影偷袭了我们所乘坐的格拉尼灵蹄，您为了在爆炸中保护我，不慎陷入昏迷。	0	2.7版本异绪消解活动引入剧情
17		6	薇蒂雅			袭击者已经被我们击退，现在情况暂时安全，就是您……	0	2.7版本异绪消解活动引入剧情
18		0	分析员			放心，我现在没什么大碍。	0	2.7版本异绪消解活动引入剧情
19		6	薇蒂雅			您没事就好……	0	2.7版本异绪消解活动引入剧情
20		6	薇蒂雅			自从三年前那些潜藏在地壳中情绪投影怪物复苏，人类文明已经在崩溃的边缘。	0	2.7版本异绪消解活动引入剧情
21		6	薇蒂雅			常规武器对他们没有任何效果，唯有分析员您所统领的海姆达尔部队才能击败它们。	0	2.7版本异绪消解活动引入剧情
22		6	薇蒂雅			我……真的不敢想象失去您的世界……	0	2.7版本异绪消解活动引入剧情
23		6	薇蒂雅			所以下次……请多依靠些我，好吗？	0	2.7版本异绪消解活动引入剧情
24		0				带着泪花的少女微笑着，向我伸出了手。	0	2.7版本异绪消解活动引入剧情
b-2	b-2	0					0	2.7版本异绪消解活动引入剧情
25	b-2-1	0				抓住龙舌兰的手	0	2.7版本异绪消解活动引入剧情
26		0				我缓缓眺向远方，废墟堆砌的城市之中，巨大的情绪怪物若隐若现。	0	2.7版本异绪消解活动引入剧情
27		0	分析员			继续出发吧，龙舌兰，我们还有很多使命。	0	2.7版本异绪消解活动引入剧情
28		6	薇蒂雅			嗯！	0	2.7版本异绪消解活动引入剧情
