字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				迈出电梯门的瞬间，伴随着一声清脆的开关声响，视野陷入一片昏暗。	0	3.0二周年庆典剧情
2		0				……然而，在这一片昏暗中，一缕水果与蛋糕交融的香甜芬芳，却在悄然跃动。	0	3.0二周年庆典剧情
3		0				回想起日期，瞬间反应了过来。	0	3.0二周年庆典剧情
4		0				啊，一定又是“那个”吧，和去年一样的——	0	3.0二周年庆典剧情
5		4	？？？		Play_Vo_anniversary002_girl012_01	喂，伊切尔的肚子暴露了喵。	0	3.0二周年庆典剧情
6		0	？？？		Play_Vo_anniversary002_girl016_01	唔……不是我啦……	0	3.0二周年庆典剧情
7		6	？？？		Play_Vo_anniversary002_girl017_01	嘘，小声点，要被发现了。	0	3.0二周年庆典剧情
8		0	分析员无帽			已经发现了哦，苔丝。	0	3.0二周年庆典剧情
9		6	苔丝病号服		Play_Vo_anniversary002_girl017_02	唔咿！	0	3.0二周年庆典剧情
10		6	凯茜娅病号服		Play_Vo_anniversary002_girl015_01	呵，我看啊，这次就没必要走倒计时流程了吧？	0	3.0二周年庆典剧情
11		6	凯茜娅病号服		Play_Vo_anniversary002_girl015_02	直接按planB来，快进到把亲爱的扑倒好了。	0	3.0二周年庆典剧情
12		0	分析员无帽			嗯？	0	3.0二周年庆典剧情
13		4	苔丝病号服		Play_Vo_anniversary002_girl017_03	等，等等，我们什么时候有planB了？！	0	3.0二周年庆典剧情
14		5	凯茜娅病号服		Play_Vo_anniversary002_girl015_03	啊，这是我刚刚想出来的主意。总而言之事不宜迟，亲爱的，准备好——	0	3.0二周年庆典剧情
auto_6	b-1	0					0	
b-1-1	b-1-1	0				张开双臂	0	
16		0	齐声		Play_Vo_anniversary002_together_01	不许抢跑！	0	3.0二周年庆典剧情
16_1		0				说罢，女孩们便一拥而上，将我扑倒在地。	0	
17		6	薇蒂雅病号服		Play_Vo_anniversary002_girl018_01	分析员大人，请看我这边~	0	3.0二周年庆典剧情
18		6	薇蒂雅病号服		Play_Vo_anniversary002_girl018_02	啊~就是这样，就是这样，请站在画面正中央。	0	3.0二周年庆典剧情
19		0	分析员无帽			薇蒂雅是在拍照和录像吗？	0	3.0二周年庆典剧情
20		6	薇蒂雅病号服		Play_Vo_anniversary002_girl018_03	没错，今天是个特别的日子，我想要亲自记录下和分析员有关的每一个瞬间。	0	3.0二周年庆典剧情
21		6	薇蒂雅病号服		Play_Vo_anniversary002_girl018_04	对了对了，可以先采访一下嘛，作为今天的主角，分析员大人现在的心情如何呢？	0	3.0二周年庆典剧情
22		0	分析员无帽			我的心情嘛……	0	3.0二周年庆典剧情
b-2	b-2	0					0	3.0二周年庆典剧情
23	b-2-1	0				将薇蒂雅拉向身边	0	3.0二周年庆典剧情
24	b-2-2	0				调转相机镜头	0	3.0二周年庆典剧情
25		6	薇蒂雅病号服		Play_Vo_anniversary002_girl018_05	分析员大人？！	0	3.0二周年庆典剧情
26		0	分析员无帽			我现在的心情，和薇蒂雅是一样的哦。	0	3.0二周年庆典剧情
27		6	薇蒂雅病号服		Play_Vo_anniversary002_girl018_09	哎？！	0	3.0二周年庆典剧情
28		0	分析员无帽			别忘了，你也是我们的故事中，不可或缺的女主角。	0	3.0二周年庆典剧情
29		6	薇蒂雅病号服		Play_Vo_anniversary002_girl018_06	女主角……	0	3.0二周年庆典剧情
30		6	薇蒂雅病号服		Play_Vo_anniversary002_girl018_07	唔嗯！我当然记得！那么第二个问题，今晚我会是女一……	0	3.0二周年庆典剧情
31		6	卜卜病号服		Play_Vo_anniversary002_girl020_01	好啦好啦~奇奇怪怪的采访到此为止！	0	3.0二周年庆典剧情
32		6	卜卜病号服		Play_Vo_anniversary002_girl020_02	至于谁才是今晚的女一号，还是交由本天师的抽签来决定吧！	0	3.0二周年庆典剧情
33		0	分析员无帽			那卜卜这一波简直是稳赚不赔？	0	3.0二周年庆典剧情
34		0	分析员无帽			毕竟你可是参透了天命的奇迹之女。	0	3.0二周年庆典剧情
35		6	卜卜病号服		Play_Vo_anniversary002_girl020_03	哦！！！这个说法要比小天师要威风好多啊！	0	3.0二周年庆典剧情
36		6	卜卜病号服		Play_Vo_anniversary002_girl020_04	不过分析员可别忘了——真正让“奇迹”重获新生的，正是此刻站在我面前的你哦。	0	3.0二周年庆典剧情
37		6	奈莉德病号服		Play_Vo_anniversary002_girl021_01	重获新生？	0	3.0二周年庆典剧情
38		6	奈莉德病号服		Play_Vo_anniversary002_girl021_02	哼，看来……在我之前，这双手已经温暖过不少人了吧？	0	3.0二周年庆典剧情
39		0	分析员无帽			这双手确实帮助过很多人……但唯独你，给我的回应是那样让人“猝不及防”，那个饯别礼，真的很令人印象深刻。	0	3.0二周年庆典剧情
40		6	奈莉德病号服		Play_Vo_anniversary002_girl021_03	——！	0	3.0二周年庆典剧情
41		0	分析员无帽			奈莉德，今后也请和我一起，去帮助更多更多，需要帮助的人吧。	0	3.0二周年庆典剧情
42		6	奈莉德病号服		Play_Vo_anniversary002_girl021_04	嗯，当然，这正是那场重逢的意义。	0	3.0二周年庆典剧情
43		6	妮塔病号服		Play_Vo_anniversary002_girl003_01	分析员关照他人的间隙，也别落下自己啊。	0	3.0二周年庆典剧情
44		6	妮塔病号服		Play_Vo_anniversary002_girl003_02	毕竟我的力量，正是因为有你的存在，才拥有了光明与温度。	0	3.0二周年庆典剧情
45		0	分析员无帽			放心，我不会落下自己的，而且我知道，每次无论我前往何处，妮塔，都一直在这里等着我回家。	0	3.0二周年庆典剧情
46		6	妮塔病号服		Play_Vo_anniversary002_girl003_03	没错~因为这是我们一同搭建起来的，温暖而又甜蜜的家。	0	3.0二周年庆典剧情
47		6	恩雅病号服		Play_Vo_anniversary002_girl011_01	姐姐的话，倒是无所谓，只要分析员在的地方，就是我们的家。	0	3.0二周年庆典剧情
48		6	恩雅病号服		Play_Vo_anniversary002_girl011_02	为了能前往分析员所在的未来，我愿意化作风，前往任何地方。	0	3.0二周年庆典剧情
49		0	分析员无帽			恩雅姐，你还是一如既往的坚强，一如既往的温柔。好像只要与你相伴，就可以跨越任何虚妄的边界。	0	3.0二周年庆典剧情
50		6	恩雅病号服		Play_Vo_anniversary002_girl011_03	呵呵呵，当然，毕竟在守护分析员这方面，姐姐可是无懈可击的。	0	3.0二周年庆典剧情
51		6	辰星病号服		Play_Vo_anniversary002_girl014_01	不愧是恩雅，但在守护郎君这一点上，我也绝对不会认输的。	0	3.0二周年庆典剧情
52		0	分析员无帽			嗯，我明白的，早在恒约之前，我就已经见识到了你的决心。不过，除此之外……	0	3.0二周年庆典剧情
53		0	分析员无帽			我也知道，你也一直在期待着，那些平静而又祥和的日常。	0	3.0二周年庆典剧情
54		6	辰星病号服		Play_Vo_anniversary002_girl014_02	哎？！难道说，那个时候郎君已经猜到了我是想……	0	3.0二周年庆典剧情
55		0	分析员无帽			那个幻境中的场景已经再明显不过了，不是吗？	0	3.0二周年庆典剧情
56		6	辰星病号服		Play_Vo_anniversary002_girl014_03	果然……	0	3.0二周年庆典剧情
57		6	肴病号服		Play_Vo_anniversary002_girl010_01	哼哼，我们郎君的洞察力可是天下第一哦。	0	3.0二周年庆典剧情
58		0	分析员无帽			肴的洞察力也不差，孤身一人，能够看破那些敌人的诡计，真的很了不起。	0	3.0二周年庆典剧情
59		6	肴病号服		Play_Vo_anniversary002_girl010_02	唔，也不完全是看破吧，我只是单纯地……	0	3.0二周年庆典剧情
60		6	肴病号服		Play_Vo_anniversary002_girl010_03	单纯地愿意相信，你的那个承诺罢了。	0	3.0二周年庆典剧情
61		6	肴病号服		Play_Vo_anniversary002_girl010_04	不管在什么地方，不管是什么时候，你都会找到我的，一定会。	0	3.0二周年庆典剧情
62		6	肴病号服		Play_Vo_anniversary002_girl010_05	嘿嘿，说到底，我可能是成长得最少的人吧。	0	3.0二周年庆典剧情
63		0	分析员无帽			并非如此，对于能坦然地与过去的自己告别的你而言，这怎么能说是没有成长呢？	0	3.0二周年庆典剧情
64		6	芙提雅病号服		Play_Vo_anniversary002_girl004_01	就是就是，而且哪怕只有一点点，成长了，就是成长了！	0	3.0二周年庆典剧情
65		6	芙提雅病号服		Play_Vo_anniversary002_girl004_02	无论是多么微小的一步，一切改变，都是在“不断向前”的前提下才会发生的。	0	3.0二周年庆典剧情
66		0	分析员无帽			没错，芙提雅老师说得好！新的一年里，就让我们继续一起不断向阳冲刺吧。	0	3.0二周年庆典剧情
67		6	芙提雅病号服		Play_Vo_anniversary002_girl004_03	那是自然~未来，还请再多期待一些芙提雅老师的表现吧！	0	3.0二周年庆典剧情
68		0	分析员无帽			好，那我可就拭目以待了。	0	3.0二周年庆典剧情
