字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0			Play_Vo_dlc31ep8_girl022_01	星期天	0	3.1主线剧情
2		0			Play_Vo_dlc31ep8_girl022_02	我回家了。	0	3.1主线剧情
3		0			Play_Vo_dlc31ep8_girl022_03	旧的日记本在那场事故里弄丢了。我的心好像也在岛上弄丢了。	0	3.1主线剧情
4		0			Play_Vo_dlc31ep8_girl022_04	我还幻想，要是谁也找不到哪里，我们也许可以在那里过一辈子。	0	3.1主线剧情
5		0			Play_Vo_dlc31ep8_girl022_05	我想试试……或许小姨会答应吧。	0	3.1主线剧情
6		0				合上日记本，克罗瑞娜走出了房间。	0	3.1主线剧情
7		0				米拉正在打电话。见她过来，用眼神示意她先坐下。克罗瑞娜规规矩矩坐好，脑海里酝酿着说辞。	0	3.1主线剧情
8		6	米拉		Play_Vo_dlc31ep8_mira_01	不行。这是底线，现在提太早了。	0	3.1主线剧情
9		6	米拉		Play_Vo_dlc31ep8_mira_02	就算同意合作，项目也必须在菲洛索亚进行。	0	3.1主线剧情
10		6	米拉		Play_Vo_dlc31ep8_mira_03	先这样吧。耐心一点，我要的东西大部分已经拿到了，随便跟她耗。	0	3.1主线剧情
11		0				米拉挂了电话，看向克罗瑞娜。	0	3.1主线剧情
12		4	米拉		Play_Vo_dlc31ep8_mira_04	怎么样？休息好了吗？	0	3.1主线剧情
13		5	克罗瑞娜		Play_Vo_dlc31ep8_girl022_06	嗯。没什么不舒服的地方。	0	3.1主线剧情
14		5	克罗瑞娜		Play_Vo_dlc31ep8_girl022_07	小姨，刚刚是在聊和世界树的合作吗？	0	3.1主线剧情
15		4	米拉		Play_Vo_dlc31ep8_mira_05	嗯。虽然出了这些事，但陶的态度还算诚恳，项目本身也算是利大于弊。	0	3.1主线剧情
16		4	米拉		Play_Vo_dlc31ep8_mira_06	到时候项目就由你来牵头。怎么样？	0	3.1主线剧情
17		5	克罗瑞娜		Play_Vo_dlc31ep8_girl022_08	那当然好了。	0	3.1主线剧情
18		5	克罗瑞娜		Play_Vo_dlc31ep8_girl022_09	不过……小姨，我有件事想跟你谈谈。	0	3.1主线剧情
19		4	米拉		Play_Vo_dlc31ep8_mira_07	哦？	0	3.1主线剧情
20		0				米拉扬了扬眉毛，抬起头，仔细打量着克罗瑞娜。	0	3.1主线剧情
21		5	克罗瑞娜		Play_Vo_dlc31ep8_girl022_10	做了手术之后，我的身体变得不太一样了。	0	3.1主线剧情
22		5	克罗瑞娜		Play_Vo_dlc31ep8_girl022_11	我想加入海姆达尔，和playername一起……	0	3.1主线剧情
23		0				在米拉的注视下，她的声音逐渐小了下去。	0	3.1主线剧情
24		0				但，不知道又想起了什么，她的声音又大了起来。	0	3.1主线剧情
25		5	克罗瑞娜		Play_Vo_dlc31ep8_girl022_12	和playername在一起的时光很快乐。我喜欢那样的生活。	0	3.1主线剧情
26		4	米拉		Play_Vo_dlc31ep8_mira_08	你知道你刚刚的话意味着什么吗？	0	3.1主线剧情
27		0				米拉的声音很平静。克罗瑞娜知道这意味着什么——每当米拉生气的时候，她都格外安静。	0	3.1主线剧情
28		0				她没有回答。她清楚这是米拉的开场白。	0	3.1主线剧情
29		6	米拉		Play_Vo_dlc31ep8_mira_09	你知道海姆达尔面对的都是什么？	0	3.1主线剧情
30		6	米拉		Play_Vo_dlc31ep8_mira_10	你知道泰坦有多危险吗？	0	3.1主线剧情
31		6	米拉		Play_Vo_dlc31ep8_mira_11	卫城学院的首席调查员，前段时间也因为泰坦污染而牺牲了。	0	3.1主线剧情
32		6	米拉		Play_Vo_dlc31ep8_mira_12	海姆达尔面对的敌人只会更强大。	0	3.1主线剧情
33		6	米拉		Play_Vo_dlc31ep8_mira_13	playername……我认识他没多久，他就上槲寄生空间站了。	0	3.1主线剧情
34		6	米拉		Play_Vo_dlc31ep8_mira_14	海姆达尔是全世界最危险的地方。我送你到那是去治病的，不是去送命的。	0	3.1主线剧情
35		9	克罗瑞娜		Play_Vo_dlc31ep8_girl022_13	如果我只做个文职呢？不去那种危险的地方……	0	3.1主线剧情
36		6	米拉		Play_Vo_dlc31ep8_mira_15	他身边就是这个世界上最危险的地方。	0	3.1主线剧情
37		6	米拉		Play_Vo_dlc31ep8_mira_16	你喜欢他，是吗？	0	3.1主线剧情
