字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0	卜卜		Play_Vo_call_ep_girl020_01	分析员，准备好了吗？我要把眼罩取下来了哦。	0	3.4电话陪伴剧情
2		0	卜卜		Play_Vo_call_ep_girl020_02	嘿嘿~欢迎来到，魔法少女的小屋。	0	3.4电话陪伴剧情
3		0	卜卜		Play_Vo_call_ep_girl020_03	既然来到了这里，卜卜~可不想轻易放过你了哦~	0	3.4电话陪伴剧情
4		0	卜卜		Play_Vo_call_ep_girl020_04	和我缔结契约吧，分析员。	0	3.4电话陪伴剧情
5		0	卜卜		Play_Vo_call_ep_girl020_05	让卜卜尽情汲取你的魔力。	0	3.4电话陪伴剧情
6		0	卜卜		Play_Vo_call_ep_girl020_06	这样，我才能成为强大的魔法少女哦~	0	3.4电话陪伴剧情
7		0	卜卜		Play_Vo_call_ep_girl020_07	嘿嘿~就知道你会答应我的。	0	3.4电话陪伴剧情
8		0	卜卜		Play_Vo_call_ep_girl020_08	不过在此之前，我们还需要做些小小的准备。	0	3.4电话陪伴剧情
9		0	卜卜		Play_Vo_call_ep_girl020_09	首先，得调配出一份，待会能在缔约仪式上用到的魔药。	0	3.4电话陪伴剧情
10		0	卜卜		Play_Vo_call_ep_girl020_10	唔，让我看看书里的配方是怎么写的……	0	3.4电话陪伴剧情
11		0	卜卜		Play_Vo_call_ep_girl020_11	把鼠尾草剪段……	0	3.4电话陪伴剧情
12		0	卜卜		Play_Vo_call_ep_girl020_12	加上两块神奇萝卜，再和梦境水晶一起捣碎。	0	3.4电话陪伴剧情
13		0	卜卜		Play_Vo_call_ep_girl020_13	倒入生命树的汁液和独角兽的眼泪，慢慢搅拌。	0	3.4电话陪伴剧情
14		0	卜卜		Play_Vo_call_ep_girl020_14	咦……诶？魔药黏糊糊……嗯！难不倒卜卜！	0	3.4电话陪伴剧情
15		0	卜卜		Play_Vo_call_ep_girl020_15	好了，魔药制作成功~	0	3.4电话陪伴剧情
16		0	卜卜		Play_Vo_call_ep_girl020_16	分析员~因为卜卜还不够强大，所以必须借助你的力量，才能消化、吸收掉魔药。	0	3.4电话陪伴剧情
17		0	卜卜		Play_Vo_call_ep_girl020_17	简单说来就是……	0	3.4电话陪伴剧情
18		0	卜卜		Play_Vo_call_ep_girl020_18	分析员作为赐予魔力的一方，先把魔药全部喝下，再经由你的身体，萃取给我。	0	3.4电话陪伴剧情
19		0	卜卜		Play_Vo_call_ep_girl020_19	嘿嘿，分析员答应啦？那就让卜卜来喂你。	0	3.4电话陪伴剧情
20		0	卜卜		Play_Vo_call_ep_girl020_20	诶……味道有些苦？我尝尝！	0	3.4电话陪伴剧情
21		0	卜卜		Play_Vo_call_ep_girl020_21	好苦！看来得找点甜甜的调味品才行。	0	3.4电话陪伴剧情
22		0	卜卜		Play_Vo_call_ep_girl020_22	蜂蜜、焦糖，还是……卜卜？分析员想选哪一种呢？	0	3.4电话陪伴剧情
23		0	卜卜		Play_Vo_call_ep_girl020_23	其实不用你说，我也知道答案是什么哦~	0	3.4电话陪伴剧情
24		0	卜卜		Play_Vo_call_ep_girl020_24	这里涂一点，锁骨上也涂一些……还有这儿~	0	3.4电话陪伴剧情
25		0	卜卜		Play_Vo_call_ep_girl020_25	好啦~分析员，请……尽情享用吧。	0	3.4电话陪伴剧情
26		0	卜卜		Play_Vo_call_ep_girl020_26	哈……哈……好温暖。	0	3.4电话陪伴剧情
27		0	卜卜		Play_Vo_call_ep_girl020_27	很快就能得到魔药了吧？我都渴得有些难以忍受了。	0	3.4电话陪伴剧情
28		0	卜卜		Play_Vo_call_ep_girl020_28	该怎么办好呢？	0	3.4电话陪伴剧情
29		0	卜卜		Play_Vo_call_ep_girl020_29	唔……	0	3.4电话陪伴剧情
30		0	卜卜		Play_Vo_call_ep_girl020_30	分析员，我来帮你加快萃取的过程吧，这样卜卜，也可以早点得到……	0	3.4电话陪伴剧情
31		0	卜卜		Play_Vo_call_ep_girl020_31	嗯？快来了吗？卜卜已经做好准备了哦~	0	3.4电话陪伴剧情
32		0	卜卜		Play_Vo_call_ep_girl020_32	分析员，看这里~	0	3.4电话陪伴剧情
33		0	卜卜		Play_Vo_call_ep_girl020_33	这儿是卜卜的契印所在，用最精纯的魔药浇灌这里，我们就能完成缔约了。	0	3.4电话陪伴剧情
34		0	卜卜		Play_Vo_call_ep_girl020_34	我会全部、好好地接下，不过分析员也要对准一些，可不要浪费了哦~	0	3.4电话陪伴剧情
35		0	卜卜		Play_Vo_call_ep_girl020_35	唔……	0	3.4电话陪伴剧情
36		0	卜卜		Play_Vo_call_ep_girl020_36	咕……	0	3.4电话陪伴剧情
37		0	卜卜		Play_Vo_call_ep_girl020_37	分析员的……味道也太棒了吧。	0	3.4电话陪伴剧情
38		0	卜卜		Play_Vo_call_ep_girl020_38	身体有一种酥酥麻麻的感觉，我好像……发生了些奇怪的变化呢。	0	3.4电话陪伴剧情
39		0	卜卜		Play_Vo_call_ep_girl020_39	现在，是不是该叫分析员……主人了呢？	0	3.4电话陪伴剧情
40		0	卜卜		Play_Vo_call_ep_girl020_40	毕竟，缔结契约的仪式，已经完成了嘛。	0	3.4电话陪伴剧情
41		0	卜卜		Play_Vo_call_ep_girl020_41	之后，也请主人别忘记，要多多地~给予卜卜魔力哦~	0	3.4电话陪伴剧情
